Hindi,Malayalam
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",ആക്സസ് മാട്രിക്സ്
अभिगम विधा,ആക്സസ് മോഡ്
अभिगम विशेषाधिकार,ആക്സസ് പ്രിവിലേജ്
अभिगम सुरक्षा,ആക്സസ് സുരക്ഷ
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",ആക്സസ് സെർവർ
अभिगम काल,പ്രവേശന സമയം
अभिस्वीकृति,അംഗീകാരം
ध्वनिकी,ശബ്ദശാസ്ത്രം
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",സംക്ഷേപം
क्रिया संदेश,പ്രവർത്തന സന്ദേശം
सक्रियण,സജീവമാക്കൽ
सक्रिय सर्वर पृष्ठ,സജീവ സെർവർ പേജ് (ASP)
सक्रिय वर्जन,സജീവ പതിപ്പ്
अचक्रीय,അസൈക്ലിക്
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",അസൈക്ലിക് ഗ്രാഫ്
एडा कंप्यूटर भाषा,അഡാ ഭാഷ
"1. अनुकूलक ,2. अनुकूलित्र",അഡാപ്റ്റർ
योग (करना),ചേർക്കുക
योग संचिका,ഫയൽ ചേർക്കുക
"1. जोड़ संक्रिया ,2. योग संक्रिया",പ്രവർത്തനം ചേർക്കുക
योजक,ചേർക്കുന്നയാൾ
पता,വിലാസം
पता बस,വിലാസം ബസ്
पता संचिका,വിലാസ ഫയൽ
पता आरूप,വിലാസ ഫോർമാറ്റ്
पता जनक,വിലാസ ജനറേറ്റർ
पता पंक्ति,വിലാസ ലൈൻ
पता प्रतिचित्रण,വിലാസ മാപ്പിംഗ്
पता संकेतक,വിലാസ സൂചിക
पता पंजी,വിലാസ രജിസ്റ്റർ
पता विघटन,വിലാസം റെസലൂഷൻ
पता अनुवाद,വിലാസ വിവർത്തനം
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",അഭിസംബോധന ചെയ്ത മെമ്മറി
पताभिगमन,അഭിസംബോധന
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",പര്യാപ്തത മാനദണ്ഡം
संलग्न,അനുബന്ധം
"1. प्रबंधन ,2. नियंत्रण",ഭരണകൂടം
"1. प्रबंधक ,2. नियंत्रक",കാര്യനിർവാഹകൻ
ऐडोब एक्रोबेट,അഡോബ് അക്രോബാറ്റ്
ऐडोब फोटोशोप,അഡോബ് ഫോട്ടോഷോപ്പ്
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",വിപുലമായ ഡാറ്റ
उन्नत सूचना तंत्र,വിപുലമായ വിവര സംവിധാനം
उन्नत प्रौद्योगिकी (ए टी),നൂതന സാങ്കേതികവിദ്യ (AT)
कर्मक,ഏജന്റ്
समुच्चयन,സമാഹരണം
विमानवाहित कंप्यूटर तंत्र,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
एल्डस पेज-मेक,ആൽഡസ് പേജ് മേക്കർ
सचेत पेटी,മുന്നറിയിപ്പ് ബോക്സ്
ऐल्गॉल (कंप्यूटर भाषा),ആൽഗോൾ
"1.  एल्गोरिथ्म ,2. कलन विधि",അൽഗോരിതം
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",അൽഗോരിതം വിശകലനം
एल्गोरिथ्म दक्षता,അൽഗോരിതം കാര്യക്ഷമത
"1. एलिआस ,2. उपनाम ,3. उर्फ",അപരനാമം
संरेखण,വിന്യാസം
"1. आवंटन ,2. नियतन",വിഹിതം
"1.अक्षरात्मक ,2. वर्णानुक्रम",അക്ഷരമാലാക്രമം
अक्षरांकीय,ആൽഫാന്യൂമെറിക്
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),ആൽഫ-ടെസ്റ്റ്
"1. अल्फा वर्जन ,2. अल्फा रूप",ആൽഫ പതിപ്പ്
आल्ट कुंजी,alt കീ
आल्टाविस्टा,അൾട്ടാവിസ്റ്റ
अनेकार्थकता,അവ്യക്തത
संदिग्ध व्याकरण,അവ്യക്തമായ വ്യാകരണം
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
अमेरिकी मानक कट (आस्की),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
"1. अनुरुप ,2. एनालॉग",അനലോഗ്
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",അനലോഗ് കമ്പ്യൂട്ടർ
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",അനലോഗ് ഉപകരണം
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",അനലോഗ് മോഡം
अनुरुप से अंकीय रुपांतरक,അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),ഒപ്പം
एंड परिपथ,കൂടാതെ സർക്യൂട്ട്
एंड गेट और द्वार,ഒപ്പം ഗേറ്റും
एंड नॉट संक्रिया (अपवर्जन),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
"1. एनीमेशन, 2.  सजीवन",ആനിമേഷൻ
टिप्पण,വ്യാഖ്യാനം
असंगता,അപാകത
पूर्ववर्ती,മുൻഗാമി
प्रत्याशामूलक पृष्ठन,മുൻകൂർ പേജിംഗ്
प्रति-सममित,വിരുദ്ധ സമമിതി
विषाणुरोधी क्रमादेश,ആന്റിവൈറസ് പ്രോഗ്രാം
"1. एपलेट ,2. अनुप्रयोगिका",ആപ്ലെറ്റ്
अनुप्रयोग विकासक,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
अनुप्रयोग प्रोग्रामन,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)",ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
अनुप्रयोग सॉफ्टवेयर,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
अनुप्रयोगी भाषा,ബാധകമായ ഭാഷ
सन्निकटण सिद्धांत,ഏകദേശ സിദ്ധാന്തം
संरचना,വാസ്തുവിദ്യ
क्षेत्र अंतरण,ഏരിയ കൈമാറ്റം
"1. प्राचर,स्वतंत्रचर, 2. कोणांक",വാദം
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई","ഗണിത, യുക്തി യൂണിറ്റ്"
अंकगणितीय जांच,ഗണിത പരിശോധന
अंकगणितीय अचर,ഗണിത സ്ഥിരാങ്കം
अंकगणितीय आंकडा,ഗണിത ഡാറ്റ
अंकगणितीय अनुदेश,ഗണിത നിർദ്ദേശം
गणितीय एवं तार्किक इकाई (ए. एल. यू.),ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU)
ए आर पी ए नेट (आरपानेट),അർപാനെറ്റ്
सरणी,അറേ
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति",അറേ കാഷെ
सरणी कंप्यूटर,അറേ കമ്പ്യൂട്ടർ
सरणी अवयव,അറേ ഘടകം
सरणी नाम,അറേ പേര്
सरणी प्रकर्मक,അറേ പ്രോസസർ
एरो कुंजी,അമ്പടയാള കീകൾ
संधि,ഉച്ചാരണം
संधि बिन्दु,ആർട്ടിക്കുലേഷൻ പോയിന്റ്
कृत्रिम संहनन,കൃത്രിമ കോംപാക്ഷൻ
कृत्रिम नियंत्रण,കൃത്രിമ നിയന്ത്രണം
कृत्रिम बोध,നിർമ്മിത ബുദ്ധി
आरोहक,ആരോഹണം
आरोही छंटाई,ആരോഹണ തരം
आस्की वर्णक्रम,ASCII ബെറ്റിക്കൽ ഓർഡർ
आस्की नियंत्रण संप्रतीक,ASCII നിയന്ത്രണ പ്രതീകം
आस्की संचिका,ASCII ഫയൽ
आस्की फॉन्ट,ASCII ഫോണ്ട്
आस्की अंतरण,ASCII കൈമാറ്റം
अभिमुखता अनुपात,വീക്ഷണാനുപാതം
"1. ऐस्पी ,2. ए एस पी आई",എ.എസ്.പി.ഐ
ए एस आर कालद,ASR ടൈമർ
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना",കൂട്ടിച്ചേർക്കുക
"1. कोडांतरक ,2. स्मरांतरक",അസംബ്ലർ
"1. कोडांतरण ,2. स्मरांतरण",അസംബ്ലി
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा",അസംബ്ലി ഭാഷ
निश्चयन,അവകാശവാദം
"1. निर्दिष्ट कार्य ,2. नियतन",നിയമനം
साहचर्य,അസോസിയേഷൻ
साहचर्य पता,അനുബന്ധ വിലാസം
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी",അനുബന്ധ മെമ്മറി
तारक (*का चिन्ह),ആസ്റ്ററിക്
असम्मित,അസമമായ
"1. अतुल्यकालिक ,2. अतुल्यकाली",അസമന്വിത
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM)
अतुल्यकालिक अंतरण,അസമന്വിത കൈമാറ്റം
अतुल्यकालिक अंतरण विधा (ए टी एम),അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം)
"1. एटम ,2. परमाण",ആറ്റം
संलग्न प्रलेख,അറ്റാച്ചുചെയ്ത പ്രമാണം
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल",അറ്റാച്ചുചെയ്ത ഫയൽ
"1. संलग्नक ,2. संबंद्ध",ബന്ധം
"1. गुण ,2. विशेषता",ആട്രിബ്യൂട്ട്
श्रव्य,ഓഡിയോ
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन",ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്
लेखा सत्यापन,ഓഡിറ്റ് ട്രയൽ
संवर्धन,വർദ്ധിപ്പിക്കൽ
प्रमाणन प्रोटोकॉल,പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ
संलेखन पद्धति,എഴുത്ത് സംവിധാനം
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण",അംഗീകാരം
स्वत: सार,യാന്ത്രിക സംഗ്രഹം
"1. स्वतः बूटिंग ,2. स्व बूटन",ഓട്ടോബൂട്ടിംഗ്
ऑटोकैड (एक कंप्यूटर भाषा),ഓട്ടോകാഡ്
स्वत: लॉग-ऑन,ഓട്ടോലോഗ് ഓൺ
ऑटोमेटा,ഓട്ടോമാറ്റ
आटोमेटा सिद्धांत,ഓട്ടോമാറ്റ സിദ്ധാന്തം
स्वत: अभिकलन,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടിംഗ്
स्वत: आंकड़ा प्रक्रमण,ഓട്ടോമാറ്റിക് ഡാറ്റ പ്രോസസ്സിംഗ്
स्वत: त्रुटि संशोधन,യാന്ത്രിക പിശക് തിരുത്തൽ
स्वत: फलन,യാന്ത്രിക പ്രവർത്തനം
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण",ഓട്ടോമാറ്റിക് ഇൻഡെക്സിംഗ്
स्वत: संग्रह आह्वान,ഓട്ടോമാറ്റിക് ലൈബ്രറി കോൾ
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन",ഓട്ടോമാറ്റിക് പ്രോഗ്രാമിംഗ്
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम",യാന്ത്രിക വീണ്ടെടുക്കൽ പ്രോഗ്രാം
स्वत: नेमका,യാന്ത്രിക ദിനചര്യ
स्वत: सिस्टम पुन: प्राप्ति,ഓട്ടോമാറ്റിക് സിസ്റ്റം വീണ്ടെടുക്കൽ
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)",ഓട്ടോമാറ്റിക് ടെല്ലർ മെഷീൻ (എടിഎം)
स्वचालन,ഓട്ടോമേഷൻ
"1. आटोप्ले ,2. स्वत: चलन",ഓട്ടോപ്ലേ
स्वरक्षण,സ്വയം സംരക്ഷിക്കുക
सहायक,സഹായകമായ
सहायक स्मृति,സഹായ മെമ്മറി
सहायक भंडारण,സഹായ സംഭരണം
उपलब्ध लिस्ट,ലഭ്യമായ പട്ടിക
उपलब्ध समय,ലഭ്യമായ സമയം
औसत,ശരാശരി
ए डब्ल्यू के (एक कंप्यूटर समादेश),awk (ഭാഷ)
पश्चांत,പിൻഭാഗം
पश्चांत प्रक्रमक,ബാക്കെൻഡ് പ്രോസസർ
पश्च फलन विलोपन,ബാക്ക്ഫേസ് നീക്കം
पृष्ठभूमि प्रक्रमण,പശ്ചാത്തല പ്രോസസ്സിംഗ്
सहायक भंडार,ബാക്കിംഗ് സ്റ്റോർ
पश्च पैचीकरण,ബാക്ക്പാച്ചിംഗ്
"1. पश्चीयन ,2. बैकस्पेस",ബാക്ക്സ്പേസ്
पश्चपथन,ബാക്ക്ട്രാക്കിംഗ്
"1. बैक-अप ,2. पूर्तिकर",ബാക്ക്-അപ്പ്
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी",ബാക്കപ്പ് മെമ്മറി
पश्च त्रुटि सुधार,പിന്നോട്ട് പിശക് വീണ്ടെടുക്കൽ
(आय-व्यय) तुलन पत्र,ബാലൻസ് ഷീറ്റ്
पट्टी,ബാൻഡ്
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता",ബാൻഡ് വീതി
बैंकर एल्गोरिथ्म,ബാങ്കറുടെ അൽഗോരിതം
"1.बार कूट ,2. बार कोड",ബാർ കോഡ്
बार कोड स्कैनर,ബാർ കോഡ് സ്കാനർ
बार ग्राफ,ബാർ ഗ്രാഫ്
आधार पता,അടിസ്ഥാന വിലാസം
आधार बैंड,അടിസ്ഥാന ബാൻഡ്
आधार संख्या,അടിസ്ഥാന നമ്പർ
आधार सारणी,അടിസ്ഥാന പട്ടിക
बेसिक (एक कंप्यूटर भाषा),അടിസ്ഥാനം
"1. मूल नियंत्रण ,2. आधार नियंत्रण",അടിസ്ഥാന നിയന്ത്രണം
"1. मूल निवेश ,2. आधारी निवेश",അടിസ്ഥാന ഇൻപുട്ട്
आधारभूत अनुदेश,അടിസ്ഥാന നിർദ്ദേശം
आधारी निर्गम,അടിസ്ഥാന ഔട്ട്പുട്ട്
मूल चरण,അടിസ്ഥാന ഘട്ടം
"1. बैच ,2. समूह ,3. प्रचय",ബാച്ച്
"1. बैच फाइल ,2. बैच संचिका",ബാച്ച് ഫയൽ
बैच स्थिति,ബാച്ച് സ്ഥാനം
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण",ബാച്ച് പ്രോസസ്സിംഗ്
"1. बैच तंत्र ,2. प्रचय तंत्र",ബാച്ച് സിസ്റ്റം
बॉड,ബൗഡ്
बॉड दर,ബാഡ് നിരക്ക്
किरण पुंज,ബീം
"1. निर्देशमानक ,2. बैचमार्क",ബെഞ്ച്മാർക്ക്
द्विदिश संचार,ദ്വിദിശ ആശയവിനിമയം
विदिश कड़ी,ദ്വിദിശ ലിങ്ക്
द्विआधारी कूट,ബൈനറി കോഡ്
द्विआधारी अंक,ബൈനറി അക്കം
द्विआधारी निवेश निर्गम तंत्र (बायोस),ബൈനറി ഇൻപുട്ട് ഔട്ട്പുട്ട് സിസ്റ്റം (BIOS)
द्विआधारी संख्या,ബൈനറി നമ്പർ
द्विआधारी संकारक,ബൈനറി ഓപ്പറേറ്റർ
द्विआधारी संबंध,ബൈനറി ബന്ധം
द्विआधारी खोज,ബൈനറി തിരയൽ
द्विआधारी अन्वेषण तरु (बी एस टी),ബൈനറി സെർച്ച് ട്രീ (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण",ബൈനറി കൈമാറ്റം
द्विआधारी तरु,ബൈനറി മരം
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी",ബൈപോളാർ മെമ്മറി
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श",ജനന മരണ മാതൃക
जन्म मरण प्रक्रम,ജനന മരണ പ്രക്രിയ
"1. द्वयंक ,2. बिट",ബിറ്റ്
बिट दोष,ചെറിയ തെറ്റ്
बिट प्रतिचित्र,ബിറ്റ് മാപ്പ്
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)",ബിറ്റ് മാപ്പ് പിക്സൽ (BMP)
"1. बिट आव्यूह ,2. बिट सारणी",ബിറ്റ് മാട്രിക്സ്
बिट प्रतिरूप,ബിറ്റ് പാറ്റേൺ
बिट स्थिति,ബിറ്റ് സ്ഥാനം
"1. बिट रेट ,2. बिट दर",ബിറ്റ് നിരക്ക്
अंध पेटी परीक्षण,ബ്ലാക്ക് ബോക്സ് പരിശോധന
टिमटिमाना,മിന്നിമറയുന്നു
ब्लॉक,തടയുക
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति",കാഷെ തടയുക
खंडक जांच,ബ്ലോക്ക് ചെക്ക്
खंड प्रतिलिपि,ബ്ലോക്ക് കോപ്പി
खंडक आरेख,ബ്ലോക്ക് ഡയഗ്രം
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम",തടയൽ ശൃംഖല
बोर्ड,ബോർഡ്
पृष्ठ स्मृति,ബുക്ക് മാർക്ക്
बूलीय बीजगणित,ബൂലിയൻ ബീജഗണിതം
बूलीय संबंध,ബൂളിയൻ ബന്ധം
बूट विभाजन,ബൂട്ട് പാർട്ടീഷൻ
बूट स्ट्रैपिंग,ബൂട്ട് സ്ട്രാപ്പിംഗ്
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,ബൂട്ട് സ്ട്രാപ്പ് ലോഡർ
"1.ब्रिज, 2. सेतु",പാലം
ब्राडबैंड नेटवर्क,ബ്രോഡ്‌ബാൻഡ് നെറ്റ്‌വർക്കിംഗ്
प्रसारण,പ്രക്ഷേപണം
प्रसारण रेडियो,പ്രക്ഷേപണം റേഡിയോ
(नेट) विचरण,ബ്രൗസ് ചെയ്യുക
(नेट) विचरक,ബ്രൗസർ
बी-तरु,ബി-ട്രീ
"1.बुदबुद स्मृति, 2.बबल मेमोरी",ബബിൾ മെമ്മറി
बुदबुद छंटाी,ബബിൾ അടുക്കുക
"1.बाल्टी, 2.बकेट",ബക്കറ്റ്
"1.बंधुता तंत्र, 2.बडी तंत्र",ബഡ്ഡി സിസ്റ്റം
बजट प्रभावी नियंत्रण,ബജറ്റ് ഫലപ്രദമായ നിയന്ത്രണം
बफर,ബഫർ
दोष,ബഗ്
बस,ബസ്
"1.अष्ट वयंक,2. बािट (आठ बिट)",ബൈറ്റ്
बािट कोड,ബൈറ്റ് കോഡ്
सी (कंप्यूटर भाषा),സി
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)",C++
"1.कैश,2. द्रुतिका,3.द्रुत",കാഷെ
"1.कैश बफर, 2.द्रुतस्मृति बफर",കാഷെ ബഫർ
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति",കാഷെ മെമ്മറി
परिकलन,കണക്കുകൂട്ടല്
"1.कैलकुलेटर, 2.परिकलक",കാൽക്കുലേറ്റർ
"1.कैलकुलेटर चिप,2. परिकलक चिप",കാൽക്കുലേറ്റർ ചിപ്പ്
आह्वान,വിളി
नाम आह्वान,പേര് വിളിക്കുക
संदर्भ आह्वान,റഫറൻസ് വഴി വിളിക്കുക
मान आह्वान,മൂല്യമനുസരിച്ച് വിളിക്കുക
चर आह्वान,വേരിയബിളുകൾ വഴി വിളിക്കുക
आहवान गेट,കോൾ ഗേറ്റ്
"1.निरस्त करना, 2.रद्द करना",റദ്ദാക്കുക
निरसन बटन,റദ്ദാക്കുക ബട്ടൺ
"1.विहित,2. कैनॉनिकल",കാനോനിക്കൽ
विहित रूप,കാനോനിക്കൽ രൂപം
क्षमता,കഴിവ്
क्षमता सूची,കഴിവ് പട്ടിക
"1.क्षमता,2. धारिता",ശേഷി
कैप्स लॉक कुंजी,ക്യാപ്സ് ലോക്ക് കീ
"1.कार्ड,2. पत्रक",കാർഡ്
कार्ड पाठक,കാർഡ് റീഡർ
प्रमुखता,കാർഡിനാലിറ്റി
वाहक,വാഹകൻ
वाहक बैंड,കാരിയർ ബാൻഡ്
वाहक भार,കാരിയർ ലോഡ്
वाहक संकेत,കാരിയർ സിഗ്നൽ
वाहक तरंग,കാരിയർ തരംഗം
हासिल,കൊണ്ടുപോകുക
हासिल अंक,അക്കം കൊണ്ടുപോകുക
हासिल ध्वज,പതാക വഹിക്കുക
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका",കാട്രിഡ്ജ് ഡിസ്ക്
"1.कास्केड, 2.सोपानी",കാസ്കേഡ്
केस,കേസ്
कैथोड-रे-टयूब (सी आर टी),കാഥോഡ് റേ ട്യൂബ് (CRT)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,കാഥോഡ് റേ ട്യൂബ് (CRT)
सी डी रॉम डिस्क ड्रािव,സിഡി റോം ഡിസ്ക് ഡ്രൈവ്
सेल,സെൽ
सेल एनीमेशन,സെൽ ആനിമേഷൻ
सेल्युलर फोन,സെല്ലുലാർ ഫോൺ
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी",കേന്ദ്ര മെമ്മറി
केद्रीय प्रक्रमण एकक (सी पी यू),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
केंद्रीकृत तंत्र,കേന്ദ്രീകൃത സംവിധാനം
प्रमाणीकृत टेप,സാക്ഷ്യപ്പെടുത്തിയ ടേപ്പ്
श्रृंखला,ചങ്ങല
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री",ചെയിൻ ഡാറ്റ
श्रृंखला कड़ी,ചെയിൻ ലിങ്ക്
श्रृंखलन,ചങ്ങല
"1.प्रणाल, 2.चैनल",ചാനൽ
"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन",ചാനൽ തിരക്കുള്ള ടോൺ
"1.प्रणाल क्षमता, 2.चैनल क्षमता",ചാനൽ ശേഷി
"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक",ചാനൽ കൺട്രോളർ
"1.प्रणाल त्रुटि, 2.चैनल त्रुटि",ചാനൽ പിശക്
"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम",ചാനൽ പ്രോഗ്രാം
"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता",ചാനൽ വിശ്വാസ്യത
"1.प्रणाल समुच्चय, 2.चैनल समुच्चय",ചാനൽ സെറ്റ്
संप्रतीक,സ്വഭാവം
"1.संप्रतीक कूट,2. संप्रतीक कोड",പ്രതീക കോഡ്
संप्रतीक कुंजी,പ്രതീക കീ
संप्रतीक पाठक,സ്വഭാവ വായനക്കാരൻ
"1.संप्रतीक सािज, 2.संप्रतीक आमाप",പ്രതീക വലുപ്പം
संचित्र,ചാർട്ട്
"1.न्याधार, 2.चैसिस",ചേസിസ്
जाँच बिट,ചെക്ക് ബിറ്റ്
जाँच अंक,അക്കം പരിശോധിക്കുക
जाँच योग,തുക ചെക്ക്
जाँच शब्द,ചെക്ക് വാക്ക്
चिप,ചിപ്പ്
चिप सेट,ചിപ്പ് സെറ്റ്
"1.चुनना, 2.चयन",തിരഞ്ഞെടുക്കുക
वर्णिक रूप से,വർണ്ണപരമായി
"1.सािफर,2. शून्य,3. सीफर",സൈഫർ
परिपथ,സർക്യൂട്ട്
वर्तुल सूची,വൃത്താകൃതിയിലുള്ള പട്ടിക
सायरस,സിറസ്
उल्लेख,അവലംബം
"1.श्रेणी, 2.वर्ग",ക്ലാസ്
वर्ग चर,ക്ലാസ് വേരിയബിൾ
वर्गीकरण,വർഗ്ഗീകരണം
अपमार्जन,വ്യക്തമായ
अपमार्जित क्षेत्र,തെളിഞ്ഞ പ്രദേശം
"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल",വ്യക്തമായ ചാനൽ
दबाना,ക്ലിക്ക് ചെയ്യുക
"1.ग्राहक,2. क्लाइट",കക്ഷി
"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर",ക്ലയന്റ് സെർവർ
ग्राहक स्टब,ക്ലയന്റ് അപൂർണ്ണം
कर्तन कला,ക്ലിപ്പ് ആർട്ട്
कर्तन कला पुस्तकालय,ക്ലിപ്പ് ആർട്ട് ലൈബ്രറി
क्लिप बोर्ड,ക്ലിപ്പ് ബോർഡ്
क्लिपर,ക്ലിപ്പർ
क्लिपर चिप,ക്ലിപ്പർ ചിപ്പ്
गुट,കൂട്ടം
"1.घड़ी,2. कालद",ക്ലോക്ക്
कालद चक्र,ക്ലോക്ക് സൈക്കിൾ
कालद आवृत्ति,ക്ലോക്ക് ആവൃത്തി
