Tamil,Assamese
ஆமணக்கு,কেষ্টাৰ
வார்ப்பு கல்,ঢালাই শিল
வினையூக்கி,অনুঘটক
கேட்டனா,কেটেনা
பூனை முகம்,মেকুৰীৰ মুখ
பூனை தலை,মেকুৰীৰ মূৰ
கேஷன்,কেটিয়ন
பூனை நடை,মেকুৰী খোজ কাঢ়িব
குழிவுறுதல் சேதம்,গহ্বৰৰ ক্ষতি
செலைட்,চেলাইট
செல்லுலார் கான்கிரீட்,কোষীয় কংক্ৰিট
செல்லுலார் கட்டுமானம்,কোষীয় নিৰ্মাণ
சிமெண்ட்,চিমেণ্ট
"சிமெண்ட், பிட்மினஸ்","চিমেণ্ট, বিটুমিনাছ"
"சிமெண்ட், அதிக வலிமை","চিমেণ্ট, উচ্চ শক্তি"
"சிமெண்ட், ஹைட்ராலிக்","চিমেণ্ট, হাইড্ৰলিক"
"சிமெண்ட், குறைந்த வெப்பம்","চিমেণ্ট, কম জুইত"
"சிமெண்ட், கொத்து","চিমেণ্ট, শিলৰ কাম"
"சிமெண்ட், இயற்கை","চিমেণ্ট, প্ৰাকৃতিক"
"சிமெண்ட், போர்ட்லேண்ட்","চিমেণ্ট, পৰ্টলেণ্ড"
"சிமெண்ட், போர்ட்லேண்ட் பிளாஸ்ட் ஃபர்னேஸ் ஸ்லாக்","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"சிமெண்ட், போர்ட்லேண்ட் போஸோலன்","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"சிமெண்ட், கசடு","চিমেণ্ট, স্লেগ"
"சிமெண்ட், சல்பேட் எதிர்ப்பு","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"சிமெண்ட், சூப்பர் சல்பேட்","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"சிமெண்ட், வெள்ளை","চিমেণ্ট, বগা"
சிமெண்ட்-மொத்த விகிதம்,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
சிமெண்ட் உள்ளடக்கம்,চিমেণ্টৰ পৰিমাণ
சிமெண்ட் ஜெல்,চিমেণ্ট জেল
சிமெண்ட் துப்பாக்கி,চিমেণ্টৰ বন্দুক
சிமெண்ட் சூளை,চিমেণ্টৰ ভঁৰাল
சிமெண்ட் பெயிண்ட்,চিমেণ্টৰ ৰং
சிமெண்ட் பூச்சு,চিমেণ্টৰ প্লাষ্টাৰ
சிமெண்ட் பாறை,চিমেণ্টৰ শিল
சிமெண்ட் குழம்பு,চিমেণ্টৰ গোন্ধ
சிமெண்ட் சேமிப்பு,চিমেণ্ট সংৰক্ষণ
சிமெண்டேஷன் செயல்முறை,চিমেণ্টেচন প্ৰক্ৰিয়া
மையப்படுத்துதல்,কেন্দ্ৰীকৰণ
மையப்படுத்துதல் மற்றும் மூடுதல்,চেণ্টাৰিং আৰু শ্বাটাৰিং
மத்திய கலப்பு கான்கிரீட்,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
மத்திய கலவை,কেন্দ্ৰীয় মিক্সাৰ
மையவிலக்கு விசிறி,কেন্দ্ৰপৃথক ফেন
சுண்ணாம்பு,চক
சேம்ஃபர்,চেমফাৰ
சேம்பர் துண்டு,চেমফাৰ ষ্ট্ৰিপ
சேனல் கற்றை,চেনেল বিম
சிறப்பியல்பு சுமை,বৈশিষ্ট্যপূৰ্ণ বোজা
பண்பு வலிமை,বৈশিষ্ট্যপূৰ্ণ শক্তি
சார்ஜ் ஆஃப்,চাৰ্জ অফ কৰক
சார்ஜ் செய்கிறது,চাৰ্জিং
சரிபார்க்கிறது,পৰীক্ষা কৰি আছে
இரசாயன பிணைப்பு,ৰাসায়নিক বন্ধন
செர்னோசெம்,চেৰনোজেম
கஷ்கொட்டை மண்,চেষ্টনাটৰ মাটি
புகைபோக்கி சாக்கடை,চিমনিৰ নালা
சிப் போர்டு,চিপ বৰ্ড
சிப்பிங்,চিপিং
சீவல்கள்,চিপছ
சரிவு,চুটে
வகுப்பு (கான்கிரீட்),শ্ৰেণী (কংক্ৰিটৰ)
களிமண்,বোকা মাটি
களிமண் உள்ளடக்கம்,মাটিৰ পৰিমাণ
களிமண் பான்,মাটিৰ কেৰাহী
சுத்தம் செய்,ক্লিনআউট
சுத்தம் செய்,চাফ-চিকুণ কৰক
கிளீட்,ক্লিট কৰক
கிளிங்கர்,ক্লিংকাৰ
கிளிப்,ক্লিপ
உறைதல்,জমা হোৱা
கரடுமுரடான மொத்த,মোটা গোটা পদাৰ্থ
கரடுமுரடான தானிய மண்,মোটা দানাযুক্ত মাটি
கோட்,কোট
காஃபர் அணை,কফাৰ বান্ধ
ஒருங்கிணைப்பு,সংহতি
கொலாய்டு,কলয়ড
கூழ் ஈரப்பதம் சமமான விகிதம்,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
கூழ் அமைப்பு,কলয়ডাল ব্যৱস্থা
கொலுவல் மண்,কলুভিয়াল মাটি
நெடுவரிசை,স্তম্ভ
சீப்பு பூச்சு,কম্বড ফিনিচিং
இணைந்த அடி,সংযুক্ত ফুটিং
ஒருங்கிணைந்த நீர்,সংযুক্ত পানী
பொதுவான அறை,কমন ৰুম
நிறைவு சான்றிதழ்,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
கூறு சதுரம்,উপাদান বৰ্গ
கான்கிரீட்,কংক্ৰিট
கான்கிரீட்,কংক্ৰিচন
ஒருங்கிணைந்த விகிதம்/தட்டை விகிதம்,একত্ৰিত হাৰ/ফ্লেট হাৰ
அசுத்தங்கள்,দূষক পদাৰ্থ
அல்கோவ் சமையல்,ৰন্ধা-বঢ়াৰ এলকোভ
சமாளிப்பது,মোকাবিলা কৰা
கோர்பெல்,কৰ্বেল
கார்னிஸ்,কৰ্নিচ
இணைப்பான்,কাপলাৰ
"கப்லர், இரட்டை","কাপলাৰ, ডাবল"
"கப்லர், புட்லாக்","কাপলাৰ, পুটলগ"
"இணைப்பு, சுழல்","কাপলাৰ, চুইভেল"
பாடநெறி,ধাৰা
சீரற்ற இடிந்த கொத்து,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
மூடப்பட்ட பகுதி,আবৃত অঞ্চল
தவழும்,অধম
க்ரீப் குணகம்,ক্ৰিপ সহগ
குரோடோவின்,ক্ৰ&#39;ট&#39;ভাইন
காக்கை கால்,কাউৰী ভৰি
நொறுக்குத் தீனி அமைப்பு,ক্ৰাম গঠন
கட்டுப்படுத்து,প্ৰতিবন্ধক
தற்போதைய,সোঁত
வளைவு எதிர்ப்பு,বক্ৰ প্ৰতিৰোধ ক্ষমতা
ஈரப்பதம் இல்லாத பாடநெறி,ডেম্প প্ৰুফ কোৰ্চ
நிறைவு தேதி,সম্পূৰ্ণ হোৱাৰ তাৰিখ
நிலைச்சுமை,ডেড লোড
இறந்த நீர்,মৰা পানী
டெசிபல்,ডেচিবেল
டிஃப்ளோகுலேஷன்,ডিফ্ল’কুলেচন
காற்றோட்டம் அல்லது காற்று விண்வெளி விகிதம்,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
திரட்டல் பட்டம்,একত্ৰীকৰণৰ মাত্ৰা
சிதறல் பட்டம்,বিক্ষিপ্ততাৰ মাত্ৰা
செறிவூட்டல் பட்டம்,চেচুৰেচনৰ ডিগ্ৰী
அடர்த்தி,ঘনত্ব
பாலைவன நடைபாதை,মৰুভূমিৰ ফুটপাথ
பாலைவன மண்,মৰুভূমিৰ মাটি
விவரங்கள்,সবিশেষ
வளர்ச்சி காலம்,উন্নয়নৰ সময়ছোৱা
டி-அடிவானம்,ডি-দিগন্ত
மூலைவிட்ட பிணைப்பு,তিৰ্যক বন্ধন
வரைபடம்,ডায়াগ্ৰাম
டிஜிட்டல் டாக்,ডিজিটেল ডক
வேறுபட்ட நீர் விகிதம்,ভিন্নতামূলক পানীৰ হাৰ
நீர்த்த காற்றோட்டம்,পাতল কৰা ভেণ্টিলেচন
டிலுவியம்,ডিলুভিয়াম
சாப்பிடும் அல்லது உணவருந்தும் அறை,খোৱাঘৰ
திசை ஆப்பு,দিশৰ পেগ
சிதறல்,বিক্ষিপ্ততা
டிஸ்டெம்பர்,ডিষ্টেম্পাৰ
கப்பல்துறை,ডক
கதவு,দুৱাৰ
டார்மர்,ডৰ্মাৰ
டார்மர் சோதனை,ডৰ্মাৰ চেক
இரட்டை சதை பிணைப்பு,ডাবল ফ্লেমিছ বণ্ড
இரட்டை அடுக்கு,ডাবল লেয়াৰ
டோவல்,ডৱেল
வரைதல் பலகை,অংকন বৰ্ড
வரைதல் அறை,ড্ৰয়িং ৰুম
சறுக்கல்,ড্ৰিফ্ট
உலர் குமிழ் வெப்பநிலை,শুকান বাল্বৰ উষ্ণতা
உலர் கப்பல்துறை,শুকান ডক
உலர் ரப்பர் கொத்து,শুকান ৰবৰৰ শিলৰ কাম
டச்சு பத்திரம்,ডাচ বণ্ড
குள்ள சுவர்,বামন দেৱাল
குடியிருப்பு அலகு,বাসস্থানৰ ইউনিট
ஈவ்,ইভ
ஈவ்ஸ் சாக்கடை,ইভছ নালা
பொருளாதார சாத்தியம்,অৰ্থনৈতিক সম্ভাৱনীয়তা
எக்டோடைனமார்பிக் மண்,বহিঃগতিশীল মাটি
எட்டி,এডি
பயனுள்ள அளவு,ফলপ্ৰসূ আকাৰ
மலர்ச்சி,ফুলৰ ফুলনি
கழிவுநீர்,এফ্লুৱেণ্ট
உயரம்,উচ্চতা
எலுவியேஷன்,এলুভিয়েচন
எலுவியம்,এলুভিয়াম
எண்டோடைனமார்பிக் மண்,এণ্ডোডাইনামৰ্ফিক মাটি
பொறியியல் சாத்தியம்,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
ஆங்கில பத்திரம்,ইংৰাজী বণ্ড
ஆங்கில தோட்ட சுவர் பத்திரம்,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
"EPM (ஒரு மில்லியனுக்கு சமம்),&quot;","ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
சமமான எடை,সমতুল্য ওজন
எ.கா,Erg
மாற்றத்தக்கது,বিনিময়যোগ্য
மாற்றக்கூடிய அமிலத்தன்மை,বিনিময়যোগ্য এচিডিটি
மாற்றக்கூடிய சோடியம் சதவீதம் (ESP),বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
ஈ.எஸ்.பி.,ই এছ পি.
பரிமாற்ற அமிலத்தன்மை,বিনিময় এচিডিটি
பரிமாற்ற வளாகம்,এক্সচেঞ্জ কমপ্লেক্স
வெளியேற்ற,নিষ্কাশন
வெளிப்பட்ட பூச்சு,উন্মুক্ত ফিনিচিং
கண்,নয়ন
கண் புருவம்,চকুৰ ভ্ৰূ
எதிர்கொள்ளும்,মুখামুখি
எதிர்கொள்ளும் பிணைப்பு,বন্ধনৰ সন্মুখীন হোৱা
பாதுகாப்பு காரணி,সুৰক্ষাৰ কাৰক
வீழ்ச்சி,পৰি যোৱা
ஃபேசியா,ফেচিয়া
முக பலகை,ফেচিয়া বৰ্ড
தவறு,দোষ
வயல் ஈரப்பதம்,পথাৰ আৰ্দ্ৰতা
இறுதி ஈரப்பதம் சமம்,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
ஃபில்லட் (மோட்டார்),ফিলেট (মৰ্টাৰৰ)
இறுதி,চূড়ান্ত
இறுதி அளவீடு,চূড়ান্ত জোখ-মাখ
இறுதி கட்டணம்,চূড়ান্ত পেমেণ্টq
இறுதி முன் மன அழுத்தம்,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
இறுதி பதற்றம்,চূড়ান্ত উত্তেজনা
நிதி சாத்தியம்,আৰ্থিক সম্ভাৱনীয়তা
நேர்த்தியான மொத்த,মিহি গোটা পদাৰ্থ
பிளவுபட்ட பாறை,ছিন্নভিন্ন শিল
கொடி கல்,পতাকা শিল
பிளெமிஷ் பிணைப்பு,ফ্লেমিছ বন্ধন
ஒளிரும்,ফিচফিচাই থকা
பளிச்சிடும் ஓடை,ঝলমলীয়া ধাৰা
தட்டையான கூரை,সমতল চাল
Fleche,ফ্লেচে
பிளெமிஷ் தோட்ட சுவர் பிணைப்பு,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
பிளின்ட்,ফ্লিন্ট
பிளின்ட் சுவர்,ফ্লিণ্টৰ দেৱাল
மிதக்கும் தளம்,ভাসমান মজিয়া
ஃப்ளோக்குலேஷன்,ফ্লকুলেচন
ஃப்ளோகுலேஷன் வரம்பு,ফ্লকুলেচন সীমা
ஃப்ளோகுலேஷன் விகிதம்,ফ্লকুলেচন অনুপাত
ஃப்ளோக்குல்ஸ்,ফ্লকুলেছ
தரை,মজিয়া
மாடி முத்திரை,মজিয়াৰ ছীল
ஓட்டம்,বৈ অহা
ஏற்ற இறக்கம்,উঠা-নমা
காலடி,ফুটিং
அறக்கட்டளை,ভেঁটি
இலவச வீழ்ச்சி பாரோ டாப்பிங் மிக்சர்,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
இலவச வீழ்ச்சி கலவை (டிரம் வகை),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
இலவச கல்,মুক্ত শিল
புதியது,ফ্ৰেছেট
உராய்வு குவியல்,ঘৰ্ষণৰ স্তূপ
தவளை,ভেকুলী
கேபிள்,গেবল
கேப்லெட்,গেবলেট
சூதாட்ட கூரை,গাম্ব্ৰেলৰ চাল
அளவீடு,জোখ লোৱা
அளவிடும் பிரிவு,গেজিং অংশ
அளவிடும் நிலையம்,গেজিং ষ্টেচন
பொதுவான இருப்பிடத் திட்டம்,সাধাৰণ স্থান পৰিকল্পনা
பொது காற்றோட்டம்,সাধাৰণ বায়ু চলাচল
G அடிவானம் அல்லது gley அடிவானம்,G দিগন্ত বা গ্লে দিগন্ত
வரை பனிப்பாறை,হিমবাহৰ টিল
Gneiss,গ্নেইছ
பொருட்கள் முற்றம்,সামগ্ৰীৰ চোতাল
சாய்வு எதிர்ப்பு,গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স
கிரானைட்,গ্ৰেনাইট
சிறுமணி அமைப்பு,দানাদাৰ গঠন
குருணையாக்கம்,গ্ৰেনুলেচন
சிறுமணி,গ্ৰেনুল
ஈர்ப்பு நீர் இல்லாத நீர்,মহাকৰ্ষণীয় পানীমুক্ত পানী
ஈர்ப்பு முற்றம்,মহাকৰ্ষণীয় চোতাল
பெரிய மண் குழு,মহান মাটিৰ গোট
கிரில்லேஜ் அடித்தளம்,গ্ৰীলেজ ফাউণ্ডেচন
தரையில் கை மோல்டிங்,গ্ৰাউণ্ড হেণ্ড মল্ডিং
குழுவாக்கப்பட்ட கப்பல்துறை,গ্ৰুপ কৰা ডক
குழு வீடுகள்,গ্ৰুপ হাউছিং
விருந்தினர் அறை,অতিথিশালা
சாக்கடை,নালা
சாக்கடை சுமப்பவர்,নালা বাহক
கால்வாய் சோதனை,নালা পৰীক্ষা
சுத்தி அலங்காரம்,হাতুৰীৰে ড্ৰেছিং
துறைமுகம்,বন্দৰ
புகலிடத் துறைமுகம்,আশ্ৰয়ৰ বন্দৰ
கடினமான பான்,কঠিন কেৰাহী
தலைப்பு,হেডাৰ
தலைப்பு பத்திரம்,হেডাৰ বণ্ড
தலைப்பு பாடநெறி,হেডাৰ পাঠ্যক্ৰম
தலை வாயில் அமைப்பு,হেড গেটৰ গঠন
கால்வாயின் தலைவர்,খালৰ মূৰ
தலைமை சீராக்கி,হেড ৰেগুলেটৰ
ஹெர்ரிங் எலும்பு பிணைப்பு,হেৰিং হাড়ৰ বন্ধন
இதயம்,হৃদয়স্পৰ্শী
ஈரமாக்கும் வெப்பம்,তিয়াই থোৱাৰ তাপ
உயர் அலுமினா சிமெண்ட்,উচ্চ এলুমিনা চিমেণ্ট
இடுப்பு,কঁকাল
ஹிப் கேப்பிங்,হিপ কেপিং
இடுப்பு முனை,হিপড এণ্ড
ஹூட்,ডকাইত
ஹூட் மோல்டிங்,হুড মল্ডিং
ஹூக்கின் சட்டம்,হুক’ৰ আইন
வளைய இரும்பு,হুপ লোহা
அடிவானம்,দিগন্ত
ஈரப்பதமாக்குதல்,আৰ্দ্ৰকৰণ
"ஈரப்பதம், முழுமையானது","আৰ্দ্ৰতা, নিৰপেক্ষ"
"ஈரப்பதம், உறவினர்","আৰ্দ্ৰতা, আপেক্ষিক"
ஹம்ப் யார்டு,হাম্প চোতাল
ஹைட்ராலிக் அழுத்தம்,হাইড্ৰলিক চাপ
நீரேற்றம்,জলসিঞ্চন
நீராற்பகுப்பு,হাইড্ৰ’লাইছিছ
ஹைட்ரோலைடிக் அமிலத்தன்மை,হাইড্ৰ’লাইটিক এচিডিটি
ஹைட்ரோமார்பிக் மண்,জলৰূপী মাটি
ஹைட்ரோஃபிலிக் கொலாய்டு,হাইড্ৰফিলিক কলয়ড
ஹைட்ரோபோபிக் கொலாய்டு,হাইড্ৰ’ফ’বিক কলয়ড
ஹைட்ரோஸ்டேடிக் அழுத்தம் விகிதம்,হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত
ஹைக்ரோஸ்காப்டிக் குணகம்,হাইগ্ৰ’স্কেপ্টিক সহগ
ஹைக்ரோஸ்கோபிக் ஈரப்பதம்,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
ஹைட்ரோஸ்கோபிசிட்டி,হাইড্ৰস্কোপিচিটি
ஹைக்ரோஸ்கோபிக் ஈரப்பதம்,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
ஹைபர்பேரிக் அறை,হাইপাৰবেৰিক চেম্বাৰ
ஹைப்பர்ஸ்டேடிக் சட்டகம்,হাইপাৰষ্টেটিক ফ্ৰেম
ஹைப்சோமீட்டர்,হাইপছ’মিটাৰ
வெளிச்சம்,আলোকসজ্জা
உட்புகுதல் ஈரப்பதம்,ইম্বিবেচন আৰ্দ্ৰতা
முதிர்ச்சியடையாத மண்,অপৰিপক্ক মাটি
