English,Kannada
Abrupt,"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
Abrupt jump,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
Abscissa,ಕೈ*
Absent reflection,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
Absent spectrum,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
Absolute,"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
Absolute acceleration,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
Absolute accuracy,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
Absolute address-specific address,ಸಂಪೂರ್ಣ ವಿಳಾಸ
Absolute altimeter,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
Absolute altitude,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
Absolute ampere,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
Absolute boilling point,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
Absolute bolometric luminosity,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
Absolute capacity,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
Absolute ceiling,ಸಂಪೂರ್ಣ ಎತ್ತರ
Absolute colour index,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
Absolute configuration,"ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
Absolute coulomb,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
Absolute darkness,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
Absolute dating,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
Absolute density,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
Absolute drift,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
Absolute e.m.u.,ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
Absolute e.s.u.,ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
Absolute efficiency,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
Absolute electrometer,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
Absolute frequency,ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
Absolute humidity,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
Absolute incidence,ಸಂಪೂರ್ಣ ಘಟನೆ
Absolute index of refraction,ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ
Absolute instability,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
Absolute intensity,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
Absolute length,"ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ"
Absolute limit of hysteresis,ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ
Absolute luminance threshold,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್
Absolute luminosity curve,ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್
Absolute magnitude,ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ
Absolute manometer,ಸಂಪೂರ್ಣ ಮಾಪಕ
Absolute maximum,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
Absolute maximum rating,ಸಂಪೂರ್ಣ ವಿಪರೀತ
Absolute minimum,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
Absolute momentum,ಸಂಪೂರ್ಣ ಆವೇಗ
Absolute motion,ಸಂಪೂರ್ಣ ವೇಗ
Absolute music=pure music,ಸಂಪೂರ್ಣ ಸಂಗೀತ
Absolute observation,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
Absolute ohm,ಸಂಪೂರ್ಣ ಓಂ
Absolute orientation,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
Absolute permittivity,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
Absolute pitch,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
Absolute pressure = true pressure,ಸಂಪೂರ್ಣ ಒತ್ತಡ
Absolute property,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
Absolute scalar,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
Absolute scale of temperature,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
Absolute simultancity,"ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
Absolute stress,ಸಂಪೂರ್ಣ ಒತ್ತಡ
Absolute symmetry,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
Absolute system of motion,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
Absolute system of units,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
Absolute temperature,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
Absolute time,ಸಂಪೂರ್ಣ ಸಮಯ
Absolute unit,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
Absolute value,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
Absolute value computer,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
Absolute velocity,ಸಂಪೂರ್ಣ ವೇಗ
Absolute viscosity,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
Absolute weight,ಸಂಪೂರ್ಣ ತೂಕ
Absolute zero,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
Absolute zero devisor,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
Absorb,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
Absorbance,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
Absorbed energy,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
Absorber,"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
Absorbing medium,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
Absorbing power,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
Absorptance,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Absorptiometer,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
Absorptiometry,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
Absorption,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Absorption band,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
Absorption circuit,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
Absorption coeffieient,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
Absorption column,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
Absorption constant,ಹೀರುವಿಕೆ ಸ್ಥಿರ
Absorption continua,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
Absorption cross section,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
Absorption current,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
Absorption curve (=transmission curve),ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
Absorption discontinuity,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
Absorption edge,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
Absorption factor,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
Absorption filter,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
Absorption flame photometry,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
Absorption hygrometer,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
Absorption index,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
Absorption limit,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
Absorption line,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
Absorption loss,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
Absorption modulation=loss modulation,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
Absorption of light,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Absorption of radiant energy,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Absorption peak,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
Absorption photometry,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
Absorption ratio,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
Absorption series,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
Absorption spectro photometry,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
Absorption spectrum,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
Absorption tube,"ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
Absorption vavemeter,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
Absorptive,ಹೀರಿಕೊಳ್ಳುವ*
Absorptive attenuator,ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ
Absorptive law,ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*
Absorptive medium,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ
Absorptive power,"ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*"
Absorptivity,ಹೀರಿಕೊಳ್ಳುವಿಕೆ*
Abstract set=studio decoration,ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ
Abundance ratio,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
Abvolt,abvolt
Abwatt,ಸುಮಾರು
Accelerate,ವೇಗವನ್ನು
Accelerate-stop distance,ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ
Accelerated,ಆತುರಪಟ್ಟರು
Accelerated ageing test,ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
Accelerated flow,ತ್ವರಿತ ಹರಿವು
Accelerated motion,ತ್ವರಿತ ಗತಿ
Accelerated system,ತ್ವರಿತ ದೇಹ
Accelerating balance,ವೇಗವರ್ಧಕ ತೂಕ
Accelerating electrode,ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*
Accelerating period,ವೇಗವರ್ಧಕ ಸಮಯ*
Accelerating phase,ವೇಗವರ್ಧಕ ಹಂತ
Accelerating rate,ವೇಗವರ್ಧಕ ದರ
Accelerating voltage,ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*
Acceleration,ವೇಗವರ್ಧನೆ
Acceleration blowout=rich extinction=flame out,ವೇಗವರ್ಧಿತ ದಹನ
Acceleration coefficient,ವೇಗವರ್ಧಕ ಗುಣಾಂಕ
Acceleration component,ವೇಗವರ್ಧಕ ಘಟಕ
Acceleration due to gravity,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
Acceleration factor,ವೇಗವರ್ಧಕ ಅಂಶ
Acceleration feedback,ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್
Acceleration of gravity,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
Acceleration potential,ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ
Acceleration principle,ವೇಗವರ್ಧಕ ಕಾನೂನು
Acceleration process,ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ
Acceleration space,ವೇಗವರ್ಧಕ ವಲಯ
Acceleration technique,ವೇಗವರ್ಧಕ ವಿಧಾನ
Acceleration tolerance,"ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ"
Acceleration vector,ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್
Acceleration voltage,ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್
Acceleration wave,ವೇಗವರ್ಧಕ ತರಂಗ
Accelerative,ವೇಗವರ್ಧಕ
Accelerator,"ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*"
Accelerator equation,ವೇಗವರ್ಧಕ ಸಮೀಕರಣ
Accelerograph,ವೇಗವರ್ಧಕ*
Accelerometer,ವೇಗವರ್ಧಕ
Accelerometer matching,ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ
Accentuator,ಪ್ರಿಸ್ಟ್ರೆಸರ್
Acceptable character,ಮಾನ್ಯ ಅಕ್ಷರಗಳು
Acceptance angle,ಸ್ವೀಕಾರ ಕೋನ
Acceptance specifications,ಸ್ವೀಕಾರ ವಿವರಣೆ
Acceptance test,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
Acceptor,"ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು"
Acceptor atom,ಗ್ರಾಹಕ ಪರಮಾಣು
Acceptor bond,ಗ್ರಾಹಕ ಬಂಧ
Acceptor circuit,ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್
Acceptor level,ಗ್ರಾಹಕ ಮಟ್ಟ
Acceptor molecule,ದಾನಿ ಅಣು
Acceptor property,ಗ್ರಾಹಕ ಆಸ್ತಿ
Acceptor property level,ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ
Accererating tube,ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ
Access,"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ"
Access arm,ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ
Access mechanism,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
Access time,ಪ್ರವೇಶ ಸಮಯ
Accessibility,ಪ್ರವೇಶಿಸುವಿಕೆ
Accessory,"ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು"
Accessory condition,ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು
Accidental coincidence,ಕಾಕತಾಳೀಯ
Accidental correction,ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ
Accidental degeneracy,ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ
Accidental double refraction,ಆಕಸ್ಮಿಕ ತಿರುವು
Accidental error,ಸಂದರ್ಶಕರ ದೋಷ
Accidental jamming,"ಹಠಾತ್ ನಿಲುಗಡೆ, ಹಠಾತ್ ಕ್ಲ್ಯಾಂಪ್"
Accidental transmission,ಆಕಸ್ಮಿಕ ಪ್ರಸರಣ
Accidental variation,ಯಾದೃಚ್ಛಿಕ ವ್ಯತ್ಯಾಸ
Accommodation,ಹೊಂದಾಣಿಕೆ
Accumbent,ನೆಲೆಗೊಂಡಿದೆ
Accumulated error,ಸಂಚಿತ ದೋಷ
Accumulation,"ಶೇಖರಣೆ, ಶೇಖರಣೆ"
Accumulation of energy,ಶಕ್ತಿ ಸಂಗ್ರಹಣೆ
Accumulator,ಸಂಚಯಕ*
Accuracy,ನಿಖರತೆ
Accurate,ರಿಯಾಲಿಟಿ
Accurate instrumental observation,ನಿಜವಾದ ಉಪಕರಣ ವೀಕ್ಷಣೆ
Accurate range marker,ನಿಖರ ಶ್ರೇಣಿಯ ಮಾರ್ಕರ್
Accurate scanning,ನಿಖರವಾದ ಸ್ಕ್ಯಾನಿಂಗ್
Accustomisation,ಅಭ್ಯಾಸ
Acdelerating chamber,ವೇಗವರ್ಧಕ ಕೋಶ*
Achromat,ವರ್ಣರಹಿತ ಮಸೂರ*
Achromatic,ವರ್ಣರಹಿತ*
Achromatic analyser,ವರ್ಣರಹಿತ ವಿಶ್ಲೇಷಕ
Achromatic antenna,ಆವರ್ತನ ತಟಸ್ಥ ಆಂಟೆನಾ
Achromatic figure,ವರ್ಣರಹಿತ ಆಕಾರ
Achromatic fringe,ವರ್ಣರಹಿತ ಫ್ರಿಂಜ್
Achromatic lens,ವರ್ಣರಹಿತ ಮಸೂರ*
Achromatic locus,ವರ್ಣರಹಿತ ಬಿಂದು ಮಾರ್ಗ
Achromatic object lens,ವರ್ಣರಹಿತ ಮಸೂರ
Achromatic prism,ವರ್ಣರಹಿತ ಪ್ರಿಸ್ಮ್
Achromatic telescope,ವರ್ಣರಹಿತ ದೂರದರ್ಶಕ
Achromaticity,ವರ್ಣರಹಿತತೆ*
Achromatisation,ವರ್ಣಮಯಗೊಳಿಸುವಿಕೆ*
Achromatism,ವರ್ಣರಹಿತತೆ*
Aclastic,"ಸ್ಥಿತಿಸ್ಥಾಪಕ, ವಕ್ರೀಕಾರಕ, ಸ್ಥಿತಿಸ್ಥಾಪಕ"
Acorn tube,"ಆಕ್ರಾನ್ ಹೋಸ್, ಬಂಜು ಹೋಸ್"
Acorn valve,ಚಿಕಣಿ ಕವಾಟ
Acouphony,ಅಕೋಫೋನಿ
Acoustic,ಅಕೌಸ್ಟಿಕ್
Acoustic absorptivity,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Acoustic attenuation coeffcient,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಶನ್ ಗುಣಾಂಕ
Acoustic attenuation constant,ಅಕೌಸ್ಟಿಕ್ ಕ್ಷೀಣತೆ
Acoustic burglar alarm,ಅಕೌಸ್ಟಿಕ್ ಕಳ್ಳ ಎಚ್ಚರಿಕೆ
Acoustic capacitance,ಅಕೌಸ್ಟಿಕ್ ಕೆಪಾಸಿಟನ್ಸ್
Acoustic centre,ಶ್ರವಣ ಕೇಂದ್ರ
Acoustic clarifier,ಅಕೌಸ್ಟಿಕ್ ವಿವರಣೆ
Acoustic cloud,ಅಕೌಸ್ಟಿಕ್ ಕವರ್
Acoustic compliance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustic component,ಅಕೌಸ್ಟಿಕ್ ಘಟಕ
Acoustic conductivity,ಅಕೌಸ್ಟಿಕ್ ವಾಹಕತೆ
Acoustic damping,ಅಕೌಸ್ಟಿಕ್ ಡ್ಯಾಂಪಿಂಗ್
Acoustic dispersion,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
Acoustic dissipation element,ಧ್ವನಿ ಹ್ಯಾಕರ್
Acoustic energy,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ*
Acoustic energy equation,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ ಸಮೀಕರಣ
Acoustic equation,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
Acoustic feedback,ಅಕೌಸ್ಟಿಕ್ ಮರುಸ್ಥಾಪನೆ
Acoustic figures (Chladni figures),ಕ್ಲಾಡ್ನಿ ಆಕಾರಗಳು
Acoustic filter,ಅಕೌಸ್ಟಿಕ್ ಫಿಲ್ಟರ್
Acoustic generator,ಧ್ವನಿ ಜನರೇಟರ್
Acoustic grating,ಅಕೌಸ್ಟಿಕ್ ಗ್ರ್ಯಾಟಿಂಗ್
Acoustic impedance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿರೋಧ*
Acoustic inertance,ಅಕೌಸ್ಟಿಕ್ ಜಡತ್ವ
Acoustic intensity,ಅಕೌಸ್ಟಿಕ್ ತೀವ್ರತೆ
Acoustic interferometer,ಅಕೌಸ್ಟಿಕ್ ಹಸ್ತಕ್ಷೇಪ ಮೀಟರ್
Acoustic intrusion detector,ಅಕೌಸ್ಟಿಕ್ ಹಸ್ತಕ್ಷೇಪ ಪತ್ತೆಕಾರಕ
Acoustic lens,ಅಕೌಸ್ಟಿಕ್ ಲೆನ್ಸ್
Acoustic line,ಧ್ವನಿ ಸಾಲು
Acoustic mass,ಅಕೌಸ್ಟಿಕ್ ದ್ರವ್ಯರಾಶಿ
Acoustic material,ಅಕೌಸ್ಟಿಕ್ ವಸ್ತು
Acoustic mean free path,ಅಕೌಸ್ಟಿಕ್ ಎಂದರೆ ಮುಕ್ತ ಮಾರ್ಗ
Acoustic mode,ಅಕೌಸ್ಟಿಕ್ ಮೋಡ್
Acoustic noise,ಅಕೌಸ್ಟಿಕ್ ಶಬ್ದ
Acoustic ohm,ಅಕೌಸ್ಟಿಕ್ ಓಮ್*
Acoustic panel,"ಅಕೌಸ್ಟಿಕ್ ಪ್ಯಾನಲ್, ಅಕೌಸ್ಟಿಕ್ ಬೋರ್ಡ್"
Acoustic phase constant,ಅಕೌಸ್ಟಿಕ್ ಹಂತದ ಸ್ಥಿರ
Acoustic pickup (sound box),ಅಕೌಸ್ಟಿಕ್ ರಿಸೀವರ್
Acoustic pressure,ಅಕೌಸ್ಟಿಕ್ ಒತ್ತಡ
Acoustic principle of similarity,ಧ್ವನಿಯ ಸಮ್ಮಿತಿ ನಿಯಮ
Acoustic propagation constant,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
Acoustic property,ಅಕೌಸ್ಟಿಕ್ ಗುಣಲಕ್ಷಣಗಳು
Acoustic quardrupole,ಅಕೌಸ್ಟಿಕ್ ಕ್ವಾಡ್ರುಪೋಲ್
Acoustic radiating element,ಅಕೌಸ್ಟಿಕ್ ವಿಕಿರಣ ಅಂಶ
Acoustic radiation,ಅಕೌಸ್ಟಿಕ್ ವಿಕಿರಣ
Acoustic radiator,ಧ್ವನಿ ನಿರೋಧಕ
Acoustic radiometer,ಅಕೌಸ್ಟಿಕ್ ರೇಡಿಯೊಮೀಟರ್
Acoustic reactance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustic reciprocity theorem,ಅಕೌಸ್ಟಿಕ್ ರೆಸಿಪ್ರೊಸಿಟಿ ಪ್ರಮೇಯ
Acoustic reduction factor,ಅಕೌಸ್ಟಿಕ್ ಕಡಿತದ ಅಂಶ
Acoustic reflection coefficient,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಫಲನ ಗುಣಾಂಕ
Acoustic refraction,ಅಕೌಸ್ಟಿಕ್ ವಕ್ರೀಭವನ
Acoustic resistance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿರೋಧ
Acoustic responsiveness,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustic scattering,ಅಕೌಸ್ಟಿಕ್ ಸ್ಕ್ಯಾಟರಿಂಗ್
Acoustic spot,ಶ್ರವಣ ಬಿಂದು
Acoustic stiffiness,ಅಕೌಸ್ಟಿಕ್ ಬಿಗಿತ
Acoustic system,ಅಕೌಸ್ಟಿಕ್ ವ್ಯವಸ್ಥೆ
Acoustic thermometer,ಅಕೌಸ್ಟಿಕ್ ಥರ್ಮಾಮೀಟರ್
Acoustic velocity,ಅಕೌಸ್ಟಿಕ್ ವೇಗ
Acoustic wave,ಧ್ವನಿ ತರಂಗ
Acoustical,ಅಕೌಸ್ಟಿಕ್
Acoustical absorption co-efficient,ಧ್ವನಿ ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
Acoustical absorption factor,ಧ್ವನಿ ಹೀರಿಕೊಳ್ಳುವ ಘಟಕ
Acoustical circuit,ಅಕೌಸ್ಟಿಕ್ ಸರ್ಕ್ಯೂಟ್
Acoustical compliance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustical delay line,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
Acoustical distortion,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
Acoustical energetics,ಅಕೌಸ್ಟಿಕ್ ಅಕೌಸ್ಟಿಕ್ಸ್
