Odiya,Bengali
ଭୟଙ୍କର ବିବିଧତା |,অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য
ଭୟଙ୍କର ଜୋନିଂ |,অ্যাগ্রোক্লিম্যাটিক জোনিং
Agroftry,কৃষি
ସହଯୋଗୀ,কৃষিবিদ
କିରେନୋନୋମ୍ବନ,কৃষি
Agronastoal,অ্যাগ্রোপাস্টোরাল
ସହପ୍ରଗୋକ୍ତ,কৃষি
ଦୁର୍ଗସ୍,অ্যাগ্রোস্টোলজি
Agrotype,এগ্রোটাইপ
ବାୟୁ ପ୍ଲାଣ୍ଟ |,এয়ার প্ল্যান্ট
ଆକିଓଚି ମାଟି |,আকিওচি মাটি
ଆଲବିନିମ୍,অ্যালবিনিজম
Altfisolles,আলফিসোলস
ଆଲିଜି |,শৈবাল
Alegal ରୋଗ,অ্যালগাল ডিজিজ
ଆଲକାଲି ପାଣି |,ক্ষার জল
କ୍ଷାରିକ |,ক্ষারীয়
ଆହେଲେ |,অ্যালিল
ଆଲଲେଇଚିକ୍,অ্যালিলোকেমিক্যালস
ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |,Allelomorph
ଆଲୋଲୋପାଥି |,অ্যালোলোপ্যাথি
ଆଲି କ୍ରପ୍ କରିବା |,অলি ক্রপিং
Alloarcy,বরাদ্দ
ଆଲଗଲାମି |,অ্যালোগ্যামি
Allomitry,অ্যালোমেট্রি
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,অ্যালোপলিপ্লয়েড
Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍),Allosynapsis (allosyndesis)
ବିକଳ୍ପ ନୋଟିଂ |,বিকল্প ভারবহন
ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |,বিকল্প জমি ব্যবহার
ପରିବେଶ,পরিবেষ্টিত
ଅମୃତାରା,অ্যামেলিয়োর্যান্ট
ଅମିତୋସାଇସ୍ |,অ্যামিটোসিস
ଅମୃତନ,গোলাবারুদ
ଆମୋନିଫିକେଟ୍,অ্যামোনিফিকেশন
ଆମୋନିଫାୟର୍,অ্যামোনিফায়ার
ଅମୋରଫ,অ্যামর্ফ
ଆମ୍ଫିମିକ୍ସିସ୍ |,অ্যাম্ফিমিক্সিস
ଆମ୍ଫୋଷ୍ଟିକ୍ |,এমফোটেরিক
ଆନାବୋଲିଜିମ୍ |,অ্যানাবোলিজম
ଆନାରୋବେ |,অ্যানেরোব
ଆନୁପ୍ଲଏଡ୍ |,অ্যানিউপ্লয়েড
କୋଣ ବୃକ୍ଷ,কোণ রোপণ
ପଶୁ କୁମ୍ଭାରୀ,পশুপালন
ପଶୁ ମନା କରେ |,প্রাণী প্রত্যাখ্যান
ଆନିମେଟ୍ ଶକ୍ତିମାନ |,অ্যানিমেট শক্তি
Aningoploid,অ্যানিসোপ্লয়েড
ବାର୍ଷିକ ଉଦ୍ଭିଦ |,বার্ষিক উদ্ভিদ
ବାର୍ଷିକ,বার্ষিক
ଆନେସିଟି,অ্যান্থেসিস
ଆନ୍ଥ୍ରାକ୍ସ |,অ্যানথ্রাক্স
ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |,অ্যানথ্রোপোজেনিক ফ্যাক্টর
ଆଣ୍ଟିବାସିସ୍,অ্যান্টিবায়োসিস
ଆଣ୍ଟିବାୟୋଟିକ୍ |,অ্যান্টিবায়োটিক
ପ୍ରତିକାର,প্রতিষেধক
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,অ্যান্টিঅক্সিডেন্টস
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,অ্যান্টিটক্সিন
ବ୍ରହ୍ମାଣ୍ଡ,অ্যানুলাস
ଆପିଡ୍ |,এফিড
ଆପିକାଲ୍ ଗୁଣ୍ଡ |,অ্যাপিকাল কুঁড়ি
ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |,অ্যাপিকাল আধিপত্য
ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା),এপিক্যালচার (মৌমাছি পালন)
ଆପୋମିକ୍ସସ୍ |,অ্যাপোমিক্সিস
ଆପୋଟୋଏସ୍,অ্যাপোপটোসিস
ଅନୁକ୍ରମଣିକା,সংযোজন
ଭୋକକାରୀ,ক্ষুধার্ত
ପ୍ରୟୋଗ କରାଯାଏ |,প্রয়োগ
ଜଳୀୟ ତୃଣ,জলজ আগাছা
ଅର୍ବ୍ରାଲ୍ |,আরবোরিয়াল
ସ୍ଥାପନ |,আর্বোরাইজেশন
ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,আর্কিও-বোটানিকাল রেকর্ডস
କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ,অঞ্চল পরিসংখ্যান
କ୍ଷେତ୍ର,অঞ্চল
ARID ECOSYSem |,শুকনো বাস্তুতন্ত্র
ଅରିଲ୍,আরিল
ସୁଗନ୍ଧ,সুগন্ধ
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,সুগন্ধযুক্ত উদ্ভিদ
ସୁଗନ୍ଧିତ ଚାଉଳ |,সুগন্ধযুক্ত চাল
ତୀର,তীর
ଆସେସିସ୍,Asepsis
ଅଭିଯୁକ୍ତ,অ্যাসেপটিক
ଶ୍ୱେକାର ପ୍ରଚାର,অ্যাসেক্সুয়াল প্রচার
ଆମ୍ପେ,অ্যাস
ସମ୍ପତ୍ତି,সম্পদ
ଆସିମେଇର |,সংমিশ্রণ
ସଙ୍ଗଠନ,সংঘ
Astringent,জ্যোতিষী
ଆସନାପାସୀ |,অ্যাসিনাপসিস
ସଂଲଗ୍ନବାଦ,Atavism
ପରମାଣିଜର,Atomizer
ଆଟ୍ରୋଫି |,অ্যাট্রোফি
ଅଟୋଗାମି |,অটোগামি
ଅଟଲିସିସ୍ |,অটোলাইসিস
AroutDation,অটোক্সিডেশন
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,অটোপলিপ্লয়েড
Auxins,অক্সিনস
Awn (ବ୍ରଷ୍ଟଲ୍),এডাব্লুএন (ব্রিজল)
ବାଦାମ |,বাদাম
ଆଲୋ,অ্যালো
ଅମରାନ୍ତିନ |,অমরান্থাস
ଆମି,আম্মি
ଅଜାନର ଘାସ |,অঞ্জান ঘাস
ଆଠର୍ିୟମ୍ |,অ্যান্থুরিয়াম
"ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |","অোনলা, ভারতীয় গুজবেরি"
ଆପଲ୍,অ্যাপল
ଆପ୍ରିକେଟ୍ |,এপ্রিকট
ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |,আরবিয়ান জেসমিন
Areca but,সুপারি বাদাম
ଅର୍ଜନୁନ୍,অর্জুন
ଆସଫୋଏଡା,Asfoetida
ପାଉଁଶ ଗୁଣ୍ଡ |,অ্যাশ লাউ
ଅଶୋକା ଗଛ |,অশোক গাছ
ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା),আশ্থমা আগাছা (ইউফোর্বিয়া)
ଅସରପା,অ্যাস্পারাগাস
ଆଭୋକାଡୋ |,অ্যাভোকাডো
ଆଲଫାଲଫା (ଲୁସେର୍ନ),আলফালফা (লুসার্ন)
ପିମ୍ପୁଡ଼ି,পিঁপড়া
ଆପିଡସ୍ |,এফিডস
ସେନା ପୋକ,সেনা কৃমি
କୃଷି ଅର୍ଥନୀତିଜ୍ଞ,কৃষি অর্থনীতিবিদ
କୃଷି ବିସ୍ତାରବାଦୀ |,কৃষি এক্সটেনশনিস্ট
କୃଷି ବ scientist ଜ୍ଞାନିକ |,কৃষি বিজ্ঞানী
କୃଷି ଅଞ୍ଜିନକାରୀ |,কৃষি প্রকৌশলী
Agrobiooglist,অ্যাগ্রোবায়োলজিস্ট
ସହଯୋଗୀ,কৃষিবিদ
Agropsicsicst,অ্যাগ্রোফিজিসট
ପଶୁ ପ୍ରଜନକ |,প্রাণী ব্রিডার
ବାକିଲସ୍ ଭାଇରସ୍ |,ব্যাসিলাস ভাইরাস
ବାଣ୍ଡିଲସ୍ |,ব্যাসিলাস
ଜୀବାଣୁ,ব্যাকটিরিয়া
ବିରାଇଓଟୋକ୍ସିନ୍ |,ব্যাকটিরিওক্সিন
ବାଗାସେସ୍ |,ব্যাগাস
ତୂଳନା ପତ୍ର,ব্যালেন্স শীট
ସନ୍ତୁଳିତ ଫର୍ଟିଲାଇଜେସନ୍ |,ভারসাম্যহীন নিষেক
ବାର୍ ଚିତ୍ର |,বার ডায়াগ্রাম
ଭୁକିବା |,বাকল
ବାରୋମିଟର |,ব্যারোমিটার
ବନ୍ଧ୍ୟା,বন্ধ্যা
ଆଧାର,বেস
ବାସନ,বেসিন
ପରଫିପାଲ୍ |,বেসিপেটাল
ଆଧାର ତୁଲମ୍ |,বেসস্টারনাম
ବାଇ ମ so ସୁମୀ |,উপসাগর
ଉଦ୍ଭିଦ ବହନ,বিয়ারিং প্ল্যান্ট
ଶଯ୍ୟା,বিছানা
ଶଯ୍ୟା,বেডার
ଶଯ୍ୟା,বিছানাপত্র
ବିଟ୍ ଗୁଣ୍ଡ |,বীট গুড়
ଘଣ୍ଟି,বেলো
ବେଲ୍ଟ,বেল্ট
ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,বেনিফিট-ব্যয় বিশ্লেষণ
ପକ୍ଷପାତ (ନମୁନା),পক্ষপাতদুষ্ট (নমুনা)
ବିଏନୋନିଆଲ୍,দ্বিবার্ষিক
Binomial,দ্বিপদী
ବାୟୋଲାଇଜେଣ୍ଟ |,বায়োএজেন্ট
ବାୟୋସେଡିକ୍ |,বায়োক্লিমেট
ବାୟୋହୀ,বায়োনারজি
ବାୟୋନୋମିକ୍ସ |,বায়োনমিক্স
ବାୟୋରାକ୍ଟର,বায়োরিয়্যাক্টর
ବାୟୋସଫିର୍,বায়োস্ফিয়ার
ବାୟୋଟିକ୍ |,বায়োটিক
ବାୟୋଟାଇପ୍ |,বায়োটাইপ
ବିସେକ୍ସୁଆଲ୍,উভকামী
ଖାଲି,ব্লাঞ্চিং
ବିସ୍ଫୋରଣ,বিস্ফোরণ
ମିଶ୍ରଣ,মিশ্রণ
ଶୁକ୍ର,ব্লাইট
ଫୁଲା,ফোস্কা
ବ୍ଲୁ ବିପ୍ଳବ,নীল বিপ্লব
ତଳ ଉତ୍ତାପ ଚାମ୍ବର |,নীচে তাপ চেম্বার
ତଳ ଉତ୍ତାପ ଟେକ୍ନିକ୍ |,নীচে তাপ কৌশল
ଶାଖା,ব্রান
ଶାଖା,শাখা
ଶାଖା,শাখা
ପ୍ରଜାତି,প্রজনন
ପ୍ରଜନନ,প্রজনন
ଉଜ୍ଜ୍ୱଳ,Brimming
Etod,ব্রুড
ବଡିଙ୍ଗ,উদীয়মান
ବଜେଟ୍,বাজেট
ବଫର୍,বাফার
ବଲ୍ବ,বাল্ব
ବଣ୍ଟନ,বুট
ଉତ୍ପାଦ ଦ୍ୱାରା,উপজাত
ବାବୁଲ ଆକାସିଆ |,বাবুল অ্যাকাসিয়া
ଶିଶୁ ମକା |,শিশুর ভূট্টা
ବାଥ୍,বেল
ବିଲ୍,বেল
ବାଲସାମ,বালসাম
ବାଉଁଶ,বাঁশ
କଦଳୀ,কলা
ବାନିଆନ୍ ଗଛ |,বটগাছ
ବାର୍ଲି,বার্লি
ବରଗାର୍ଡ ମିଲେଟ୍ |,বার্নইয়ার্ড মিললেট
ବେସନ,পুদিনা
ବଷ୍ଟାର୍ଡ ​​ଏରସ,জারজ সিডার
ବଷ୍ଟାର୍ଡ ​​ମିରୋବଲାନ୍ |,জারজ মাইরোবালান
ବାହୁଏସିଆ,বাউহিনিয়া
ଦୁ very ଖଦ,বে বেরি
ବିନ୍,বিন
ବିଲାତି,বীট
ବେଲାଣ୍ଡୋନା,বেলাদোনা
ହେ,বের
Berseim,বার্সিম
Beelt,সুপারি
ବିଲିମ୍ବି,বিলিম্বি
ତିକ୍ତ ଗୁଣ୍ଡ |,বিটার লাউ
କଳା ଗ୍ରାମ,কালো গ্রাম
କଳା ନାଇଟ୍ଶେଡ୍ |,কালো নাইটশেড
ବଗିନିଭିଆ |,বোগেনভিলিয়া
ବୋତଲ ବ୍ରଶ |,বোতল ব্রাশ
ବୋତଲ ଗୋବଲଙ୍କ |,বোতল লাউ
ବାକ୍ସ ଗଛ,বক্স ট্রি
ରୁଟି ଫଳ,রুটি ফল
Bridal creper,ব্রাইডাল লতা
ବ୍ରିନଜାଲ୍ |,ব্রিনজাল
ବ୍ରଡ୍ ବିନ୍ |,ব্রড শিম
ବ୍ରୋକୋଲି,ব্রোকলি
ବ୍ରସେଲର ସ୍ପ୍ରୁଟ୍ |,ব্রাসেলের স্প্রাউট
ବାଲକ୍ୟୁଟ,বাকউইট
ବଟି,বুটিয়া
ବ୍ୟାଣ୍ଡିକୋଟ୍ |,ব্যান্ডিকুট
ଭାଲୁ,ভাল্লুক
ପୋକ,বিটল
ବ୍ଲିଷ୍ଟର ବିଟଲ୍ |,ফোস্কা বিটল
ନୀଳ ଷଣ୍। |,নীল ষাঁড়
ବୋଲ୍ ପୋକ,বোল কৃমি
ପ୍ରଜାପତି,প্রজাপতি
ଜୀବାଣୁ ବିଶେଷଜ୍ଞ |,ব্যাকটিরিওলজিস্ট
ବାୟୋକେମିଷ୍ଟ |,বায়োকেমিস্ট
ଜୀବବିଜ୍ଞାନୀ |,জীববিজ্ঞানী
ବାୟୋଟଚନୋଲୋଜିଷ୍ଟ,বায়োটেকনোলজিস্ট
ଉଦ୍ଭିଦଦାତା,উদ্ভিদবিদ
C ଆର୍ଦ୍ରତା ଚରିତ୍ରିକ ବକ୍ର |,সি আর্দ্রতা বৈশিষ্ট্যযুক্ত বক্ররেখা
ପିଠା,কেক
ସହଭାଗୀ,ক্যালারিয়াস
କାଲସିଫିକେସନ୍ |,ক্যালিফিকেশন
ଫସଫେଟର କାଲକେଣ୍ଟ |,ফসফেটের ক্যালকিনেশন
ଚତୁରତା,Calost
କୁଲସ୍,কলাস
କାଲିକ୍ସ,ক্যালিক্স
କାଲିକ୍ସ-ଏଣ୍ଡ |,ক্যালিক্স-এন্ড
କାମ୍ବିୟମ୍,ক্যাম্বিয়াম
କାକର,ক্যান্সার
କ୍ୟାନିଂ,ক্যানিং
ଛାତ,ক্যানোপি
ପୁଞ୍ଜି,মূলধন
କାଗଶ,ক্যাপরিফিকেশন
Capsule,ক্যাপসুল
କାର୍ବନ୍ରେଟେଡ୍ |,কার্বনেটেড
କାର୍ବୋନିଅନାଇଜେସନ୍ |,কার্বনাইজেশন
କାର୍ପେଲ,কার্পেল
କାର୍ପସ୍ |,কার্পাস
କାଷ୍ଟିଂ,ঢালাই
କାଟାବୋଲିଜିମ୍ |,ক্যাটাবোলিজম
କାଟାଲିସିସ୍ |,ক্যাটালাইসিস
କୀଟପତଙ୍ଗ,শুঁয়াপোকা
C- DNA ଲାଇବ୍ରେରୀ |,সি-ডিএনএ লাইব্রেরি
ଛାତ,সিলিং
କକ୍ଷ,সেল
କେନ୍ଦ୍ରୀୟ ନେତା ବ୍ୟବସ୍ଥା |,কেন্দ্রীয় নেতা ব্যবস্থা
ସେଣ୍ଟ୍ରିକ୍ |,কেন্দ্রিক
ଶତକଡ଼ା,সেন্ট্রিফিউগেশন
ସେଣ୍ଟ୍ରିଫେଜ୍ |,সেন্ট্রিফিউজ
ସେଣ୍ଟ୍ରିଓନ୍ |,সেন্ট্রিওল
ସେଣ୍ଟ୍ରୋଜେନିକ୍ |,সেন্ট্রোজেনিক
ସେଣ୍ଟ୍ରୋଜେନସ୍ |,সেন্ট্রোজেনাস
କୀପତି,সার্কাস
ଶସ୍ୟ,সিরিয়াল
ପ୍ରମାଣପତ୍ର,শংসাপত্র
ସାର୍ଟିଫାଏଡ୍ ବିହନ |,প্রত্যয়িত বীজ
ଚାଉଳ,চ্যাফ
ଚେଲାଜା |,চালাজা
କେମୋଟ୍ରୋପିମ୍ |,কেমোট্রপিজম
ଚିୟମା,চিয়াসমা
ଥଣ୍ଡା ଘଣ୍ଟା |,শীতল সময়
ଚିଲିଂ ଆଘାତ |,শীতল আঘাত
ଚିମେରା |,চিমেরা
ଚୋରାନେଣ୍ଟି |,ক্লোরান্টি
କ୍ଲୋରୋଫିଲେଲ୍ |,ক্লোরোফিল
ଚୋରୋରୋସାଇସ୍,ক্লোরোসিস
ଚୋରୋରୋଲୋଜି |,ক্লোরোলজি
କ୍ରୋମାମାସିଡ୍ |,ক্রোমাটিড
ଚ୍ରୋମାଟିନ୍ |,ক্রোমাটিন
ଚ୍ରୋମାଟୋଗ୍ରାଫି,ক্রোমাটোগ্রাফি
ଚୋରମାଟୋଲିଆସିସ୍,ক্রোমাটোলাইসিস
କ୍ରୋମେଣ୍ଟ୍ରେ |,ক্রোমোসেন্ট্রে
ଚେରମୋଲେନ୍ସେସ୍,ক্রোমোজেনেসিস
କ୍ରୋମ୍ରୋପ୍ରୋଇଟେନ୍ |,ক্রোমোপ্রোটিন
କ୍ରୋମୋଜୋମ୍,ক্রোমোজোম
କ୍ରନିକ୍,দীর্ঘস্থায়ী
କୃଷି,সিট্রঞ্জ
କ୍ଲାନ୍ତ,ক্লেডোড
ବର୍ଗୀକରଣ,শ্রেণিবদ্ধকরণ
ମାଟି,ক্লে
ସଫା କରିବା,পরিষ্কার
କ୍ଲିସିଷ୍ଟଗାମି |,ক্লিস্টোগ্যামি
ଜଳମୟ ଫଳ |,ক্লাইম্যাক্টেরিক ফল
ଜଳବାୟୁ,জলবায়ু
କମ୍ପନୋଲୋଜି,জলবায়ু
କ୍ଲିପର୍,ক্লিপার
କ୍ଲାନ୍ତ,ক্লোড
କ୍ଲୋନ,ক্লোন
ମେଘ,মেঘ
Ump ୁଲା |,ক্লাম্প
କ୍ଲଷ୍ଟର,ক্লাস্টার
କଠିନ,মোটা
କୋଟ୍ (ବିହନ),কোট (বীজ)
ନଡିଆ,কোকুন
ସହଯୋଗୀ,কোএনজাইম
ଘନିଷ୍ଠ,সংহতি
କୋର,কয়ার
କୁଲେରରିଜା,কোলোররিজা
କଲର,কলার
କୋଲଏଡ୍ (ମାଟି),কলয়েড (মাটি)
କୋନିଲେଲା,কলিউমেলা
ସ୍ତମ୍ଭ,কলাম
ପ୍ରଶଂସା,কমেন্সালিজম
ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ,বাণিজ্যিক ব্যাংক
ଦ୍ରବ୍ୟ,পণ্য
ସମ୍ପ୍ରଦାୟ,সম্প্রদায়
ସଙ୍କୋଚନ (ମାଟିର),সংযোগ (মাটির)
ସୁସଙ୍ଗତତା,সামঞ্জস্যতা
ସୁସଙ୍ଗତତା,সামঞ্জস্যতা
କ୍ଷତିପୂରଣ,ক্ষতিপূরণ
ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |,প্রতিযোগিতামূলক মিথস্ক্রিয়া
ସମ୍ପୃକ୍ତ ଫସଲ,পরিপূরক ফসল
ଜଟିଳ,জটিল
ଉପାଦାନ,উপাদান
ରଚନା,গঠন
କମ୍ପୋଷ୍ଟ,কম্পোস্ট
ଯ ound ଗିକ ଆଗ୍ରହ |,চক্রবৃদ্ধিহারে সুদ
ଗଣନା,গণনা
କମ୍ପ୍ୟୁଟର,কম্পিউটার
ଏକାଗ୍ରତା,একাগ্রতা
କଣ୍ଡିସନର,কন্ডিশনার
ଆଚରଣ,আচরণ
ବିନ୍ୟାସ,কনফিগারেশন
ଅନୁକୂଳ,অনুসার
ଦ୍ୱନ୍ଦ୍ୱ,বিভ্রান্তিকর
ମିଳିତତା,সংমিশ্রণ
ସଂଯୋଗ,সংযোগকারী
ସଂରକ୍ଷଣ,সংরক্ষণ
ସଂସ୍ଥାଗୁଡ଼ିକ,একত্রীকরণের
ନିରନ୍ତର,উপাদান
ଗ୍ରାହକ,গ্রাহক
ବ୍ୟବହାର,খরচ
ପ୍ରଦୂଷଣ,দূষণ
ବିଷୟବସ୍ତୁ ବୃକ୍ଷ,কনট্যুর রোপণ
ବିଷୟବସ୍ତୁ,কনট্যুর
ଚୁକ୍ତିନାମା ଚାଷ,চুক্তি চাষ
ନିୟନ୍ତ୍ରିତ ଷ୍ଟୋରେଜ୍ |,নিয়ন্ত্রিত স্টোরেজ
ସହ-ଅପରେଟିଭ୍ ବ୍ୟାଙ୍କ |,সমবায় ব্যাংক
ସହଯୋଗ,সহযোগী
ସହଯୋଗୀ,কপিস
କରମ୍,Corm
କରୋଲଲା,করোলা
କର୍ଟେକ୍ସ,কর্টেক্স
ମୂଲ୍ୟ,ব্যয়
କୋଟିଲିଡନ୍ (ବିହନ),কোটিলেডন (বীজ)
କ୍ରେଡିଟ୍ ସମାଜ |,ক্রেডিট সোসাইটি
କ୍ରେଡିଟ୍,ক্রেডিট
କ୍ରେସର୍ମର,পাওনাদার
କ୍ରେଷ୍ଟଷ୍ଟ,ক্রেস্ট
ଚୂର୍ଣ୍ଣ କରନ୍ତୁ |,ক্রিঙ্কল
ସଙ୍କଟ,সংকট
ମାନଦଣ୍ଡ,মানদণ্ড
ଗୁରୁତର,সমালোচনা
କ୍ରପ୍ ବୀମା |,শস্য বীমা
ଫସଲ loan ଣ,শস্য loan ণ
ଫସଲ,ফসল
କ୍ରପ୍ ଏରିଆ |,ক্রপিং অঞ্চল
କ୍ରସ୍-ଅସଙ୍ଗତ |,ক্রস-ইনমপ্যাটেবল
ମୁକୁଟ (ଉଦ୍ଭିଦ),মুকুট (উদ্ভিদ)
ଖଣ୍ଡ,ক্রম্ব
ଭୂତଳ,ক্রাস্ট
କ୍ରିପ୍ଟୋଗାମ୍ |,ক্রিপ্টোগাম
CULE (ଫଳ),কুল (ফল)
କୁଲମ୍,কাল্ম
ଚାଷ ଜ,চাষকারী
ଚାଷ,চাষ
ପତ୍ରିକା,কৃষক
ସଂସ୍କୃତି,সংস্কৃতি
କ୍ୟୁସିଂ,নিরাময়
କୁଞ୍ଚଳ,কার্লিং
ମୁଦ୍ରା |,মুদ্রা
କୁମଲେ,কিউটিকাল
କାଟିବା,কাটা
Cyst,সিস্ট
ସାଇଟୋଚ୍ରୋମ୍ |,সাইটোক্রোম
ସାଇଟୋଗାମି |,সাইটোগ্যামি
ସାଇଟୋଜେନେସୀ |,সাইটোজেনেসিস
ସାଇଟୋଜେନେଟିକ୍ସ,সাইটোজেনেটিক্স
ସାଇଟୋୋକାଇନ୍ସିସ୍,সাইটোকাইনেসিস
ସାଇଟୋଲୋଜି,সাইটোলজি
CYTOYLISISISTS,সাইটোলাইসিস
ସାଇଟୋମେରେ,সাইটোমির
ସାଇଟୋପ୍ଲାଜମ୍,সাইটোপ্লাজম
ବନ୍ଧାକୋବି,বাঁধাকপি
କାକଟସ୍ |,ক্যাকটাস
କ୍ୟାଲେଣ୍ଡୋୁଲା |,ক্যালেন্ডুলা
କାନାରି ଘାସ (ଫାର୍ଲିସ୍),ক্যানারি ঘাস (ফালারিস)
କାନନା |,ক্যানা
କ୍ୟାପିଟିସ୍,ক্যাপারি
Capsicum,ক্যাপসিকাম
କାରାମୋବୋଲା |,ক্যারামবোলা
କାରାସା |,ক্যারপা
କାର୍ଡାମୋମ |,এলাচ
କାର୍ନେସନ୍ |,কার্নেশন
ଗାଜର,গাজর
କାଜୁ ବାଦାମ |,হিজলি বাদাম
କ୍ୟାସିୟା,ক্যাসিয়া
କାଷ୍ଟର |,ক্যাস্টর
ଫୁଲକୋବି |,ফুলকপি
ସେଲରି,সেলারি
ଚମ୍ପାକ୍,চ্যাম্প্যাক
ଚେନୋପୋଡିୟମ୍,চেনোপোডিয়াম
ଚେରି ଟମାଟୋ |,চেরি টমেটো
ଚେରି,চেরি
"ଛେନା, ଗ୍ରାମ |","ছোলা, গ্রাম"
ଚିଲିସ,মরিচ
