Hindi,Gujarati
अभिलाक्षणिक सामर्थ्य,લાક્ષણિકતા શક્તિ
शुल्क माफी,ચાર્જ બંધ
भरण,ચાર્જિંગ
तरेड़न,તપાસવું
रासायनिक आबंध,કેમિકલ બોન્ડ
चर्नोजेम,ચેર્નોઝેમ
चैस्टनट मृदा,ચેસ્ટનટ માટી
धुआरा पनाली,ચીમની ગટર
अपखण्ड फलक,ચિપ બોર્ડ
छीलना,ચીપીંગ
दाना,ચિપ્સ
ढलवा नाली,ચૂટ
श्रेणी (कंक्रीट की),વર્ગ (કોંક્રિટનો)
मृत्तिका,માટી
मृत्तिका अंश,માટી સામગ્રી
मृत्तिका दृढ़ पटल,માટીની તપેલી
सफाई द्वार,સાફ કરો
निर्वात सुधार,સાફ કરો
गुटका,ક્લીટ
क्लिंकर,ક્લિન્કર
क्लिप,ક્લિપ
स्कंदन,કોગ્યુલેશન
स्थूल समुच्चय/मोटा मिलावा,બરછટ એકંદર
स्थूल कणीय मृदा,બરછટ દાણાવાળી માટી
कोट,કોટ
कॉफर बाँध,કોફર ડેમ
ससंजन,સંયોગ
कोलाइड,કોલોઇડ
कोलाइडी-आर्द्रता तुल्यांक अनुपात,કોલોઇડલ ભેજ સમકક્ષ ગુણોત્તર
कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण,કોલોઇડલ સિસ્ટમ
मिश्रोढ़ मृदा,કોલ્યુવિયલ માટી
स्तम्भ/टेक/संपीडांग,કૉલમ
कंकतित परिष्कृति,કોમ્બેડ પૂર્ણાહુતિ
संयुक्त पाद,સંયુક્ત પગ
संयुक्त जल,સંયુક્ત પાણી
सामान्य कक्ष,સામાન્ય રૂમ
पूर्णावस्था प्रमाण पत्र,પૂર્ણતા પ્રમાણપત્ર
अंग वर्ग,ઘટક ચોરસ
कंक्रीट,કોંક્રિટ
कंकड़ स्तरन,કન્ક્રિશન
समेकित दर या एक समान दर,એકીકૃત દર/સપાટ દર
दूषणकारक,દૂષકો
खाना रखने स्थान,રસોઇ alcove
मुंडेर/कोपिंग,મુકાબલો
टोड़ा,કોર્બેલ
कॉनिस,કોર્નિસ
युग्मक,કપલર
द्वि-युग्मक,"કપલર, ડબલ"
कड़ी युग्मक,"કપલર, પુટલોગ"
भ्रामी युग्मक,"કપલર, સ્વીવેલ"
रद्दा,અભ્યાસક્રમ
बेतरतीब रद्देदार ढोका चिनाई,કોર્સ્ડ રેન્ડમ રોડાં ચણતર
आच्छादित क्षत्र,આવરી લેવામાં આવેલ વિસ્તાર
विसर्पण,કમકમાટી
विसर्पण गुणांक,ક્રીપ ગુણાંક
क्रोटोवाइन,ક્રોટોવાઇન
काक पाद,કાગડો પગ
आचूर्ण संरचना,નાનો ટુકડો બટકું માળખું
कर्ब,કર્બ
धारा,વર્તમાન
वक्र-प्रतिरोध (रेल),વળાંક પ્રતિકાર
आर्द्रतारोधी स्तर,ભીનાશ પ્રૂફ કોર્સ
पूर्ण होने की तिथि,પૂર્ણ થવાની તારીખ
अचल भार,ડેડ લોડ
धीर जल,મૃત પાણી
डेसीबल,ડેસિબલ
अनूर्पान,ડિફ્લોક્યુલેશન
वातन कोटि या वायु अवकाश अनुपात,વાયુમિશ્રણ અથવા એર સ્પેસ રેશિયોની ડિગ્રી
समुच्चयन कोटि,એકત્રીકરણની ડિગ્રી
प्रकीर्णन कोटि,વિખેરવાની ડિગ્રી
संतृप्ति कोटि,સંતૃપ્તિની ડિગ્રી
घनता (आवासीय),ઘનતા
भरू कुट्टिम,રણ પેવમેન્ટ
मरू मृदा,રણની માટી
विस्तृत विवरण,વિગતો
विकास अवधि,વિકાસ સમયગાળો
Dसंस्तर/Dहोराइजन,ડી-ક્ષિતિજ
विकर्ण चाल,કર્ણ બંધન
आरेख,ડાયાગ્રામ
आंगुलिक गोदी,ડિજિટલ ડોક
अन्तरात्मक जल दर,વિભેદક પાણી દર
तनुता संवातन,મંદન વેન્ટિલેશન
पूरोढक,ડિલુવિયમ
भोजन कक्ष,ડાઇનિંગ રૂમ
दिशा निर्धारक खूँटी,દિશા ખીંટી
प्रकीर्णन,વિક્ષેપ
डिस्टेम्पर,ડિસ્ટેમ્પર
गोदी,ડોક
1. द्वार 2. कपाट,દરવાજો
छत वातायन,ડોર્મર
छत वातायन पृष्ठ,ડોર્મર ચેક
दोहरी फ्लेमिश चाल,ડબલ ફ્લેમિશ બોન્ડ
दोहरी परत,ડબલ લેયર
गुज्झी,ડોવેલ
आरेखन पट्ट/ड्राइंग बोर्ड,ચિત્ર ફલક
बैठक,દીવાનખાનું
1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली,ડ્રિફ્ટ
शुष्क बल्ब तापक्रम,શુષ્ક બલ્બ તાપમાન
शुष्क गोदी,ડ્રાય ડોક
शुष्क ढोका चिनाई,સુકા રબર ચણતર
डच चाल,ડચ બોન્ડ
बौनी दीवार,વામન દિવાલ
आवासीय यूनिट,નિવાસ એકમ
ओलती,ઇવ
ओलती नाली,Eaves ગટર
आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन,આર્થિક શક્યતા
एक्टोडाइनेमोर्फिक मृदा,એક્ટોડાયનેમોર્ફિક માટી
भँवर,એડી
कण का प्रभावी आमाप,અસરકારક કદ
उत्फुल्लन,પુષ્પવૃત્તિ
सहायक सरित,એફ્લુઅન્ટ
उद्विक्षेप,એલિવેશન
अवक्षालन,એલુવિએશન
अवक्षाल,એલ્યુવિયમ
अंतर्गतिज मृदा,એન્ડોડાયનેમોર્ફિક માટી
इंजीनियरी संभाव्यता,એન્જિનિયરિંગની શક્યતા
इंग्लिश चाल,અંગ્રેજી બોન્ડ
इंग्लिश गार्डन वाल चाल,અંગ્રેજી ગાર્ડન વોલ બોન્ડ
ईं.पी.एम. (प्रतिमिलियन तुल्य),"EPM (મિલિયન દીઠ સમકક્ષ),&quot;"
समतुल्य भार,સમકક્ષ વજન
अर्ग,અર્ગ
विनिमययोग्य,વિનિમયક્ષમ
विनिमेय अम्लता,વિનિમયક્ષમ એસિડિટી
विनिमेय सोडियम प्रतिशतता,વિનિમયક્ષમ સોડિયમ ટકાવારી (ESP)
धनायन विनिमय क्षमता,ઇ.એસ.પી.
विनिमय अम्लता,એક્સચેન્જ એસિડિટી
विनिमय सम्मिश्र,વિનિમય સંકુલ
निर्वात/रेचन,એક્ઝોસ્ટ
अनावरित परिष्कृति,ખુલ્લી પૂર્ણાહુતિ
गवाक्ष,આંખ
आई ब्रो,આંખ ભ્રમર
मोहरा/अग्रभाग,સામનો કરવો
पार्श्व चाल,બોન્ડનો સામનો કરવો
सुरक्षा गुणांक,સલામતીનું પરિબળ
प्रवणता,પડવું
मुख पट्टी,ફેસિયા
मुख पट्टी बोर्ड,ફેસિયા બોર્ડ
भ्रंश,દોષ
क्षेत्रीय नमी,ક્ષેત્રની ભેજ
क्षेत्रीय आर्द्रता तुल्यांक,અંતિમ ભેજ સમકક્ષ
मसाले की चपती/फिलेट,ફિલેટ (મોર્ટારનું)
कलश,અંતિમ
अंतिम मापन,અંતિમ માપન
अंतिम भुगतान,અંતિમ ચુકવણીq
अंतिम पूर्व प्रतिबल,અંતિમ પૂર્વ તણાવ
अंतिम तनाव,અંતિમ તાણ
वित्तीय संभाव्यता,નાણાકીય શક્યતા
महीन समुच्चय/बारीक मिलावा,ફાઇન એકંદર
विदीर्ण शैल,ફિસર્ડ ખડક
पटिया पत्थर,ધ્વજ પથ્થર
फ्लेमिश चाल,ફ્લેમિશ બોન્ડ
फ्लैशिंग/जल रोधी झिल्ली,ફ્લેશિંગ
सद्योवेगी सरिता,ચમકદાર પ્રવાહ
सपाट छत,સપાટ છત
फलीके,ફ્લેચે
फ्लेमिश गार्डन वाल चाल,ફ્લેમિશ ગાર્ડન વોલ બોન્ડ
चकमक प्रस्तर,ચકમક
फ्लिंट दीवार,ફ્લિન્ટ દિવાલ
प्लवमान फर्श,ફ્લોટિંગ ફ્લોર
उर्णन,ફ્લોક્યુલેશન
ऊर्णन सीमा,ફ્લોક્યુલેશન મર્યાદા
ऊर्णन अनुपात,ફ્લોક્યુલેશન રેશિયો
ऊर्णिका,ફ્લોક્યુલ્સ
फर्श,ફ્લોર
फर्शरुद्धक/फर्श सील,ફ્લોર સીલ
प्रवाह,પ્રવાહ
उच्चावचन,વધઘટ
पाद,ફૂટિંગ
नींव,ફાઉન્ડેશન
मुक्त प्रपात बैरो उद्वर्ती मिश्रक,ફ્રી ફોલ બેરો ટોપિંગ મિક્સર
मुक्त प्रपात मिश्रक (ढोल के आकार का),ફ્રી ફોલ મિક્સર (ડ્રમ પ્રકાર)
मुक्त पत्थर,મફત પથ્થર
नदीपूर,ફ્રેશેટ
घर्षण पाइल,ઘર્ષણ ખૂંટો
किश्ती/फॉग,દેડકા
त्रयंकी,ગેબલ
लघु त्रयंकी,ગેબલેટ
गैमबरेल छत,ગેમ્બ્રેલ છત
गेज (रेल पथ),ગેજ
प्रमापन परिच्छेद,માપન વિભાગ
प्रमापन स्थल,ગેજિંગ સ્ટેશન
सामान्य अवस्थापन अनुविक्षेप,સામાન્ય સ્થાન યોજના
सामान्य संवातन,સામાન્ય વેન્ટિલેશન
संस्तर या ग्ले संस्तर,G ક્ષિતિજ અથવા gley ક્ષિતિજ
हिमगोलाश्म मृत्तिका,સુધી હિમનદી
नाइस,જીનીસ
माल यार्ड,માલ યાર્ડ
प्रवणता प्रतिरोध,ઢાળ પ્રતિકાર
ग्रेनाइट,ગ્રેનાઈટ
दानेदार संरचना,દાણાદાર માળખું
कणनन,દાણાદાર
दाना,ગ્રાન્યુલ
गृरूत्व जल या मुक्त जल,ગુરુત્વાકર્ષણ મુક્ત પાણી
मार्शलिंग गुरुत्वीय यार्ड,ગુરુત્વાકર્ષણ યાર્ડ
बृहत् मृदा समूह,ગ્રેટ માટી જૂથ
झंझरी/ग्रिलेज नींव,ગ્રિલેજ ફાઉન્ડેશન
भूहस्त पथाई,ગ્રાઉન્ડ હેન્ડ મોલ્ડિંગ
समूहित गोदी,જૂથબદ્ધ ડોક
सामूहिक आवासन,ગ્રુપ હાઉસિંગ
अतिथि कक्ष,અતિથિ ખંડ
नाली,ગટર
नाली धारक,ગટર ધારક
नाली रोधक,ગટર ચેક
हथौड़ा गढ़ाई,હેમર ડ્રેસિંગ
पोताश्रय,હાર્બર
आश्रय देने वाले पोताश्रय,આશ્રય બંદર
कठोर तल,સખત તપેલી
तोड़ा/हैडर,હેડર
तोड़ा/हैडर चाल,હેડર બોન્ડ
तोड़ा रद्दा,હેડર કોર્સ
मुख फाटक संरचना,હેડ ગેટ સ્ટ્રક્ચર
नहर का शीर्ष,કેનાલના વડા
मुख नियंत्रक,હેડ રેગ્યુલેટર
लहरिया चाल,હેરિંગ બોન બોન્ડ
भरत,હાર્ટીંગ
सिक्तन उष्मा,ભીનાશની ગરમી
अक्षि-एल्यूमिना सीमेन्ट,ઉચ્ચ એલ્યુમિના સિમેન્ટ
पुट्ठा,હિપ
पुट्ठा मुंडेरी,હિપ કેપિંગ
कूट सिरा,હિપ્ડ એન્ડ
छत्रक,હૂડ
गढ़ा छत्रक,હૂડ મોલ્ડિંગ
हुक का नियम,હૂકનો કાયદો
पत्ती लोहा,હૂપ આયર્ન
संस्तर/होराइजन,ક્ષિતિજ
आद्रीकरण,ભેજીકરણ
निरपेक्ष आद्रता,"ભેજ, સંપૂર્ણ"
आपेक्षिक आद्रता,"ભેજ, સંબંધિત"
हम्प यार्ड,હમ્પ યાર્ડ
द्रवचालित दाब,હાઇડ્રોલિક દબાણ
जलयोजन,હાઇડ્રેશન
जल अपघटन,હાઇડ્રોલિસિસ
चल अपघटनी अम्लता,હાઇડ્રોલિટીક એસિડિટી
जलकृत मृदा,હાઇડ્રોમોર્ફિક માટી
जलरागी कोलाइड,હાઇડ્રોફિલિક કોલોઇડ
जलविरागी कोलाइड,હાઇડ્રોફોબિક કોલોઇડ
स्थिरद्रवीय दाब अनुपात,હાઇડ્રોસ્ટેટિક દબાણ ગુણોત્તર
आद्रताग्रही गुणांक,હાઇગ્રોસ્કેપ્ટિક ગુણાંક
आद्रताग्राही नमी,હાઇગ્રોસ્કોપિક ભેજ
आर्द्रताग्राहिता,હાઇડ્રોસ્કોપીસીટી
आर्द्रताग्राही नमी,હાઇગ્રોસ્કોપિક ભેજ
हाईपरबैरिक कक्ष,હાયપરબેરિક ચેમ્બર
अपेक्षाधिक ढाँचा,હાઇપરસ્ટેટિક ફ્રેમ
जलक्वथनांकमापी,હાઇપ્સોમીટર
प्रदीप्ति,રોશની
अंतःशोषणी आर्द्रता,એમ્બિબેશન ભેજ
अपूर्ण परिणत मृदा,અપરિપક્વ માટી
अवरुद्ध गोदी,જપ્ત કરાયેલ ડોક
भू आय वृद्धि,જમીનની આવકમાં વધારો
स्वतंत्र पाड़,સ્વતંત્ર પાલખ
कठोरीकृत,ઈન્ડ્યુરેટેડ
प्रारम्भिक पूर्व प्रतिबल,પ્રારંભિક prestress
प्रारम्भिक तनाव,પ્રારંભિક તણાવ
अन्तर्देशी जलमार्ग पत्तन,આંતરદેશીય જળમાર્ગ બંદર
विसंवाहन पट्ट,ઇન્સ્યુલેટીંગ બોર્ડ
मध्यवर्ती पत्तन,મધ્યવર્તી બંદર
आन्तरिक धर्षण,આંતરિક ઘર્ષણ
अंतः क्षेत्रीय मृदा,ઇન્ટ્રાઝોનલ માટી
आयन,આયન
आयन विनिमय,આયન વિનિમય
लोह स्तर,લોખંડની તપેલી
सिंचित भूमि,સિંચાઈવાળી જમીન
सिंचाई,સિંચાઈ
सिंचाई उपकर,સિંચાઈ ઉપકર
पाखा,જાંબ
गुज्झी,જોગલ
संधि पिन,જોગલ પિન
जूल,જૌલ
जम्पर,જમ્પર
किलोग्राम,કિલોગ્રામ
किलोग्राम बल,કિલોગ્રામ બળ
किलोग्राम बल मीटर,કિલોગ્રામ ફોર્સ મીટર
किलोवाट घण्टा,કિલોવોટ કલાક
नर डेली/किंग क्लोजर,રાજા બંધ
रसोई,રસોડું
लेसित स्तम्भ,લેસ્ડ કૉલમ
वेष्ठन,લેગીંગ
लमेला छत,લેમેલા મૂળ
स्तरीय प्रवाह,લેમિનર પ્રવાહ
दीपछिद्र,દીવો છિદ્ર
भूमि अभिवृद्धि,જમીન સંવર્ધન
भूस्खलन,લેન્ડ સ્લાઇડિંગ
लैटेराइट,લેટેરાઇટ
लैटेराइट मृदा या लैटोसॉल,લેટેરાઇટ માટી
बृहत संख्या सिद्धांत,મોટી સંખ્યાનો કાયદો
अभिन्यास अनुविक्षप,લેઆઉટ યોજના
पाड़-बेड़ा,ખાતાવહી
चूना तल,ચૂનો પાન
लिंटल,લિંટેલ
द्रव सीमा,પ્રવાહી મર્યાદા
चल भार,લાઈવ લોડ
टुमट,લોમ
स्थानीय निर्वात संवातन,સ્થાનિક એક્ઝોસ્ટ વેન્ટિલેશન
लोको यार्ड,લોકો યાર્ડ
लोएस,લોસ
निम्न सुघट्यता सीमा,ઓછી પ્લાસ્ટિક મર્યાદા
अल्प ऊष्मा सीमेंट,ઓછી ગરમી સિમેન્ટ
यांत्रिक पथाई,મશીન મોલ્ડિંગ
स्थूल संरचना,મેક્રોસ્ટ્રક્ચર
प्रमुख शीर्ष नियंत्रक,મુખ્ય હેડ રેગ્યુલેટર
मुख्य पत्तन,મુખ્ય બંદર
पुनःपूर्तिवायु,મેકઅપ એર
मैनसई,મૅનસાર્ડ
मार्शलिंग यार्ड,માર્શલિંગ યાર્ડ
चिनाई,ચણતર
परिपाक तापक्रम,પરિપક્વતા તાપમાન
मध्य तल,મેઝેનાઇન ફ્લોર
यांत्रिक विश्लेषण,યાંત્રિક વિશ્લેષણ
यांत्रिक संवातन,યાંત્રિક વેન્ટિલેશન
मीटरी पद्धति,મેટ્રિક સિસ્ટમ
सूक्ष्म संरचना,માઇક્રોસ્ટ્રક્ચર
मिली तुल्यांक,મિલી સમકક્ષ
मिली तुल्यांक प्रति लीटर,મિલી સમકક્ષ પ્રતિ લિટર
खनिज,ખનિજ
खनिज मृदा,ખનિજ માટી
लघु पत्तन,નાના બંદર
कलमी डेली,Mitred બંધ
जल मृदा कोलाइड,મોબાઇલ સોઇલ કોલોઇડ
आर्द्रतांश,ભેજનું પ્રમાણ
आर्द्रता प्रवणता,ભેજ ઢાળ
मोनोलिथ/एकाश्म,મોનોલિથ
मोनोरेल,મોનોરેલ
