English,Telugu
Auxins,ఆక్సిన్లు
Awn (bristle),దంపతులు
Almond,బాదం
Aloe,కలబంద
Amaranthus,అమరాంథస్
Ammi,Ammi
Anjan grass,అంజన్ గడ్డి
Anthurium,ఆంథూరియం
"Aonla, Indian gooseberry","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
Apple,ఆపిల్
Apricot,నేరేడు పండు
Arbian jasmine,అర్బియన్ జాస్మిన్
Areca nut,అరేకా గింజ
Arjun,అర్జున్
Asfoetida,అస్ఫోటిడా
Ash gourd,యాష్ పొట్లకాయ
Ashoka tree,అశోక చెట్టు
Ashthma weed (euphorbia),కవచము కలుపు
Asparagus,ఆస్పరాగస్
Avocado,అవోకాడో
Alfalfa (lucerne),అంతా అల్నాఫ్న్నే
Ants,చీమలు
Aphids,అఫిడ్స్
Army worm,ఆర్మీ పురుగు
Agricultural economist,వ్యవసాయ ఆర్థికవేత్త
Agricultural extensionist,వ్యవసాయ పొడిగింపు
Agricultural scientist,వ్యవసాయ శాస్త్రవేత్త
Agriculture engineer,వ్యవసాయ ఇంజనీర్
Agrobiologist,అగ్రోబయాలజిస్ట్
Agronomist,వ్యవసాయ శాస్త్రవేత్త
Agrophysicst,అగ్రోఫిసిక్
Animal breeder,జంతువుల పెంపకందారుడు
Bacillus virus,బాసిల్లస్ వైరస్
Bacillus,బాసిల్లస్
Bacteria,బాక్టీరియా
Bacteriotoxin,బాక్టీరియోటాక్సిన్
Bagasse,బాగస్సే
Balance sheet,బ్యాలెన్స్ షీట్
Balanced fertilization,సమతుల్య ఫలదీకరణం
Bar diagram,బార్ రేఖాచిత్రం
Bark,బెరడు
Barometer,బేరోమీటర్
Barren,బంజరు
Base,బేస్
Basin,బేసిన్
Basipetal,బాసిపెటల్
Basisternum,బేసిథెర్నమ్
Bay monsoon,బే రుతుపవనాలు
Bearing plant,బేరింగ్ ప్లాంట్
Bed,మం చం
Bedder,బెడర్
Bedding,పరుపు
Beet molasses,దుంప మొలాసిస్
Bellows,బెలోస్
Belt,బెల్ట్
Benefit-cost analysis,బెనిఫిట్-కాస్ట్ అనాలిసిస్
Biased (sampling),పక్షపాతం
Biennial,ద్వైవార్షిక
Binomial,ద్విపద
Bioagent,బయోజెంట్
Bioclimate,బయోక్లైమేట్
Bioenergy,బయోఎనర్జీ
Bionomics,బయోనోమిక్స్
Bioreactor,బయోఇయాక్టర్
Biosphere,బయోస్పియర్
Biotic,బయోటిక్
Biotype,బయోటైప్
Bisexual,ద్విలింగ
Blanching,బ్లాంచింగ్
Blast,పేలుడు
Blend,కలపండి
Blight,ముడత
Blister,పొక్కు
Blue revolution,నీలం విప్లవం
Bottom heat chamber,దిగువ వేడి గది
Bottom heat technique,దిగువ ఉష్ణ సాంకేతికత
Bran,బ్రాన్
Branching,శాఖ
Branchlet,బ్రాంచ్లెట్
Breed,జాతి
Breeding,పెంపకం
Brimming,బ్రిమ్మింగ్
Brood,సంతానం
Budding,బడ్డింగ్
Budget,బడ్జెట్
Buffer,బఫర్
Bulb,బల్బ్
Bunt,బంట్
By-product,ఉప-ఉత్పత్తి
Babul acacia,బాబుల్ అకాసియా
Baby corn,బేబీ మొక్కజొన్న
Bael,బేల్
Baill,బైల్
Balsam,బాల్సం
Bamboo,వెదురు
Banana,అరటి
Banyan tree,మర్రి చెట్టు
Barley,బార్లీ
Barnyard millet,బార్నియార్డ్ మిల్లెట్
Basil,తులసి
Bastard cedar,బాస్టర్డ్ సెడార్
Bastard myrobalan,బాస్టర్డ్ మైరోబాలన్
Bauhinia,బౌహినియా
Bay berry,బే బెర్రీ
Bean,బీన్
Beet,దుంప
Belladonna,బెల్లడోన్నా
Ber,బెర్
Berseem,బెర్సీమ్
Betel,బెటెల్
Bilimbi,బిలింబి
Bitter gourd,కాకరకాయ
Black gram,బ్లాక్ గ్రామ్
Black nightshade,బ్లాక్ నైట్ షేడ్
Bougainvillea,బౌగెన్విలియా
Bottle brush,బాటిల్ బ్రష్
Bottle gourd,బాటిల్ పొట్లకాయ
Box tree,బాక్స్ ట్రీ
Bread fruit,బ్రెడ్ ఫ్రూట్
Bridal creeper,పెళ్లి లత
Brinjal,బ్రింజల్
Broad bean,బ్రాడ్ బీన్
Broccoli,బ్రోకలీ
Brussel's sprout,బ్రస్సెల్ మొలక
Buckwheat,బుక్వీట్
Butea,బ్యూటియా
Bandicoot,బాండికూట్
Bear,ఎలుగుబంటి
Beetle,బీటిల్
Blister beetle,బొబ్బ బీటిల్
Blue bull,బ్లూ బుల్
Boll worm,బోల్ పురుగు
Butterfly,సీతాకోకచిలుక
Bacteriologist,బాక్టీరియాలజిస్ట్
Biochemist,బయోకెమిస్ట్
Biologist,జీవశాస్త్రవేత్త
Biotechnologist,బయోటెక్నాలజిస్ట్
Botanist,వృక్షశాస్త్రజ్ఞుడు
C moisture characteristic curve,సి తేమ లక్షణ వక్రత
Cake,కేక్
Calcarious,కాల్కారియస్
Calcification,కాల్సిఫికేషన్
Calcination of phosphate,ఫాస్ఫేట్ యొక్క లెక్కింపు
Callosity,కాలోసిటీ
Callus,కాలిస్
Calyx,కాలిక్స్
Calyx-end,కాలిక్స్-ఎండ్
Cambium,కాంబియం
Canker,క్యాంకర్
Canning,క్యానింగ్
Canopy,పందిరి
Capital,రాజధాని
Caprification,కాప్రిఫికేషన్
Capsule,క్యాప్సూల్
Carbonated,కార్బోనేటేడ్
Carbonization,కార్బోనైజేషన్
Carpel,కార్పెల్
Carpus,కార్పస్
Casting,కాస్టింగ్
Catabolism,క్యాటాబోలిజం
Catalysis,ఉత్ప్రేరక
Caterpillar,గొంగళి పురుగు
C-DNA Library,సి-డిఎన్ఎ లైబ్రరీ
Ceiling,పైకప్పు
Cell,సెల్
Central leader system,కేంద్ర నాయకుడు వ్యవస్థ
Centric,సెంట్రిక్
Centrifugation,సెంట్రిఫ్యూగేషన్
Centrifuge,సెంట్రిఫ్యూజ్
Centriole,సెంట్రియోల్
Centrogenic,సెంట్రోజెనిక్
Centrogenous,సెంట్రోజెనస్
Cercus,సెర్కస్
Cereal,ధాన్యం
Certification,ధృవీకరణ
Certified seed,ధృవీకరించబడిన విత్తనం
Chaff,చాఫ్
Chalaza,చలాజా
Chemotropism,కెమోట్రోపిజం
Chiasma,చియాస్మా
Chilling hours,చిల్లింగ్ గంటలు
Chilling injury,చిల్లింగ్ గాయం
Chimera,చిమెరా
Chloranthy,క్లోరాంథీ
Chlorophyll,క్లోరోఫిల్
Chlorosis,క్లోరోసిస్
Chlorology,క్లోరాలజీ
Chromatid,క్రోమాటిడ్
Chromatin,క్రోమాటిన్
Chromatography,క్రోమాటోగ్రఫీ
Chromatolysis,క్రోమాటోలిసిస్
Chromocentre,క్రోమోసెంట్రే
Chromogenesis,క్రోమోజెనిసిస్
Chromoprotein,క్రోమోప్రొటీన్
Chromosome,క్రోమోజోమ్
Chronic,దీర్ఘకాలిక
Citrange,సిట్రేంజ్
Cladode,క్లాడోడ్
Classification,వర్గీకరణ
Clay,మట్టి
Cleaning,శుభ్రపరచడం
Cleistogamy,క్లిస్టోగామి
Climacteric fruit,క్లైమాక్టెరిక్ పండు
Climate,వాతావరణం
Climatology,క్లైమాటాలజీ
Clipper,క్లిప్పర్
Clod,క్లాడ్
Clone,క్లోన్
Cloud,మేఘం
Clump,క్లాంప్
Cluster,క్లస్టర్
Coarse,ముతక
Coat (seed),విత్తనం
Cocoon,కోకన్
Coenzyme,కోఎంజైమ్
Cohesion,సమన్వయం
Coir,కోయిర్
Coleorrhiza,కోలియోరిజా
Collar,కాలర్
Colloid (soil),ఘోథ
Columella,కొలుమెల్లా
Column,కాలమ్
Commensalism,ప్రారంభం
Commercial bank,వాణిజ్య బ్యాంకు
Commodity,వస్తువు
Community,సంఘం
Compaction (of soil),సంపీడన (మట్టి)
Compatibility,అనుకూలత
Compatibility,అనుకూలత
Compensation,పరిహారం
Competitive interaction,పోటీ పరస్పర చర్య
Complementary crop,పరిపూరకరమైన పంట
Complex,క్లిష్టమైన
Component,భాగం
Composition,కూర్పు
Compost,కంపోస్ట్
Compound interest,చక్రవడ్డీ
Computation,గణన
Computer,కంప్యూటర్
Concentration,ఏకాగ్రత
Conditioner,కండీషనర్
Conductance,ప్రవర్తన
Configuration,ఆకృతీకరణ
Conformity,అనుగుణ్యత
Confounding,గందరగోళం
Conjugation,సంయోగం
Connective,కనెక్టివ్
Conservation,పరిరక్షణ
Consolidation,ఏకీకరణ
Constituents,భాగాలు
Consumer,వినియోగదారు
Consumption,వినియోగం
Contamination,కాలుష్యం
Contour planting,ఆకృతి నాటడం
Contour,ఆకృతి
Contract farming,కాంట్రాక్ట్ వ్యవసాయం
Controlled storage,నియంత్రిత నిల్వ
Co-operative bank,సహకార బ్యాంక్
Cooperator,సహకారం
Coppice,కాపిస్
Corm,కార్మ్
Corolla,కొరోల్లా
Cortex,కార్టెక్స్
Cost,ధర
Cotyledon (seed),కోడిలిడాన్
Credit society,క్రెడిట్ సొసైటీ
Credit,క్రెడిట్
Creditor,రుణదాత
Crest,క్రెస్ట్
Crinkle,ముడతలు
Crisis,సంక్షోభం
Criterion,ప్రమాణం
Critical,క్లిష్టమైన
Crop insurance,పంట భీమా
Crop loan,పంట రుణం
Crop,పంట
Cropping area,పంట ప్రాంతం
Cross-incompatible,క్రాస్ ఇన్ఫాంపిబుల్
Crown (plant),క్రౌన్ (మొక్క)
Crumb,ముక్క
Crust,క్రస్ట్
Cryptogam,క్రిప్టోమ్
Cull (fruits),మెడ (పండ్లు)
Culm,కుల్మ్
Cultivar,సాగు
Cultivation,సాగు
Cultivator,సాగు
Culture,సంస్కృతి
Curing,క్యూరింగ్
Curling,కర్లింగ్
Currency,కరెన్సీ
Cuticle,క్యూటికల్
Cutting,కట్టింగ్
Cyst,తిత్తి
Cytochrome,సైటోక్రోమ్
Cytogamy,సైటోగామి
Cytogenesis,సైటోజెనిసిస్
Cytogenetics,సైటోజెనెటిక్స్
Cytokinesis,సైటోకినిసిస్
Cytology,సైటోలజీ
Cytolysis,సైటోలిసిస్
Cytomere,సైటోమీర్
Cytoplasm,సైటోప్లాజమ్
Cabbage,క్యాబేజీ
Cactus,కాక్టస్
Calendula,కలేన్ద్యులా
Canary grass (phalaris),ఫలారిస్
Canna,Canna
Capparis,కాపారిస్
Capsicum,క్యాప్సికం
Carambola,కారాంబోలా
Carapa,కారాపా
Cardamom,ఏలకులు
Carnation,కార్నేషన్
Carrot,కారెట్
Cashew nut,జీడి పప్పు
Cassia,కాసియా
Castor,కాస్టర్
Cauliflower,కాలీఫ్లవర్
Celery,సెలెరీ
Champac,ఛాంపాక్
Chenopodium,చెనోపోడియం
Cherry tomato,చెర్రీ టమొూటా
Cherry,చెర్రీ
"Chickpea, gram","చిక్పా, గ్రామ్"
Chillies,మిరపకాయలు
China turpentine tree,చైనా టర్పెంటైన్ చెట్టు
Chow-chow,చౌ చౌ
Chrysanthemum,క్రిసాన్తిమం
"Chufa, earth almond","చుఫా, ఎర్త్ బాదం"
Cichory,సికోరీ
Cinnamon,దాల్చిన చెక్క
Citron,సిట్రాన్
Citronella grass,సిట్రోనెల్లా గడ్డి
Climbing jasmine,క్లైంబింగ్ జాస్మిన్
Clove,లవంగం
Cluster bean,క్లస్టర్ బీన్
Cocoa,కోకో
Coconut,కొబ్బరి
Coffee,కాఫీ
Coleus,కోలియస్
Colocasia,కోలోకాసియా
"Colocynth, bitter apple","కోలోసిన్త్, చేదు ఆపిల్"
Common purslane,సాధారణ పర్స్లేన్
Coriander,కొత్తిమీర
Cotton,పత్తి
Cowpea,కౌపీయా
Cubeb,క్యూబ్బ్
Cucumber,దోసకాయ
Cucurbits,కుకుర్బిట్స్
Cumin,జీలకర్ర
Curry leaf,కరివేపాకు ఆకు
Custard apple,సీతాఫలం
Capsule borer,క్యాప్సూల్ బోరర్
Caterpiller,గొంగళి పురుగు
Citrus psylla,సిట్రస్ సైలా
Cricket,క్రికెట్
Crow,కాకి
Cut worm,కట్ పురుగు
Dairy,పాల
Dairying,పాల
Dam,ఆనకట్ట
Day-neutral,రోజు-తటస్థ
Days after flowering,పుష్పించే రోజుల తరువాత
Days after full bloom,పూర్తి బ్లూమ్ తర్వాత రోజులు
Deblossoming,డెబ్లోసింగ్
Decalcification,డీకాల్సిఫికేషన్
Decant,డికాంట్
Decay,క్షయం
Deciduous,ఆకురాల్చే
Decimal,దశాంశం
Deficiency,లోపం
Deflocculation (soil),మట్టి
Defloration,డెఫ్లోరేషన్
Defoliation,డీఫోలియేషన్
Deforestation,అటవీ నిర్మూలన
Degeneration,క్షీణత
Degradation,క్షీణత
Degree days,డిగ్రీ రోజులు
Degree,డిగ్రీ
Dehiscence,డీహిస్సెన్స్
Dehulling,డెహల్లింగ్
Dehusking,డెహస్కింగ్
Dehydration,నిర్జలీకరణం
Dehydrator,డీహైడ్రేటర్
Demand,డిమాండ్
Denaturation,డీనాటరేషన్
Denudation,తిరస్కరణ
Deposit,డిపాజిట్
Deposition,నిక్షేపణ
Depreciation desalinization,తరుగుదల డీసాలినైజేషన్
Desiccation,డీసికేషన్
Design,రూపకల్పన
Dessicator,డెస్సికేటర్
Destoning,డెస్టొనింగ్
Desuckering,డెస్కరింగ్
Desynapsis,డెసినాప్సిస్
Detassel,డిటాసెల్
Detasseling,డిటాసెలింగ్
Determinant,నిర్ణయాధికారి
Devaluation,విలువ తగ్గింపు
Devegetation,డివెగెటేషన్
Deviation,విచలనం
Diad,డైడ్
Diagnosis,రోగ నిర్ధారణ
Dichogamy,డైకోగామి
Dichotomy,డైకోటోమి
Dicotyledon (seed),విత్తనం
Die back (disease),డై బ్యాక్ (వ్యాధి)
Diffusion,విస్తరణ
Digestibility,డైజెస్టిబిలిటీ
Dihybrid,డైహైబ్రిడ్
Dike (dyke),ఒక రకానికి చెందిన వ్యక్తి
Dilute,పలుచన
Dioecious,డైయోసియస్
Diploid,డిప్లాయిడ్
Diploid,డిప్లాయిడ్
Diplonema,డిప్లొనెమా
Disbudding,విడదీయడం
Discing,డిస్కింగ్
Discount,డిస్కౌంట్
Disinfection,క్రిమిసంహారక
Dispersion,చెదరగొట్టడం
Dissemination,వ్యాప్తి
Diversification,వైవిధ్యీకరణ
Diversified farming,వైవిధ్యభరితమైన వ్యవసాయం
DNA Ladder,DNA నిచ్చెన
DNA receptor,DNA రిసెప్టర్
Dockage,డాకేజ్
Dominant,ఆధిపత్యం
Dormancy,నిద్రాణస్థితి
Dose,మోతాదు
Double sigmoid curve,డబుల్ సిగ్మోయిడ్ కర్వ్
Draft (draught),ముసాయిదా (ముసాయిదా)
Drain,హరించడం
Drainage,పారుదల
Draw,డ్రా
Drenching,డ్రించింగ్
Dressing (seed),డ్రెస్సింగ్ (విత్తనం)
Drill (n.),డ్రిల్ (ఎన్.)
Drilling (ag. engg),డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్)
Drilling (agronomy),వ్యవసాయ శాస్త్రం
Drip irrigation,బిందు సేద్యం
Dryland farming,డ్రైలాండ్ వ్యవసాయం
Dust,దుమ్ము
Duster,డస్టర్
Dusting,దుమ్ము
Dwarf,మరగుజ్జు
Dwarf pyramid,మరగుజ్జు పిరమిడ్
Dwarfing,మరగుజ్జు
Daisy,డైసీ
Dates,తేదీలు
Day jasmine,రోజు జాస్మిన్
Dill,మెంతులు
Dinanath grass,దిననాథ్ గడ్డి
Dodder,డాడర్
"Doob grass, bermuda grass","డూబ్ గడ్డి, బెర్ముడా గడ్డి"
Druce,డ్రూస్
Dry ginger,పొడి అల్లం
Defoliating beetle,బీటిల్‌ను డీఫోలైట్ చేస్తుంది
Drone,డ్రోన్
Duck,బాతు
Ecology,ఎకాలజీ
Econometrics,ఎకోనొమెట్రిక్స్
Economic efficiency,ఆర్థిక సామర్థ్యం
Ecotype,ఎకోటైప్
Ectotrophic,ఎక్టోట్రోఫిక్
Edaphic,ఎడాఫిక్
Edaphology,ఎడాఫాలజీ
Edging,అంచు
Edible part,తినదగిన భాగం
Elasticity of demand,డిమాండ్ యొక్క స్థితిస్థాపకత
Elasticity of production,ఉత్పత్తి యొక్క స్థితిస్థాపకత
Electrolysis,విద్యుద్విశ్లేషణ
Electrophoresis,ఎలెక్ట్రోఫోరేసిస్
Eluviation,ఎలివియేషన్
Emasculator,ఎమాస్క్యులేటర్
Embanking,ఎంబాంకింగ్
Embryo,పిండం
Embryology,పిండశాస్త్రం
Emergence,ఆవిర్భావం
Emulsifier,ఎమల్సిఫైయర్
Endogenous,ఎండోజెనస్
Endomitosis,ఎండోమిటోసిస్
Endoparasite,ఎండోపరాసైట్
Endosperm,ఎండోస్పెర్మ్
Enterprise,ఎంటర్ప్రైజ్
Entomology,కీటకాలజీ
Environment,పర్యావరణం
Enzyme,ఎంజైమ్
Epicotyl grafting,ఎపికోటిల్ అంటుకట్టుట
Epiphyte,ఎపిఫైట్
Equity,ఈక్విటీ
Eradication,నిర్మూలన
Essential nutrients,అవసరమైన పోషకాలు
Estimation,అంచనా
Etiolation,ఎటిలేషన్
Eugenic,యూజెనిక్
Evaluation,మూల్యాంకనం
Evaporimeter,ఆవిరిపోటు
Evapo-transpiration,ఇవాపో-ట్రాన్స్పిరేషన్
Evergreen revolution,ఎవర్‌గ్రీన్ విప్లవం
Evergreen,సతత హరిత
Evolution,పరిణామం
Excise,ఎక్సైజ్
Exhaustion (fertility),అలసట
Exploitation,దోపిడీ
Exploration,అన్వేషణ
Extrusion,ఎక్స్‌ట్రషన్
Eye (sugercane/potato),కళ్ళు
Edible pine,తినదగిన పైన్
"Elephant foot, yam","ఏనుగు పాదం, యమ"
Eucalyptus,యూకలిప్టస్
Earthworm,వానపాము
Entomologist,కీటక శాస్త్రవేత్త
Environmentalist,పర్యావరణవేత్త
Factor,కారకం
Factor productivity,కారకాల ఉత్పాదకత
Factorage,కారకం
Factorial block design,కారకమైన బ్లాక్ డిజైన్
Facultative,ఫ్యాకల్టీ
Fallow,ఫాలో
Family,కుటుంబం
Farm appraisal,వ్యవసాయ మదింపు
Farm budgeting,వ్యవసాయ బడ్జెట్
Farm business,వ్యవసాయ వ్యాపారం
Farm planning,వ్యవసాయ ప్రణాళిక
Farmer,రైతు
Farming,వ్యవసాయం
Fasciation,ఫాసియేషన్
Fecundation,మలం
Fermentation,కిణ్వ ప్రక్రియ
Fertility,సంతానోత్పత్తి
Fertilizer,ఎరువులు
Fertilizer use efficiency,ఎరువుల వినియోగ సామర్థ్యం
Fibrous,ఫైబరస్
Field,ఫీల్డ్
Field capacity,క్షేత్ర సామర్థ్యం
Field demonstration,క్షేత్ర ప్రదర్శన
Fixation,స్థిరీకరణ
Flooding,వరదలు
Flow diagram,ప్రవాహ రేఖ చిత్రం
Food value,ఆహార విలువ
Forage (fodder),మేట
Forecasting,అంచనా
Forest,అటవీ
Forestation,అటవీప్రాంతం
Frond,ఫ్రాండ్
Frost resistant,ఫ్రాస్ట్ రెసిస్టెంట్
Frost,ఫ్రాస్ట్
Frozen (fruit & vegetable),స్తంభింపచేసిన (పండు & కూరగాయలు)
Fructification,ఫలితం
Fruit drop,ఫ్రూట్ డ్రాప్
Fruit-set (fruit setting),పండు-సెట్ (పండ్ల అమరిక)
Fumigation,ధూమపానం
Fungicide,శిలీంద్ర సంహారిణి
Fungistatic,శిలీంధ్ర
Fungus,ఫంగస్
Furow,ఫ్యూరో
Fusion,ఫ్యూజన్
Fuzz,ఫజ్
Fuzzy,మసక
"Fennel, anise","ఫెన్నెల్, సోంపు"
Fenugreek,FENUGREEK
Fig,అత్తి
Finger millet,ఫింగర్ మిల్లెట్
Fire-flame bush,ఫైర్-ఫ్లేమ్ బుష్
Flame of forest,అటవీ జ్వాల
French bean,ఫ్రెంచ్ బీన్
Flea,ఫ్లీ
Fox,ఫాక్స్
Fruit fly,ఫ్రూట్ ఫ్లై
Gall (Hort),పిత్తాశయం
Gamete,గామేట్
Garden,తోట
Gauge (water),గేజ్ (నీరు)
Gene bank,జీన్ బ్యాంక్
Gene tagging,జన్యు ట్యాగింగ్
Geneology,జన్యుశాస్త్రం
Genetic map,జన్యు పటం
Genetics,జన్యుశాస్త్రం
Genome,జన్యువు
Genomic library,జెనోమిక్ లైబ్రరీ
Genomics,జెనోమిక్స్
Genotype,జన్యురూపం
Genotype,జన్యురూపం
Genus,జాతి
Genus,జాతి
Germ,జెర్మ్
Germicide,జెర్మిసైడ్
Germination,అంకురోత్పత్తి
Germplasm,జెర్మ్ప్లాజమ్
Gibberellic acid,గిబ్బెరెల్లిక్ ఆమ్లం
Ginning,జిన్నింగ్
Glume,గ్లూమ్
Glutinous,గ్లూటినస్
Glycolysis,గ్లైకోలిసిస్
Gneiss,గ్నిస్
Golden revolution,గోల్డెన్ రివల్యూషన్
Grading,గ్రేడింగ్
Grafted plant,అంటు వేసిన మొక్క
Graft-incompatible,అంటుకట్టుట-అపజయం
Granna,గ్రన్నా
Granulation,గ్రాన్యులేషన్
Green manure,ఆకుపచ్చ ఎరువు
Green revolution,హరిత విప్లవం
Growth and development,పెరుగుదల మరియు అభివృద్ధి
Gummosis,గుమ్మోసిస్
Gynodioecious,గైనోడియోసియస్
Gall nut,పిత్తాశయ గింజ
Garlic,వెల్లుల్లి
Gerbera,గెర్బెరా
Gherkin,గెర్కిన్
Ginger,అల్లం
Gladiolus,గ్లాడియోలస్
Goat weed (ageratum),మేక కలుపు (అగెరాటమ్)
Grapefruit,ద్రాక్షపండు
Grapes,ద్రాక్ష
Green gram,ఆకుపచ్చ గ్రామ్
Grewia,గ్రెవియా
Groundnut,వేరుశనగ
Guava,గువా
Guinea grass,గినియా గడ్డి
