Odiya,Malayalam
ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |,അനീലിംഗ് താപനില
anode,ആനോഡ്
ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,ആനോഡ് ആംപ്ലിഫയർ
anodyne,അനോഡൈൻ
ଆଣ୍ଟେନା |,ആന്റിന
ଆଣ୍ଟେନା ଉପାଦାନ |,ആന്റിന ഘടകം
ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |,antiresonant സർക്യൂട്ട്
ଦ୍ୱାରକ ଅବଧି |,ദ്വാരക കാലഘട്ടം
ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |,വെർച്വൽ പവർ
ତାର ସଂଯୋଗ,വയർ കണക്ഷൻ
ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |,ഏകദേശ വോൾട്ടേജ് നേട്ടം
ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର,ആംസ്ട്രോങ് മോഡുലേറ്റർ
ଆଣ୍ଟେନା ଆରେ |,ആന്റിന അറേ
"ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
ଅସୀମିତ ଜଙ୍କସନ,അസമമായ ജംഗ്ഷൻ
ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
ପରମାଣୁ,ആണവ
ପରମାଣୁ ସଂଖ୍ୟା,ആറ്റോമിക നമ്പർ
ପରମାଣୁ ଗଠନ,ആറ്റോമിക് ഘടന
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ഓഡിയോ ആംപ്ലിഫയർ
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ഓഡിയോ ആംപ്ലിഫയർ
ଅଡିଓ କ୍ୟାସେଟ୍ |,ഓഡിയോ കാസറ്റ്
ଅଡିଓ ସର୍କିଟ |,ഓഡിയോ സർക്യൂട്ട്
ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |,കേൾക്കാവുന്ന ആവൃത്തി
ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
ବାଘ,ഹിമപാതം
ହାରାହାରି ଡିଟେକ୍ଟର |,ശരാശരി ഡിറ്റക്ടർ
ଅକ୍ଷୀୟ ମୋଡ୍ |,അക്ഷീയ മോഡ്
ଅକ୍ଷୀୟ ଅନୁପାତ |,അക്ഷീയ അനുപാതം
ଆଣ୍ଟେନା |,ആന്റിന
ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
ପଛ କ୍ଷେତ୍ର,പിൻ പ്രദേശം
ପଛ ବିଛାଇବା |,തിരികെ ചിതറിക്കിടക്കുക
ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |,പശ്ചാത്തല ചാർജ്
ପାର୍ଶ୍ୱ ଶବ୍ଦ |,സൈഡ് ശബ്ദം
ପ୍ରତ୍ୟାବର୍ତ୍ତନ,പിന്നോക്കാവസ്ഥ
ପରବର୍ତ୍ତୀ ବିକିରଣ |,പിൻഭാഗത്തെ വികിരണം
ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
"ବାଧା, ବାଧା","തടസ്സം, തടസ്സം"
ବାଧା,തടസ്സം
ସନ୍ତୁଳିତ ସେତୁ |,സമതുലിതമായ പാലം
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,സമതുലിതമായ മോഡുലേറ്റർ
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,സമതുലിതമായ മോഡുലേറ്റർ
ସନ୍ତୁଳିତ ସର୍କିଟ |,സമതുലിതമായ സർക്യൂട്ട്
ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |,സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ
ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |,നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം
ବୋଲୋମିଟର |,ബൊലോമീറ്റർ
ବୋଲୋମିଟର ବ୍ରିଜ୍ |,ബോലോമീറ്റർ പാലം
ବେଲୁନ୍ |,ബലൂണ്
ବାନା ଜ୍ୟାକ୍ |,ബനാന ജാക്ക്
ବାନା ପ୍ଲଗ୍ |,ബനാന പ്ലഗ്
"ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |","ബാൻഡ്, ബാൻഡേജ്"
ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |,ബാൻഡ് ഡ്രൈവർ
ବ୍ୟାଣ୍ଡ ଶକ୍ତି,ബാൻഡ് ഊർജ്ജം
ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |,ബാൻഡ് വിടവ്
ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |,ബാഡ്പാർക്ക് ആംപ്ലിഫയർ
ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |,ബാൻഡ് പാസ് ഫിൽട്ടർ
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,ബോഡ് റേറ്റ് ജനറേറ്റർ
ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |,ബാൻഡ് ഡിസ്പെർഷൻ
ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |,ബാൻഡ് റെസിസ്റ്റർ
ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |,ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର,ബാൻഡ് വിപുലീകരണം
ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |,ബാൻഡ് റിമൂവർ ഫിൽട്ടർ
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |,ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |,ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ
"ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |","ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ"
"ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |","ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്"
ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |,barravaugen മാനദണ്ഡം
ବ୍ୟାରେଟର୍,ബാരേറ്റർ
ପ୍ରତିବନ୍ଧକ |,തടസ്സം
ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |,ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ
ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |,തടസ്സം ഊർജ്ജം
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,റെസിസ്റ്റർ വോൾട്ടേജ്
ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |,ബാർട്ട്ലെറ്റ് വിൻഡോ
"ଆଧାର, ଆଧାର","അടിസ്ഥാനം, അടിസ്ഥാനം"
ବେସ୍ ବ୍ୟାଣ୍ଡ |,അടിസ്ഥാന ബാൻഡ്
ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |,അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ
ଆଧାର ଚାର୍ଜ |,അടിസ്ഥാന ചാർജ്
ମୂଳ କରେଣ୍ଟ୍ |,അടിസ്ഥാന കറന്റ്
ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |,അടിസ്ഥാന നിലവിലെ ഉറവിടം
ମୂଳ କାଟିବା |,അടിസ്ഥാന കത്രിക
ଆଧାର ମଦନ,ആധാർ മദൻ
ବେସ୍ ଏମିଟର ଫିଡ୍ |,അടിസ്ഥാന എമിറ്റർ ഫീഡ്
ବେସ୍ ଏମିଟର ଜଙ୍କସନ |,അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ
ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |,അടിസ്ഥാന കുത്തിവയ്പ്പ്
ଭୂମି ରେଖା,ഗ്രൗണ്ട് ലൈൻ
ମୂଳ ପ୍ରତିରୋଧ |,അടിസ്ഥാന പ്രതിരോധം
ମୂଳ ଉତ୍ସ |,അടിസ്ഥാന ഉറവിടം
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം
ମୂଳ ଘନତା |,അടിസ്ഥാന കനം
ଆଧାର ପ୍ରବେଶ,അടിസ്ഥാന പ്രവേശനം
"ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |","ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ"
ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |,അടിസ്ഥാന കളക്ടർ ഉടമ്പടി
ଗନ୍ଧ,മണം
ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,ബാസ് ആവൃത്തി
ବ୍ୟାଟେରୀ,ബാറ്ററി
baud,ബൗഡ്
ବାଉଡ୍ ହାର,ബാഡ് നിരക്ക്
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,ബോഡ് റേറ്റ് ജനറേറ്റർ
ବୋଡୋ କୋଡ୍ |,ബോഡോ കോഡ്
"ସଙ୍କେତ, ବିକନ୍ |","സിഗ്നൽ, ബീക്കൺ"
"ମାଣିକା, ବିଡ୍ |","മാണിക, ബീഡ്"
ମାଣିକ କ୍ୟାପେସିଟର୍ |,മാനിക് കപ്പാസിറ്റർ
ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |,മണികർത്താപി റെസിസ്റ്ററുകൾ
"ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |","ബീം ആന്റിന, ബീം ആന്റിന"
ବିମ୍ ଡିଟେକ୍ଟର୍ |,ബീം ഡിറ്റക്ടർ
ବିମ୍ ପାୱାର୍ ହୋସ୍ |,ബീം പവർ ഹോസ്
ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |,ബീം സ്വിച്ചിംഗ് നോസിലുകൾ
ବିମ୍ ବିସ୍ତାର,ബീം വികാസം
ଫ୍ରିକ୍ୱେନ୍ସି,അടി ആവൃത്തി
ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |,ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ
ନାଡ ଓସିଲେଟର |,പൾസ് ഓസിലേറ്റർ
ବେଲ୍ |,മണി
ନମ୍ର କ୍ଷତି |,വളയുന്ന നഷ്ടം
ବେସେଲ୍ ଫିଲ୍ଟର୍ |,ബെസൽ ഫിൽട്ടർ
ବିଟା |,ബീറ്റ
b-h ବକ୍ର,b-h വക്രം
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","പക്ഷപാതം, പക്ഷപാതം"
ପକ୍ଷପାତ କରେଣ୍ଟ |,ബയസ് കറന്റ്
ପକ୍ଷପାତ ପ୍ରତିରୋଧ |,പക്ഷപാത പ്രതിരോധം
ଡବଲ୍ ଆଣ୍ଟେନା |,ഇരട്ട ആന്റിന
ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |,ദ്വിദിശ ലോഡ് കറന്റ്
ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |,ദ്വിദിശ ആന്റിന
ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |,ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്
ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |,ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ
bi FET ଟେକ୍ନୋଲୋଜି |,bi FET സാങ്കേതികവിദ്യ
ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |,ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ
ଡବଲ୍ ଫ୍ୟୁଜନ୍ |,ഇരട്ട സംയോജനം
ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |,ഉഭയകക്ഷി സർക്യൂട്ട്
ବାଇନାରୀ,ബൈനറി
ବାଇନାରୀ ରାଶି,ബൈനറി തുക
ବାଇନାରୀ ସର୍କିଟ |,ബൈനറി സർക്യൂട്ട്
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |,ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം
ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |,ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ
ବାଇନାରୀ କାଲକୁଲେଟର,ബൈനറി കാൽക്കുലേറ്റർ
ବାଇନାରୀ କାଲକୁଲେଟର,ബൈനറി കാൽക്കുലേറ്റർ
ବାଇନାରୀ ଡିକୋଡର୍ |,ബൈനറി ഡീകോഡർ
ବାଇନାରୀ ସିଡ଼ି |,ബൈനറി ഗോവണി
ବାଇନାରୀ ପାଥୋମିଟର |,ബൈനറി പാത്തോമീറ്റർ
ବାଇନାରୀ ଅବସ୍ଥା |,ബൈനറി അവസ്ഥ
ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |,ബൈനറി-ഡെസിമൽ ഡീകോഡർ
ବାଇନାରୀ ଲୋଡ୍ |,ബൈനറി ലോഡ്
ବାଇନାରୀ ଶବ୍ଦ |,ബൈനറി വാക്കുകൾ
ଦ୍ୱିପାକ୍ଷିକ,ബൈപോളാർ
ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |,ബൈപോളാർ കപ്പാസിറ്റർ
ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |,ബൈപോളാർ ഉപകരണം
ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |,ബൈപോളാർ ഉറവിടം
ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |,ബൈപോളാർ ട്രാൻസിസ്റ്റർ
ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |,ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ
ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |,ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ
ଡବଲ୍ ପୋଜିସନ୍ |,ഇരട്ട സ്ഥാനം
ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |,ദ്വിദിശ റിലേ
ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |,രണ്ട്-ഘട്ട സംസ്ഥാനം
ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |,രണ്ട്-സ്ഥാന ട്രിഗർ
ବିଟ୍ ତ୍ରୁଟି |,ബിറ്റ് പിശക്
ବିଟ୍ ତ୍ରୁଟି ହାର,ബിറ്റ് പിശക് നിരക്ക്
ବିଟ୍ ତ୍ରୁଟି |,ബിറ്റ് പിശക്
ବିଟ୍କାଲ୍ ତ୍ରୁଟି |,ബിറ്റ്കാൽ പിശക്
ଅନ୍ଧ ବାକ୍ସ,അന്ധമായ പെട്ടി
ଘନୀଭୂତ ନାଡ |,ഘനീഭവിച്ച പൾസ്
ସଚିବ,സ്രഷ്ടാവ്
ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |,സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ
ଅନ୍ଧତା,അന്ധത
ବିଭାଗ ଚିତ୍ର,സെഗ്മെന്റ് ഡയഗ്രം
ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |,തടസ്സം തടയൽ
ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |,ശകലം കൈമാറ്റം
ବାଧା,തടസ്സപ്പെടുത്തുക
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,തടയൽ കപ്പാസിറ്റർ
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,റെസിസ്റ്റർ കപ്പാസിറ്റർ
ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |,തടയുന്ന ഓസിലേറ്റർ
ପ୍ରତିରୋଧକ ଓସିଲେଟର |,തടയുന്ന ഓസിലേറ്റർ
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,റെസിസ്റ്റർ വോൾട്ടേജ്
ବ୍ଲୋଅର୍ |,ഊതുന്നയാൾ
ବୋଡ ଚିତ୍ର,ബോഡ് ഡയഗ്രം
voltzmann ସମ୍ପର୍କ,വോൾട്ട്സ്മാൻ ബന്ധം
voltzmann ସ୍ଥିର |,വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം
ବନ୍ଧନ,ബോണ്ട്
ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |,ബന്ധിത സ്ട്രെയിൻ ഗേജ്
ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |,സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ
ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |,ബൂളിയൻ ബീജഗണിതം
ବୁଲିଅନ୍ ସମୀକରଣ |,ബൂളിയൻ സമവാക്യം
ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |,ബൂട്ട് സ്ട്രാപ്പൺ
ବୁଥ୍ ର ଆଲଗୋରିଦମ |,ബൂത്തിന്റെ അൽഗോരിതം
ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |,ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്
ବସ୍କଟ୍ ନିୟମ |,bosscutts ഭരണം
ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |,ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്
"ଡେଇଁବା, ଡେଇଁବା |","ചാടുക, ചാടുക"
ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |,ബന്ധിത ഇലക്ട്രോൺ
ଗର୍ବ ପ୍ରତିଫଳକ |,ബ്രാഗ് റിഫ്ലക്ടർ
ଅନ୍ତର୍ନିହିତ ତାର,ഇഴചേർന്ന വയർ
ଶାଖା,ശാഖ
ଶାଖା,ശാഖകൾ
ପରୀକ୍ଷଣ ବୋର୍ଡ |,പരീക്ഷണ ബോർഡ്
ବ୍ରେକ୍ ଜୋନ୍ |,ബ്രേക്ക് സോൺ
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,ബ്രേക്കിംഗ് വോൾട്ടേജ്
ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |,ബ്രേക്ക്ഡൗൺ ഡയോഡ്
ଭଙ୍ଗା ଫିକ୍ସିଂ |,ഒടിവ് പരിഹരിക്കൽ
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,ബ്രേക്കിംഗ് വോൾട്ടേജ്
ସେତୁ,പാലം
ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |,പാലം റക്റ്റിഫയർ
ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |,വിശാലമായ ബാൻഡ്
ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |,ബ്രോഡ്കാസ്റ്റ് ബാൻഡ്
ଜ୍ୟୋତିଷ ଆରେ |,ആസ്ട്രൽ അറേ
ପ୍ରସାରଣ,പ്രക്ഷേപണം
ପ୍ରସାରଣ ଆଣ୍ଟେନା |,ബ്രോഡ്കാസ്റ്റ് ആന്റിന
ପ୍ରସାରଣ ରସିଦ |,ബ്രോഡ്കാസ്റ്റ് റിസീവർ
