Bengali,Assamese
বিকল্প,বিকল্প
অ্যালেলো রসায়ন,allelo ৰসায়ন বিজ্ঞান
অ্যালিল,এলিল
অ্যালিলোপ্যাথি,এলেল&#39;পেথী
ভেথি ফসল,ভেঠী শস্য
পরিপূর্ণতা,consummation
নিষিক্তকরণ,নিষেচন কৰা
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,১.আপেক্ষিকতা ২.এলোমেট্ৰি
multiploidy,multiploidy
1. প্যারাজিগোসিটি,১/ পেৰাজাইগোচিটি
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
বিকল্প ভূমি ব্যবহার,বিকল্প ভূমি ব্যৱহাৰ
পরিবেশ,পৰিৱেশ
সংস্কারক,সংস্কাৰক
মাইটোসিস,মাইট’ছিছ
আমীনান,আমিনন
ammonion,এমোনিয়ন
amniferous,amniferous
1. অকার্যকর রূপ 2. অরূপী,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
উভচর মিশ্রণ,উভচৰ মিশ্ৰণ
amphoteric,এম্ফোটেৰিক
মজুদ,ষ্টকপাইলিং
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
হ্যাপ্লয়েড,হেপ্লয়ড
কৌণিক রোপণ,কৌণিক ৰোপণ
পশুপালন,পশুপালন
প্রাণীর মলমূত্র,পশুৰ মল-মূত্ৰ
জীবন্ত শক্তি,জীৱন্ত শক্তি
অস্বাভাবিক,অস্বাভাৱিক
এক বছর বয়সী উদ্ভিদ,এবছৰীয়া উদ্ভিদ
বার্ষিক,বছেৰেকীয়া
1. পরমানন্দ 2. উচ্ছ্বাস,1. আনন্দ 2. উজ্জ্বলতা
অ্যানথ্রাক্স,এন্থ্ৰেক্স
নৃতাত্ত্বিক কারণ,মানৱজনিত কাৰকসমূহ
বেঁচে থাকা,জীয়াই থকা
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
বিকর্ষণকারী,repulsive
অ্যান্টিঅক্সিডেন্ট,এন্টিঅক্সিডেন্ট
অ্যান্টিটক্সিন,এন্টিটক্সিন
অনামিকা আঙুল,ৰিং ফিংগাৰ
1. এফিড 2. মাহু 3. চেপা,১.এফিড ২.মহু ৩.চেপা
শীর্ষ কুঁড়ি,শীৰ্ষ কলি
সর্বোচ্চ কার্যকারিতা,শীৰ্ষ ফলপ্ৰসূতা
মৌমাছি পালন,মৌমাখি ৰখা
অযৌনতা,অযৌনতা
apoptosis,এপ&#39;প্টোছিছ
পরিশিষ্ট,appendages
ক্ষুধার্ত,appetizer
প্রয়োগ করা,প্ৰয়োগ কৰা হৈছে
জলজ আগাছা,জলজ অপতৃণ
1. গাছ 2. গাছের বাসিন্দা,১.গছ ২.গছৰ বাসিন্দা
শাখা,শাখা-প্ৰশাখা
প্রোটোবোটানিকাল রেকর্ড,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
জোন নম্বর,জ&#39;ন নম্বৰ
1. এলাকা 2. এলাকা,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
শুষ্ক বাস্তুতন্ত্র,শুকান পৰিৱেশ তন্ত্ৰ
cotyledon,কুটিলডন
সৌরভ,সৌৰভ
সুগন্ধি উদ্ভিদ,সুগন্ধিযুক্ত উদ্ভিদ
সুগন্ধি চাল,সুগন্ধি চাউল
ইক্ষু পুষ্পন,ইক্ষু পুষ্পন
অ্যাসেপটিক,বীজাণুমুক্ত
1. অ্যাসেপটিক 2. অ্যাসেপটিক,১.এচেপ্টিক ২.এচেপ্টিক
অস্ত্রোপচার,অযৌন প্ৰজনন
আকার,আকাৰ
সম্পদ,সম্পত্তি
1. আত্তীকরণ 2. আত্তীকরণ,১/ আত্মসাৎ ২. আত্মসাৎ
1. সমিতি 2. সমিতি,১.সংঘ ২.সংঘ
1. কলাম 2. কৃপণতা,1. স্তম্ভ 2. astringency
হেটেরোজাইগোসিটি,হেটেৰ&#39;জাইগোচিটি
1. পূর্বপুরুষ 2. অ্যাটাভিজম,১.পূৰ্বপুৰুষ ২.আটাভিজম
কণা,কণা
1. অনিশ্চয়তা 2. দুর্বলতা,1. অনিশ্চয়তা 2. বিকলতা
স্ব জোড়া,self pairing
অটোলাইসিস,অটোলাইছিছ
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
স্বয়ং মাল্টিপ্লেক্সড,self multiplexed
অক্সিন,অক্সিন
1. কাঁপানো 2. টোড,১/ জোকাৰি যোৱা ২. টোড
পেনাল ভাইরাস,পেনাল ভাইৰাছ
1. ব্যাসিলাস 2. ব্যাসিলাস,১.বেচিলাছ ২.বেচিলাছ
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
ব্যাকটেরিয়াল টক্সিন,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
ব্যাগাস,বাগাছ
ব্যালেন্স শীট,বেলেন্স শ্বীট
সুষম সার ব্যবহার,সুষম সাৰৰ ব্যৱহাৰ
বার গ্রাফ,বাৰ গ্ৰাফ
বাকল,বাকলি
1. ব্যারোমিটার 2. ব্যারোমিটার,১.বেৰ’মিটাৰ ২.বেৰ’মিটাৰ
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,১. বাজাৰ ২. নিষ্ক্ৰিয় ৩. বন্যাৰ্ত
1. বেস 2. বেস 3. কাপং,1. ভিত্তি 2. ভিত্তি 3. কুপাং
1. টালা 2. বেসিন,১.তালা ২.বেচিন
তালাবিসারি,তালাবিছাৰী
1. বেসিস্টেরনাম 2. রুট ধারক,১.বেচিষ্টেৰনাম ২.মূল ধাৰণকাৰী
উপসাগরীয় বর্ষা,উপসাগৰীয় বাৰিষা
ফলের উদ্ভিদ,ফলৰ উদ্ভিদ
বিছানা,বিছনা
বিছানা উদ্ভিদ,বিচনা উদ্ভিদ
বিছানাপত্র,বিচনা চাদৰ
বীট গুড়,বুটমাহৰ গুড়
বেল,bellows
1. স্ট্রিপ 2. ভূখণ্ড,১.ষ্ট্ৰিপ ২.ভূখণ্ড
লাভ-খরচ বিশ্লেষণ,লাভ-খৰচ বিশ্লেষণ
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),আকাংক্ষিত (Sampling)
দ্বিবার্ষিক গাছপালা,দ্বিবাৰ্ষিক উদ্ভিদ
দ্বিপদ,দ্বিপদ
বায়োফ্যাক্টর,বায়&#39;ফেক্টৰ
জৈবিক জলবায়ু,জৈৱিক জলবায়ু
জৈব শক্তি,জৈৱ শক্তি
প্রাণীজগতের বাস্তুসংস্থান,প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ
জীবজগৎ,জৈৱমণ্ডল
জৈবিক,জৈৱিক
প্রাণীজগত,প্ৰাণীজগত
ডিভিলিঙ্গি,ডিভিলিংগি
ধওলান,ধাৱলান
1. প্রধবাসন (রোগ) 2. দমকা রোগ,১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ
মিশ্রন,মিশ্ৰণ
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা
নীল বিপ্লব,নীলা বিপ্লৱ
প্ল্যানার হিটিং চেম্বার,প্লেনাৰ হিটিং চেম্বাৰ
প্ল্যানার হিটিং প্রযুক্তি,সমতল উত্তাপন প্ৰযুক্তি
তুষ,ব্ৰাণ
শাখা,শাখা-প্ৰশাখা
1. ডালপালা 2. উপশাখা,১.ডাল ২.উপশাখা
বংশবৃদ্ধি,বংশবৃদ্ধি
প্রজনন,প্ৰজনন
প্রাথমিক অঙ্কুর চিকিত্সা,আগতীয়াকৈ অংকুৰণৰ চিকিৎসা
1. বাচ্চা 2. ডিম 3. ভ্রূণ,১. পোৱালি ২. কণী ৩. ভ্ৰূণ
উদীয়মান,budding
বাজেট,বাজেট
1.অ্যাম্ফোটেরিক 2. বাফার,১.এম্ফোটেৰিক ২.বাফাৰ
মিষ্টি আলু,মিঠা আলু
বান্ট (রোগ),বান্ট (ৰোগ)
1. উপজাত 2. উপজাত,1. উপ-উৎপাদন 2. উপ-উৎপাদন
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ
তেল পিষ্টক,তেলৰ কেক
1. চুন 2. ক্যালসিয়াম,১.চূণ ২.কেলচিয়াম
ক্যালসিয়ন,calcion
ফসফেট অপসারণ,ফছফেট আঁতৰোৱা
1. কিনাটা 2. কালটা,১.কিনাটা ২.কালাটা
1.ক্যালাস 2. রশ্মি,১.কেলাছ ২.ৰশ্মি
1. সেপালস 2. ক্যালিক্স,1. ফুলৰ গুটি 2. calyx
বহির্মুখী শেষ,বাহ্যিক শেষ
এধা,এধা
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ)
ক্যানিং,কেনিং
আকাশ,আকাশ
অর্থায়ন,বিত্ত
পরাগায়ন (ডুমুরের),পৰগাছা (ডুমুৰৰ)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,১.কেপচুল ২.কেপচুল ৩.কেপচুল
কার্বনাইজড,কাৰ্বনাইজড
কার্বনান,কাৰ্বনেন
ক্যারাপেস,carapace
ব্রেসলেট,এপাত হাতৰ অলংকাৰ
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক)
catabolism,কেটাবলিজম
প্ররোচনা,প্ৰৰোচনা
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. পোক 2. পোক
গ d. এন. ক সংগ্রহ,গ ঘ. এন. ক. সংগ্ৰহ
পরিসীমা,পৰিসৰ
1. কোষ 2. কোষ,১.কোষ ২.কোষ
কেন্দ্রীয় ফ্রন্ট সিস্টেম,কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা
1. পয়েন্ট 2. ফোকাস,1. বিন্দু 2. ফোকাচ
কেন্দ্রীকরণ,কেন্দ্ৰচালিতকৰণ
সেন্ট্রিফিউজ,কেন্দ্ৰচালিত কৰক
তারকা কেন্দ্র,তাৰকা কেন্দ্ৰ
এপিজেনেটিক,এপিজেনেটিক
কেন্দ্রজা,কেন্দ্ৰজা
তাঁত,loom
1. সিরিয়াল 2. সিরিয়াল,১/ শস্যৰ বীজ ২. ছিৰিয়েল
1. সার্টিফিকেশন 2. সার্টিফিকেশন,১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ
প্রত্যয়িত বীজ,প্ৰমাণিত বীজ
1. খড় 2. কুট্টি 3. শলক সহপাত্র,১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ
1. নিভাগ 2. কৈলাজা,১.নিভাগ ২.কৈলাজা
কাইমোগ্রাফি,চাইম&#39;গ্ৰাফী
1. কিয়াজমা 2. ব্যস্ত,১.কিয়াজমা ২.ব্যস্ত
সুপার কুলিং ঘন্টা,ছুপাৰকুলিং ঘন্টা
তুষারপাত ক্ষতি,হিম ক্ষতি
1. ভিচিরোটাকি 2. কাইমেরা,১/ ভিচিৰোটাকি ২.চিমেৰা
সবুজ porridge,সেউজীয়া দাইল
1. পাতা 2. সবুজ,১.পাতল ২.সেউজীয়া
সায়ানোসিস,চাইন&#39;ছিছ
জৈবিক বিতরণ বিজ্ঞান,জৈৱিক বিতৰণ বিজ্ঞান
1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম,১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম
ক্রোমাটিন,ক্ৰ&#39;মেটিন
ক্রোমাটোগ্রাফি,ক্ৰ&#39;মাট&#39;গ্ৰাফী
ক্রোমাটিনলেশন,ক্ৰ&#39;মেটিনেচন
অলিন্দ বিন্দু,অলিন্দৰ বিন্দু
ক্রোমাটোজেনেসিস,ক্ৰ&#39;মেট&#39;জেনেছিছ
1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন,১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন
1. ক্রোমোজোম 2. ক্রোমোজোম,১.ক্ৰম’জম ২.ক্ৰম’জম
1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত,1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল
citrange,ট্যাগ এর সাথে ছবি &#39;citrange&#39;:
শরৎ উৎসব,পতন উৎসৱ
শ্রেণীবিভাগ,শ্ৰেণীবিভাজন
1. কাদামাটি 2. কাদামাটি,১.মাটি ২.মাটি
1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন,১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ
অবিরাম পরাগায়ন,স্থায়ী পৰগাছা
ক্রুসিফেরাস ফল,ক্ৰুচিফেৰাছ ফল
জলবায়ু,জলবায়ু
জলবায়ুবিদ্যা,জলবায়ুবিজ্ঞান
শিয়ার,shear
পিণ্ড (কাদামাটি),গোট (মাটি)
ক্লোন,ক্ল&#39;ন
1.মেঘ 2.মেঘ,১.ডাৱৰ ২.ডাৱৰ
clump,ক্লাম্প
গুচ্ছ,মুঠি
1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ,১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ
1. কভার 2. লেদারেট,১.আৱৰণ ২.চামৰাৰ টুকুৰা
কোয়া,কয়া
1. কোএনজাইম 2. কো-এনজাইম,১/ কো-এনজাইম ২.কো-এনজাইম
সংহতি,সংহতি
1. ফাইবার (পাট পাট) 2. নারকেল মোটা,১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা
মুলাঙ্কুর চোলা,মুলংকুৰ চোলা
,
কলয়েড (মাটি),কলয়ড (মাটি)
1.কলাম 2.columella,১.স্তম্ভ ২.কলমেলা
1. শাস্তি 2. কলাম 3. কলাম,১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ
যোগাযোগ,কমিউনিয়ন
বাণিজ্যিক ব্যাংক,বাণিজ্যিক বেংক
1. পণ্য 2. পণ্যদ্রব্য,১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী
সম্প্রদায়,সমুদায়
কম্প্যাকশন (মাটির),সংকোচন (মাটিৰ)
1. সামঞ্জস্যতা 2. সামঞ্জস্য,1. সামঞ্জস্যতা 2. সামঞ্জস্যতা
সামঞ্জস্য,সামঞ্জস্যতা
1. ক্ষতিপূরণ 2. ক্ষতিপূরণ,১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ
প্রতিযোগিতামূলক মিথস্ক্রিয়া,প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া
সম্পূরক ফসল,শস্যৰ পৰিপূৰক
1. যৌগিক 2. জটিল,১.সংমিশ্ৰিত ২.জটিল
গঠনকারী,সমষ্টিবাসী
গঠন,সুৰ-ৰচনা
কম্পোস্ট,পচন সাৰ
চক্রবৃদ্ধিহারে সুদ,যৌগিক আগ্ৰহ
গণনা,গণনা
1. কম্পিউটার 2. কম্পিউটার,1. কম্পিউটাৰ 2. কম্পিউটাৰ
1. একাগ্রতা 2. একাগ্রতা,১/ ঘনত্ব ২. ঘনত্ব
1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী,১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ
পরিবাহিতা,পৰিবাহীতা
1. কনফিগারেশন 2. কনফিগারেশন,1. বিন্যাস 2. বিন্যাস
1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য,1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা
1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন,১.সংহতি ২.সংকৰকৰণ
সংযোজন,সংযোজন
1. সংযোজক 2. সংযোগকারী,1. যোগকৰণ 2. সংযোগী
সুরক্ষা,সুৰক্ষা
একত্রীকরণের,একত্ৰীকৰণ
1. উপাদান 2. উপাদান,১.উপাদান ২.উপাদান
ভোক্তা,গ্ৰাহক
খরচ,সেৱন
দূষণ,দূষণ কৰা
কনট্যুর রোপণ,কনট্যুৰ ৰোপণ
কনট্যুর লাইন,কনট্যুৰ ৰেখা
1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং,১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি
নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ,নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ
সমবায় ব্যাংক,সমবায় বেংক
সমবায় সমিতির সদস্য,সমবায় সমিতিৰ সদস্য
গুলমাভান,গুলমাৱন
cubed,ঘনকীয়
1. ডালপুঞ্জ 2. করোলা,১.দলপুঞ্জ ২.কৰোলা
1. কর্টেক্স 2. কর্টেক্স,১.কৰ্টেক্স ২.কৰ্টেক্স
খরচ,খৰচ
cotyledon,কুটিলডন
ক্রেডিট কমিটি,ক্ৰেডিট কমিটি
1. ঋণ 2. ক্রেডিট,১/ ঋণ দিয়া ২.ক্ৰেডিট
1. ঋণদাতা 2. পাওনাদার,১/ ঋণদাতা ২.পাওনাদাৰ
1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার,1. শিখৰ 2. শিখৰ 3. শিখৰ
প্রত্যাহার,প্ৰত্যাহাৰ
সমস্যা,বিপদ
পরীক্ষা,পৰীক্ষা
সমালোচনামূলক,জটিল অৱস্থা
শস্য বীমা,শস্যৰ বীমা
ফসল ঋণ,শস্যৰ ঋণ
1. ফসল 2. ফসল,১.শস্য ২.শস্য
চাষ এলাকা,খেতি কৰা অঞ্চল
ক্রস বেমানান,ক্ৰছ অসঙ্গতিপূৰ্ণ
1. মুকুট 2. চূড়া (উদ্ভিদ),1. মুকুট 2. শিখৰ (উদ্ভিদ)
নরম কণা,কোমল কণা
ভূত্বক,খোলা
1. ক্রিপ্টোগাম 2. নন-ফ্লোরিফর্ম,1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম
ছাঁটাই (ফল),ছাঁটনি (ফল)
কলম,কলম
চাষের বৈচিত্র্য,জাত জাত
1. ট্র্যাকশন 2. কৃষি 3. কৃষিকাজ,১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা
1. কৃষক 2. চাষী,১/ কৃষক ২/ খেতিয়ক
1. চাষ 2. চাষ 3. লালনপালন,১.খেতি ২.খেতি ৩.পালন
1.সম্পদ 2.প্রস্তুতি,১.সম্পদ ২.প্ৰস্তুতি
1.কুন্তালন 2.কুঞ্চন,১.কুন্তলন ২.কুঞ্চন
ভঙ্গি,মুদ্ৰা
1. এপিডার্মিস 2. কিউটিকল,১.এপিডাৰ্মিছ ২.কিউটিকল
1. কলম 2. কাটিং 3. কাটিং 4. কাটিং 5. কাটিং,1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব
1. কৃমি কর্পাস 2. সিস্ট 3. সিস্ট 4. বিকৃত পিণ্ড 5. নিওপ্লাজম,১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম
সাইটোক্রোম,চাইট&#39;ক্ৰ&#39;ম
সেল কাপলিং,কোষ সংযোজন
কোষের প্রজনন,কোষৰ প্ৰজনন
কোষ জেনেটিক্স,কোষৰ জিনীয় বিজ্ঞান
সাইটোপ্লাজমিক বিভাগ,চাইট’প্লাজমিক বিভাজন
কোষ বিদ্যা,কোষ জীৱবিজ্ঞান
কোষের লাইসিস,কোষৰ লাইছিছ
1. সাইটোমের 2. কোষ বিভাজন,১) চাইট’মিৰ ২) কোষৰ বিভাজন
সাইটোপ্লাজম,চাইট’প্লাজম
1. ডেইরি 2. ডেইরি,১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী
দুগ্ধ শিল্প,দুগ্ধ উদ্যোগ
1. বাঁধ 2. ব্রিডার,১.বান্ধ ২.প্ৰজননকাৰী
দিন পরম উদ্ভিদ,দিন নিৰপেক্ষ উদ্ভিদ
ফুল ফোটার পর দিন,ফুল ফুলাৰ পিছদিনা
ফুল ফোটার পর দিন,সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন
অদক্ষতা,অদক্ষতা
decalcification,ডিকেলচিফিকেশন
1. অপসারণ 2. অপসারণ,1. dislodge 2. dislodge কৰা
ক্ষয়,পচি যোৱা
পর্ণমোচী,পৰ্ণপাতী
1. দশমিক 2. দশমিক,১.দশমিক ২.দশমিক
হীনমন্যতা,হীনমন্যতা
অনুরান (মাটি),অনুৰণ (মাটি)
বিপুষ্পন,বিপুষ্পন
বিলিং,বিলিং
বন নিধন,বনাঞ্চল ধ্বংস কৰা
অসম্মান,বদনাম
অধঃপতন,অৱক্ষয়
অংশ দিন,অংশ দিন
1. পরিমাণ 2. অংশ,১.পৰিমাণ ২.অংশ
dehiscence,ডিহিচেন্স
ভুসি অপসারণ,খোলা আঁতৰোৱা
ভুসি অপসারণ,খোলা আঁতৰোৱা
পানিশূন্যতা,পানীলগা
নির্জল,জলহীন
চাহিদা,দাবী কৰা
