English,Marathi
arithmatic and logic unit,अंकगणित आणि तर्कशास्त्र एकक
arithmatic check,अंकगणित तपासणी
arithmatic constant,अंकगणित स्थिरांक
arithmatic data,अंकगणित डेटा
arithmatical instruction,अंकगणित सूचना
arithmetic and logic unit (ALU),अंकगणित आणि तर्कशास्त्र एकक (ALU)
ARPANET,अर्पानेट
array,रचना
array cache,अॅरे कॅशे
array computer,अॅरे संगणक
array element,अॅरे घटक
array name,अॅरे नाव
array processor,अॅरे प्रोसेसर
arrow keys,बाण दर्शक बटणे
articulation,उच्चार
articulation point,उच्चार बिंदू
artificial compaction,कृत्रिम कॉम्पॅक्शन
artificial control,कृत्रिम नियंत्रण
artificial intelligence,कृत्रिम बुद्धिमत्ता
ascender,चढणारा
ascending sort,चढत्या क्रमवारी
ASCII betical order,ASCII बेटिकल ऑर्डर
ASCII control character,ASCII नियंत्रण वर्ण
ASCII file,ASCII फाइल
ASCII font,ASCII फॉन्ट
ASCII transfer,ASCII हस्तांतरण
aspect ratio,प्रसर गुणोत्तर
ASPI,एएसपीआय
ASR timer,ASR टाइमर
assemble,एकत्र करणे
assembler,असेंबलर
assembly,विधानसभा
assembly language,विधानसभा भाषा
assertion,प्रतिपादन
assignment,असाइनमेंट
association,संघटना
associative address,सहयोगी पत्ता
associative memory,सहयोगी स्मृती
asteric,asteric
asymmetric,असममित
asynchronous,असिंक्रोनस
asynchronous Digital Subscriber Line (ADSL),असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL)
asynchronous Time Division Multiplexing (ATDM),असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM)
asynchronous transfer,असिंक्रोनस हस्तांतरण
asynchronous Transfer Mode (ATM),एसिंक्रोनस ट्रान्सफर मोड (एटीएम)
atom,अणू
attached document,संलग्न दस्तऐवज
attached file,संलग्न फाइल
attachment,संलग्नक
attribute,विशेषता
audio,ऑडिओ
audit programming,ऑडिट प्रोग्रामिंग
audit trail,तपासणीचे सूत्र
augmentation,वाढ
authentication protocol,प्रमाणीकरण प्रोटोकॉल
authoring system,ऑथरिंग सिस्टम
authorization,अधिकृतता
auto abstract,स्वयं गोषवारा
autobooting,ऑटोबूटिंग
autocad,ऑटोकॅड
autolog on,ऑटोलॉग चालू
automata,स्वयंचलित
automata theory,ऑटोमेटा सिद्धांत
automatic computing,स्वयंचलित संगणन
automatic data processing,स्वयंचलित डेटा प्रक्रिया
automatic error correction,स्वयंचलित त्रुटी सुधारणा
automatic function,स्वयंचलित कार्य
automatic indexing,स्वयंचलित अनुक्रमणिका
automatic library call,स्वयंचलित लायब्ररी कॉल
automatic programming,स्वयंचलित प्रोग्रामिंग
automatic recovery program,स्वयंचलित पुनर्प्राप्ती कार्यक्रम
automatic routine,स्वयंचलित दिनचर्या
automatic system recovery,स्वयंचलित प्रणाली पुनर्प्राप्ती
automatic teller machine (ATM),स्वयंचलित टेलर मशीन (एटीएम)
automation,ऑटोमेशन
autoplay,ऑटो प्ले
autosave,स्वयं जतन करा
auxiliary,सहाय्यक
auxiliary memory,सहाय्यक मेमरी
auxiliary storage,सहायक स्टोरेज
available list,उपलब्ध यादी
available time,उपलब्ध वेळ
average,सरासरी
awk (language),awk (भाषा)
backend,बॅकएंड
backend processor,बॅकएंड प्रोसेसर
backface removal,बॅकफेस काढणे
background processing,पार्श्वभूमी प्रक्रिया
backing store,बॅकिंग स्टोअर
backpatching,बॅकपॅचिंग
backspace,बॅकस्पेस
backtracking,बॅकट्रॅकिंग
back-up,बॅकअप
back-up memory,बॅकअप मेमरी
backward error recovery,मागास त्रुटी पुनर्प्राप्ती
balance sheet,ताळेबंद
band,बँड
band width,बँड रुंदी
banker's algorithm,बँकरचा अल्गोरिदम
bar code,बार कोड
bar code scanner,बार कोड स्कॅनर
bar graph,बार आलेख
base address,मूळ पत्ता
base band,बेस बँड
base number,आधार क्रमांक
base table,बेस टेबल
BASIC,बेसिक
basic control,मूलभूत नियंत्रण
basic input,मूलभूत इनपुट
basic instruction,मूलभूत सूचना
basic output,मूलभूत आउटपुट
basic step,मूलभूत पायरी
batch,तुकडी
batch file,बॅच फाइल
batch position,बॅच स्थिती
batch processing,बॅच प्रक्रिया
batch system,बॅच सिस्टम
baud,बॉड
baud rate,बॉड दर
beam,तुळई
benchmark,बेंचमार्क
bidirectional communication,द्विदिश संप्रेषण
bidirectional link,द्विदिश दुवा
binary code,बायनरी कोड
binary digit,बायनरी अंक
binary Input output system (BIOS),बायनरी इनपुट आउटपुट सिस्टम (BIOS)
binary number,बायनरी संख्या
binary operator,बायनरी ऑपरेटर
binary relation,बायनरी संबंध
binary search,बायनरी शोध
binary search tree (BST),बायनरी सर्च ट्री (BST)
binary transfer,बायनरी हस्तांतरण
binary tree,बायनरी झाड
bipolar memory,द्विध्रुवीय मेमरी
birth death model,जन्म मृत्यू मॉडेल
birth death process,जन्म मृत्यू प्रक्रिया
bit,बिट
bit fault,थोडा दोष
bit map,बिट नकाशा
bit map pixel (BMP),बिट मॅप पिक्सेल (BMP)
bit matrix,बिट मॅट्रिक्स
bit pattern,बिट नमुना
bit position,बिट स्थिती
bit rate,बिट दर
black box testing,ब्लॅक बॉक्स चाचणी
blinking,लुकलुकणे
block,ब्लॉक
block cache,ब्लॉक कॅशे
block check,ब्लॉक चेक
block copy,ब्लॉक कॉपी
block diagram,ब्लॉक आकृती
blocking network,ब्लॉकिंग नेटवर्क
board,बोर्ड
book mark,पुस्तक चिन्ह
boolean algebra,बुलियन बीजगणित
boolean relation,बुलियन संबंध
boot partition,बूट विभाजन
boot strapping,बूट strapping
boot-strap loader,बूट-स्ट्रॅप लोडर
bridge,पूल
broadband networking,ब्रॉडबँड नेटवर्किंग
broadcast,प्रसारण
broadcast radio,रेडिओ प्रसारित करा
browse,ब्राउझ करा
browser,ब्राउझर
B-Tree,बी-वृक्ष
bubble memory,बबल मेमरी
bubble sort,बबल क्रमवारी
bucket,बादली
buddy system,मित्र प्रणाली
budget effective control,बजेट प्रभावी नियंत्रण
buffer,बफर
bug,किडा
bus,बस
byte,बाइट
byte code,बाइट कोड
c,c
C++,C++
cache,कॅशे
cache buffer,कॅशे बफर
cache memory,कॅशे मेमरी
calculation,गणना
calculator,कॅल्क्युलेटर
calculator chip,कॅल्क्युलेटर चिप
call,कॉल
call by name,नावाने कॉल करा
call by reference,संदर्भानुसार कॉल करा
call by value,मूल्यानुसार कॉल करा
call by variables,व्हेरिएबल्सद्वारे कॉल करा
call gate,कॉल गेट
cancel,रद्द करा
cancel button,रद्द करा बटण
canonical,प्रामाणिक
canonical form,प्रामाणिक स्वरूप
capability,क्षमता
capability list,क्षमता यादी
capacity,क्षमता
caps lock key,कॅप्स लॉक की
card,कार्ड
card reader,कार्ड रीडर
cardinality,मुख्यत्वे
carrier,वाहक
carrier band,वाहक बँड
carrier load,वाहक लोड
carrier signal,वाहक सिग्नल
carrier wave,वाहक लहर
carry,वाहून नेणे
carry digit,कॅरी अंक
carry flag,ध्वज घेऊन जा
cartridge disk,काडतूस डिस्क
cascade,कॅस्केड
case,केस
cathod ray tube (CRT),कॅथोड रे ट्यूब (सीआरटी)
cathode ray tube (CRT),कॅथोड रे ट्यूब (सीआरटी)
CD ROM disk drive,CD ROM डिस्क ड्राइव्ह
cell,सेल
cell animation,सेल अॅनिमेशन
cellular phone,भ्रमणध्वनी
central memory,केंद्रीय स्मृती
central processing unit (CPU),सेंट्रल प्रोसेसिंग युनिट (CPU)
centralized system,केंद्रीकृत प्रणाली
certified tape,प्रमाणित टेप
chain,साखळी
chain data,साखळी डेटा
chain link,साखळी दुवा
chaining,चेनिंग
channel,चॅनल
channel busy tone,चॅनेल व्यस्त टोन
channel capacity,चॅनेल क्षमता
channel controller,चॅनेल नियंत्रक
channel error,चॅनेल त्रुटी
channel program,चॅनेल कार्यक्रम
channel reliability,चॅनेल विश्वसनीयता
channel set,चॅनेल सेट
character,वर्ण
character code,वर्ण कोड
character key,वर्ण की
character reader,वर्ण वाचक
character size,वर्ण आकार
chart,तक्ता
chassis,चेसिस
check bit,बिट तपासा
check digit,चेक अंक
check sum,बेरीज तपासा
check word,शब्द तपासा
chip,चिप
chip set,चिप संच
choose,निवडा
chromatically,रंगीत
cipher,सिफर
circuit,सर्किट
circular list,परिपत्रक यादी
cirus,सायरस
citation,उद्धरण
class,वर्ग
class variable,वर्ग व्हेरिएबल
classification,वर्गीकरण
clear,स्पष्ट
clear area,स्पष्ट क्षेत्र
clear channel,साफ चॅनेल
click,क्लिक करा
client,ग्राहक
client server,क्लायंट सर्व्हर
client stub,क्लायंट स्टब
clip art,क्लिप आर्ट
clip art library,क्लिप आर्ट लायब्ररी
clip board,क्लिप बोर्ड
clipper,क्लिपर
clipper chip,क्लिपर चिप
clique,गट
clock,घड्याळ
clock cycle,घड्याळ चक्र
clock frequency,घड्याळ वारंवारता
clock hardware,घड्याळ हार्डवेअर
clock pulse,घड्याळाची नाडी
clock speed,घड्याळाचा वेग
clock synchronization,घड्याळ सिंक्रोनाइझेशन
clock tick,घड्याळाची टिक
clone,क्लोन
close,बंद
close circuit TV (CCTV),क्लोज सर्किट टीव्ही (सीसीटीव्ही)
closure,बंद
cloud computing,क्लाउड संगणन
cluster,क्लस्टर
coated card,लेपित कार्ड
coated paper,लेपित कागद
coaxial,समाक्षीय
coaxial cable,समाक्षीय केबल
codasyl,कोडासिल
code,कोड
code generator,कोड जनरेटर
code page,कोड पृष्ठ
code word,कोड शब्द
coder,कोडर
coding check,कोडिंग तपासणी
coding form,कोडिंग फॉर्म
coding sheet,कोडिंग शीट
coefficient,गुणांक
coherence,सुसंगतता
cold boot,थंड बूट
cold start,थंड सुरुवात
collaboration,सहयोग
collapse,कोसळणे
collate,कोलेट
collate tape,कोलेट टेप
collision,टक्कर
colon,कोलन
colour (color),रंग (रंग)
colour saturation,रंग संपृक्तता
colour table,रंग टेबल
column,स्तंभ
combination,संयोजन
combo box,कॉम्बो बॉक्स
command,आज्ञा
command button,कमांड बटण
command list,आदेश यादी
comment,टिप्पणी
commitment,वचनबद्धता
commodity,वस्तू
Common Business Oriented Language (Cobol),कॉमन बिझनेस ओरिएंटेड लँग्वेज (कोबोल)
common error,सामान्य त्रुटी
common language,सामान्य भाषा
common routine,सामान्य दिनचर्या
communication,संवाद
communication line,संप्रेषण लाइन
communication mode,संप्रेषण मोड
communication network,संप्रेषण नेटवर्क
communication parameter,संप्रेषण पॅरामीटर
communication system,संप्रेषण प्रणाली
compaction,कॉम्पॅक्शन
compander,साथीदार
companding,companding
company network,कंपनी नेटवर्क
comparison test,तुलना चाचणी
compatibility,सुसंगतता
compatible,सुसंगत
compilation,संकलन
compile and go,संकलित करा आणि जा
compiler,संकलक
compiler language,कंपाइलर भाषा
complementary,पूरक
complement-on-ten,दहावर पूरक
complementor,पूरक
complete carry,पूर्ण वाहून
complex,जटिल
complex number,जटिल संख्या
component,घटक
component object model (COM),घटक ऑब्जेक्ट मॉडेल (COM)
composite,संमिश्र
composition,रचना
computational,संगणकीय
computer,संगणक
computer centre,संगणक केंद्र
computer expert,संगणक तज्ञ
computer graphics,संगणक ग्राफिक्स
computer instruction,संगणक सूचना
computer language,संगणक भाषा
computer network,संगणक नेटवर्क
computer science,संगणक शास्त्र
computer security,संगणक सुरक्षा
computer simulaton,संगणक सिम्युलेटन
computer specialist,संगणक तज्ञ
computerisation,संगणकीकरण
computerist,संगणकतज्ज्ञ
computerize,संगणकीकरण
computing,संगणन
concept,संकल्पना
concurrency,एकरूपता
concurrent,समवर्ती
condition variable,कंडिशन व्हेरिएबल
conditional operator,सशर्त ऑपरेटर
conditional statement,सशर्त विधान
conductor,कंडक्टर
conferencing,कॉन्फरन्सिंग
confidentiality,गोपनीयता
configuration,कॉन्फिगरेशन
congestion,गर्दी
conjunction,संयोग
connect speed,गती कनेक्ट करा
connection,कनेक्शन
connection less communication,कनेक्शन कमी संप्रेषण
connection release,कनेक्शन प्रकाशन
connectivity,कनेक्टिव्हिटी
connector,कनेक्टर
consecutive,सलग
consequent,परिणामी
console,कन्सोल
consolidation,एकत्रीकरण
constant,स्थिर
constant instruction,सतत सूचना
constraint,मर्यादा
constructor,बांधकाम करणारा
container,कंटेनर
content,सामग्री
context,संदर्भ
context free grammar (CFG),संदर्भ मुक्त व्याकरण (CFG)
context switch,संदर्भ स्विच
contingency,आकस्मिकता
contraction,आकुंचन
contrast,कॉन्ट्रास्ट
control,नियंत्रण
control area,नियंत्रण क्षेत्र
control bit,नियंत्रण बिट
control bus,नियंत्रण बस
control card,नियंत्रण कार्ड
control circuit,नियंत्रण सर्किट
control cycle,नियंत्रण चक्र
control engineering,नियंत्रण अभियांत्रिकी
control key,नियंत्रण की
control logic,नियंत्रण तर्क
control loop,नियंत्रण लूप
control mark,नियंत्रण चिन्ह
control operation,नियंत्रण ऑपरेशन
control panel,नियंत्रण पॅनेल
control signal,नियंत्रण सिग्नल
control switch,नियंत्रण स्विच
control tape,नियंत्रण टेप
control terminal,नियंत्रण टर्मिनल
control unit (CU),कंट्रोल युनिट (CU)
convergence,अभिसरण
conversation,संभाषण
conversational time sharing,संवादात्मक वेळ सामायिकरण
conversion,रूपांतरण
converter,कनवर्टर
Cook's theorem,कुकचे प्रमेय
co-processor,सह-प्रोसेसर
copy,कॉपी
copyright,कॉपीराइट
cord,दोरखंड
cordless telephone,कॉर्डलेस टेलिफोन
corollary,परिणाम
correction,दुरुस्ती
corrupted,भ्रष्ट
count,मोजणे
counter,काउंटर
country code,राष्ट्र संकेतांक
covariance,सहप्रसरण
coverage,कव्हरेज
crash,आपटी
critical path,गंभीर मार्ग
critical path method (CPM),गंभीर मार्ग पद्धत (CPM)
cross check,फेर पडताळणी
cross compiler,क्रॉस कंपाइलर
cross fire,क्रॉस फायर
cross talk,क्रॉस चर्चा
cryptographic,क्रिप्टोग्राफिक
cryptography,क्रिप्टोग्राफी
currency symbol,चलन चिन्ह
current directory,वर्तमान निर्देशिका
current window,वर्तमान विंडो
cursor,कर्सर
curve,वक्र
cut and paste,कट आणि पेस्ट करा
cut method,कट पद्धत
cyber,सायबर
cyber café,सायबर कॅफे
cyber cash,सायबर रोख
cyber crime,सायबर गुन्हे
cyber delics,सायबर डेलिक
cyber law,सायबर कायदा
cyber sex,सायबर सेक्स
cybernatics,सायबरनेटिक्स
cybernation,सायबरनेशन
cycle,सायकल
cycle memory,सायकल मेमरी
cycle steal,सायकल चोरी
cycle time,सायकल वेळ
cyclic,चक्रीय
daemon,डिमन
daisy wheel,डेझी व्हील
data administrator,डेटा प्रशासक
data allocation,डेटा वाटप
data area,डेटा क्षेत्र
data array,डेटा अॅरे
data base,डेटा बेस
data break,डेटा ब्रेक
data bus,डेटा बस
data carrier,डेटा वाहक
data cell,डेटा सेल
data channel,डेटा चॅनेल
data communication,डेटा संप्रेषण
data compression,डेटा कॉम्प्रेशन
data field,डेटा फील्ड
data file,डेटा फाइल
data flow,माहितीचा प्रवाह
data flow Chart,डेटा प्रवाह चार्ट
data hierarchy,डेटा पदानुक्रम
data level,डेटा पातळी
data library,डेटा लायब्ररी
data link layer,डेटा लिंक स्तर
data link layer (DLL),डेटा लिंक लेयर (DLL)
data management,माहिती व्यवस्थापन
data manipulation,डेटा हाताळणी
data manipulation language (DML),डेटा हाताळणी भाषा (DML)
data modem,डेटा मोडेम
data modification,डेटा बदल
data network,डेटा नेटवर्क
data operation,डेटा ऑपरेशन
data organization,डेटा संस्था
data output,डेटा आउटपुट
data path,डेटा मार्ग
data prepration,डेटा तयार करणे
data privacy,डेटा गोपनीयता
data processor,डेटा प्रोसेसर
data protection,माहिती संरक्षण
data record,डेटा रेकॉर्ड
data retrieval,डेटा पुनर्प्राप्ती
data routine,डेटा दिनचर्या
data security,डेटा सुरक्षा
data set,डेटा सेट
data signal,डेटा सिग्नल
data sink,डेटा सिंक
data source,माहितीचा स्रोत
data specification,डेटा तपशील
data station,डेटा स्टेशन
data storage,डेटा स्टोरेज
data storage structure,डेटा स्टोरेज संरचना
data structure,डेटा संरचना
data switch,डेटा स्विच
data table,डेटा टेबल
data terminal,डेटा टर्मिनल
data transcription,डेटा ट्रान्सक्रिप्शन
data transfer,डेटा ट्रान्सफर
data transmission,डेटा ट्रान्समिशन
data transmission Channel,डेटा ट्रान्समिशन चॅनेल
data type,डेटा प्रकार
data unit,डेटा युनिट
data validation,माहितीचे वैधीकरण
database,डेटाबेस
database adminstration,डेटाबेस प्रशासन
database design,डेटाबेस डिझाइन
database management system,डेटाबेस व्यवस्थापन प्रणाली
datagrav,datagrav
datum,माहिती
dead zone,मृत क्षेत्र
deadlock,गतिरोध
deadlock prevention,गतिरोध प्रतिबंध
debug,डीबग
decision box,निर्णय बॉक्स
decision making process,निर्णयप्रक्रिया
decision support system,निर्णय समर्थन प्रणाली
decision tree,निर्णयाचे झाड
decoder,डिकोडर
decomposition principle,विघटन तत्त्व
decryption,डिक्रिप्शन
dedicated channel,समर्पित चॅनेल
dedicated port,समर्पित बंदर
defence data network (DDN),संरक्षण डेटा नेटवर्क (DDN)
defence information system,संरक्षण माहिती प्रणाली
defragmentation,डीफ्रॅगमेंटेशन
delay,विलंब
delay counter,विलंब काउंटर
delay time,विलंब वेळ
delete,हटवा
deletion record,हटवणे रेकॉर्ड
delimiter,परिसीमक
delta modulation,डेल्टा मॉड्युलेशन
demand paging,मागणी पेजिंग
demo,डेमो
demodulation,demodulation
demultiplexer,demultiplexer
denormalization,विकृतीकरण
density,घनता
dependency,अवलंबित्व
dependent unit,अवलंबून युनिट
dequeue,पंक्ती
dereferencing,संदर्भ देणे
derivation tree,व्युत्पन्न झाड
derived field,व्युत्पन्न फील्ड
descending sort,उतरत्या क्रमवारी
design,डिझाइन
desk calculator,डेस्क कॅल्क्युलेटर
desk top computer,डेस्कटॉप संगणक
desktop presentation,डेस्कटॉप सादरीकरण
desktop publishing (DTP),डेस्कटॉप प्रकाशन (DTP)
desktop video,डेस्कटॉप व्हिडिओ
destination address,गंतव्य पत्ता
destructer,विनाशक
deterministric automats,निर्धारक ऑटोमॅट्स
developer,विकसक
development system,विकास प्रणाली
device,साधन
device control unit,डिव्हाइस नियंत्रण युनिट
device controller,डिव्हाइस नियंत्रक
device management,डिव्हाइस व्यवस्थापन
device mode,डिव्हाइस मोड
diagnosis,निदान
diagnostic system,निदान प्रणाली
diagnostics,निदान
diagram,आकृती
dial,डायल
dial line,डायल लाइन
dial tone,डायल टोन
dial up,डायल करा
dialog,संवाद
dialog box,डायलॉग बॉक्स
dialup modem,डायलअप मॉडेम
diamension,आकारमान
dictionary,शब्दकोश
differentiation,भिन्नता
digital,डिजिटल
digital channel,डिजिटल चॅनेल
digital circuit,डिजिटल सर्किट
digital computer,डिजिटल संगणक
digital data,डिजिटल डेटा
digital facility,डिजिटल सुविधा
digital filter,डिजिटल फिल्टर
digital library,डिजिटल लायब्ररी
digital modulation,डिजिटल मॉड्यूलेशन
digital monitor,डिजिटल मॉनिटर
digital picture,डिजिटल चित्र
digital signature,डिजिटल स्वाक्षरी
digital switch,डिजिटल स्विच
digital to analog (D/A) converter,डिजिटल ते अॅनालॉग (D/A) कनवर्टर
digitization,डिजिटायझेशन
digitize,डिजीटल करा
digitizer,डिजिटायझर
diode,डायोड
direct,थेट
direct address,थेट पत्ता
direct conversion,थेट रूपांतरण
direct coupling,थेट जोडणी
direct memory access (DMA),डायरेक्ट मेमरी ऍक्सेस (DMA)
direct memory acess (DMA),डायरेक्ट मेमरी ऍक्सेस (DMA)
direct method,थेट पद्धत
directive,निर्देश
directory,निर्देशिका
directory server,निर्देशिका सर्व्हर
directory service,निर्देशिका सेवा
disable,अक्षम करा
disabling signal,सिग्नल अक्षम करणे
disconnect,डिस्कनेक्ट करा
discrete,स्वतंत्र
disk,डिस्क
disk address,डिस्क पत्ता
disk array,डिस्क अॅरे
disk capacity,डिस्क क्षमता
disk drive,डिस्क ड्राइव्ह
disk file,डिस्क फाइल
disk memory,डिस्क मेमरी
disk operating system (DOS),डिस्क ऑपरेटिंग सिस्टम (DOS)
disk pack,डिस्क पॅक
disk server,डिस्क सर्व्हर
disk storage,डिस्क स्टोरेज
diskette,डिस्केट
display file,फाइल प्रदर्शित करा
display image,प्रतिमा प्रदर्शित करा
disposal,विल्हेवाट
distance,अंतर
distance function,अंतर कार्य
distortion,विकृती
distributed,वितरित केले
distributed data,वितरित डेटा
distributed server,वितरित सर्व्हर
distributed system,वितरित प्रणाली
distributive,वितरणात्मक
document,दस्तऐवज
document retrieved,दस्तऐवज पुनर्प्राप्त
document window,दस्तऐवज विंडो
documentation,दस्तऐवजीकरण
domain,डोमेन
domain name,डोमेनचे नाव
dot matrix printer,डॉट मॅट्रिक्स प्रिंटर
down,खाली
down link,डाउन लिंक
down loading,डाउन लोडिंग
down time,खाली वेळ
dragging,ड्रॅग करणे
DRAM (dynamic RAM),DRAM (डायनॅमिक रॅम)
drift,वाहून जाणे
driver,चालक
drop,थेंब
drop down list box,ड्रॉप डाउन सूची बॉक्स
drum drive,ड्रम ड्राइव्ह
drum printer,ड्रम प्रिंटर
drum unit,ड्रम युनिट
dual,दुहेरी
dual density,दुहेरी घनता
dummy address,डमी पत्ता
dump,डंप
duplex circuit,डुप्लेक्स सर्किट
duplexing,डुप्लेक्सिंग
duplicate,नक्कल
DVD R/W,DVD R/W
DVD ROM,डीव्हीडी रॉम
dynamic instruction,डायनॅमिक सूचना
dynamic memory,डायनॅमिक मेमरी
dynamics,गतिशीलता
EBCDIC,EBCDIC
e-business,ई-व्यवसाय
echo,प्रतिध्वनी
e-commerce,ई-कॉमर्स
edit,सुधारणे
editor,संपादक
educational technology,शैक्षणिक तंत्रज्ञान
EEP rom,ईईपी रोम
effective address (floating address),प्रभावी पत्ता (फ्लोटिंग पत्ता)
effective operand address,प्रभावी ऑपरेंड पत्ता
effective procedure,प्रभावी प्रक्रिया
effective UID (user identification),प्रभावी UID (वापरकर्ता ओळख)
efffective transmission operand,प्रभावी ट्रान्समिशन ऑपरेंड
eight-bit byte,आठ-बिट बाइट
e-learning,ई-लर्निंग
election-algirthm,निवडणूक-अल्गिर्म
electric mailing (e-mail),इलेक्ट्रिक मेलिंग (ई-मेल)
electric printer,इलेक्ट्रिक प्रिंटर
electrical accounting machine,इलेक्ट्रिकल अकाउंटिंग मशीन
electronic,इलेक्ट्रॉनिक
electronic clearance system (ECS),इलेक्ट्रॉनिक क्लिअरन्स सिस्टम (ECS)
electronic data interchange (EDI),इलेक्ट्रॉनिक डेटा इंटरचेंज (EDI)
electronic data processing,इलेक्ट्रॉनिक डेटा प्रोसेसिंग
electronic filing,इलेक्ट्रॉनिक फाइलिंग
electronic funds transfer System (EFTS),इलेक्ट्रॉनिक निधी हस्तांतरण प्रणाली (EFTS)
electronic journals,इलेक्ट्रॉनिक जर्नल्स
electronic publishing,इलेक्ट्रॉनिक प्रकाशन
electronic switch,इलेक्ट्रॉनिक स्विच
element,घटक
e-mail,ई-मेल
e-mail address,ई-मेल पत्ता
embedded system,एम्बेडेड प्रणाली
embedding,एम्बेडिंग
emitter couple logic (ECL),एमिटर कपल लॉजिक (ECL)
empty stack,रिक्त स्टॅक
empty string,रिक्त स्ट्रिंग
