Telugu,Kannada
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್)
Adsorbent,ಹೊರಹೀರುವ
శోషణ,ಹೊರಹೀರತೆ
అధునాతన కార్డేట్,ಸುಧಾರಿತ ಸ್ವರಮೇಳ
ప్రయోజనకరమైన మ్యుటేషన్,ಅನುಕೂಲಕರ ರೂಪಾಂತರ
అడ్వెసిషియల్,ಸಾಹಸದ
సాహసోపేతమైన రూట్,ಸಾಹಸಿ ಮೂಲ
ప్రతికూల ప్రభావం,ದುಷ್ಪರಿಣಾಮ
AEDES,ಈಡಿಸ್
సంస్కృతి వాయువు,ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ
ఏరెన్చైమా,ವಾಮಪಂಥೀಯ
ఆకాశయాన,ವೈಮಾನಿಕ
వైమానిక రూట్,ವೈಮಾನಿಕ ಮೂಲ
వైమానిక షూట్,ವೈಮಾನಿಕ ಚಿಗುರು
ఏరోబిక్ శ్వాసక్రియ,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
ఏరోబిక్ శ్వాసక్రియ,ಏರೋಬಿಕ್ ಉಸಿರಾಟ
సౌందర్యం,ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
ఎస్టివేషన్,ಅಸ್ವಸ್ಥತೆ
ఎస్టివేషన్,ಅಸ್ವಸ್ಥತೆ
అనుబంధ,ವಿಪರೀತ
అనుబంధ క్రోమాటోగ్రఫీ,ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ
బాధిత అవయవం,ಪೀಡಿತ ಅಂಗ
అటవీ నిర్మూలన,ಸಂಯಮ
అగామోస్పెర్మీ,ಗಗನಯ
అగర్,ಗಾಡಿ
అగరోస్,ಜನಗಮಣ
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್
అగరోస్ పాలిమర్ జెల్,ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್
అగాస్ట్,ಚೂರುಪಾರು
కిత్తలి,ಭೂತಾಳೆ
వయస్సు పంపిణీ,ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ
వయస్సు పిరమిడ్,ವಯಸ್ಸು ಪಿರಮಿಡ್
సంకలనం,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
మొత్తం,ಒಟ್ಟು
ఫోలికల్ యొక్క మొత్తం,ಕೋಶಕ ಒಟ್ಟು
ఫోలికల్ యొక్క మొత్తం,ಕೋಶಕ ಒಟ್ಟು
సమూహనం,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
దూకుడు,ಆಕ್ರಮಣಶೀಲತೆ
ఆందోళన వ్యవస్థ,ಚಮತ್ಕಾರ
అగ్నాథ,ಅಜ್ಞಾತ
అగౌటి,ಗಾಡಿ
అగ్రనాల్ క్లోరోప్లాస్ట్,ಪಂಥದ
అగ్రన్యులర్,ಕೃಪಣದ
అగ్రనులోసైట్,ಪಂಥಿ
వ్యవసాయం,ಕೃಷಿ
అగ్రోఫారెస్ట్రీ,ಕೃಚಾರಕ
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್
వ్యవసాయ రసాయన,ಕೃಷಿ ರಾಸಾಯನಿಕ
వ్యవసాయ రసాయన,ಕೃಷಿ ರಾಸಾಯನಿಕ
అగ్రోక్లిమాటిక్ జోన్,ಕೃಷಿ ವಲಯ
వ్యవసాయ లక్షణం,ಕೃಷಿ ಲಕ್ಷಣ
వ్యవసాయ శాస్త్రం,ಕೃಷಿ ವಿಜ್ಞಾನ
ఎయిడ్స్,ನೆರಳು
గాలి మూత్రాశయం,ಗಾಳಿಗೊಡೆ
వాతానుకూలీన యంత్రము,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
గాలి మార్గం,ಗಾಳಿಯ ಮಾರ್ಗ
వాయుకాలుష్యం,ವಾಯು ಮಾಲಿನ್ಯ
ఎయిర్ శాక్,ಗಾಳಿಯ ಚೀಲ
ఎయిర్ వాక్యూల్,ವಿಮಾನ ನಿರ್ವಾತ
గాలి-శ్వాస,ಗಾಳಿ ಮರೆಯುವ
అలైన్,ತಲ್ಲಣ
అలారి కండరం,ಅಲರಿ ಸ್ನಾಯು
అలాస్కాన్ బ్రౌన్ బేర్,ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ
అల్బినో,ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ
అల్బుగో,ದಾಸ್ಯ
అల్బుమిన్,ಉಣ್ಣೆಯಂಥ
అల్బుమినస్ సీడ్,ಉಬ್ಬು ಬೀಜದ ಬೀಜ
అల్బుమినూరియా,ಬಿಲ್ಲಿನ
అల్బర్నమ్,ಪಾರಾಗಲಿ
ఆల్కే,ಹದಮುದಾಯಿ
ఆల్డెహీడ్,ಆಲ್ಡಿಹ್ಯೀಡ್
ఆల్డోస్టెరాన్ వ్యవస్థ,ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ
ఆల్డోస్టెరాన్,ಆಲ್ಡೋಸ್ಟಲಿಗೆ
అల్యూరోన్ పొర,ಅಲ್ಯೂರೋನ್ ಪದರ
అల్యూరోప్లాస్ట్,ಕಣ್ಣುಹಾಯ
అల్ఫాల్ఫా,ಉಚ್ಚಾರಣಾ
ఆల్గల్ బ్లూమ్,ಪಾಚಿಯ ಹೂವು
అల్జీన్,ಪಾರಿಗೊಣ
గ్రహాంతర DNA,ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ
గ్రహాంతర జాతులు,ಅನ್ಯ
అమరిక,ಜೋಡಣೆ
అమరిక,ಜೋಡಣೆ
అలిమెంటరీ కెనాల్,ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ
అలిమెంటరీ సిస్టమ్,ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ
అలిస్మాసిస్,ಮಿತ್ರತತ್ವ
ఆల్కలాయిడ్,ಕ್ಷಾರೀಯ
ఆల్కలీన్,ಕ್ಷಾರೀಯ
అల్కాప్టోటోరియా,ಕ್ಷಾರೀಯ
అల్లాంటోయిస్,ನಾರು
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,ಆಲೀಲ್ ಆವರ್ತನ
యుగ్మ వికల్పం,ಇಳಿಜಾರು
అల్లెలోమోర్ఫిక్ జత,ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ
అలెర్జీ,ಅಲರ್ಜಾಟ
ఎలిగేటర్,ಅಲಿಗ್ನ
అల్లియం సెపా,ಆಲಿಯಂ ಸೆಪಾ
అయోగాగమి,ಅಲೋಗಮಿ
అల్లోగ్రాఫ్ట్,ಅರಿಯುವವಳು
అల్లోపాట్రిక్ స్పెసియేషన్,ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್
అల్లోపాలిప్లోయిడ్,ಸೂತ್ರ
అలోస్టెరిక్ ప్రభావం,ಅಲೀರಿಕ್ ಪರಿಣಾಮ
అలోస్టెరిక్ ఎంజైమ్,ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ
అలోస్టెరిక్ ఇన్హిబిటర్,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ
అలోస్టెరిక్ మాడ్యులేషన్,ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್
అలోస్టెరిక్ సైట్,ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್
అలోస్టెరిక్ నిరోధం,ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ
అలోటెట్రాప్లాయిడ్,ತಟೆಾತ್ರಾ
ఆల్నస్,ದಾಸ್ಯ
కలబంద,ಅಡೆ
ఆక్సాన్ వెంట,ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ
ఆల్ఫా-యాంటిట్రిప్సిన్,ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್
ఆల్ఫా-లాక్టల్బ్యూమిన్,ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್
ఆల్పైన్ వాతావరణ పరిస్థితి,ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ
ఆల్పైన్ మేడో,ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು
ఆల్పైన్ జోన్,ಆಲ್ಪೈನ್ ವಲಯ
ఆల్స్టోనియా,ಆಲ್ಸ್ಟೋನಿಯಾ
ఆల్టర్నేరియా,ಪರ್ಯೇಡು
ప్రత్యామ్నాయ,ಪರ್ಯಾಯ
తరం యొక్క ప్రత్యామ్నాయం,ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ
ఎత్తు రుగ్మత,ಎತ್ತರ ಕಾಯಿಲೆ
ఎత్తు,ಎತ್ತರ
అల్వియోలార్ డక్ట్,ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ
అలిట్స్,ಮಣ್ಣು
అల్జీమర్స్ వ్యాధి,ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ
అమాక్రిన్ సెల్,ಅಮಾಮಿನ ಕೋಶ
అమరాంతేసి,ಹುಳ
అమరాంథస్,ಹುಳಿ
పరిసర ఓస్మోటిక్ గా ration త,ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ
అంబిస్టోమా,ಅಂಬಿಸ್ಟೋಮ
అమైడ్,ಅಸ್ಫುಲ್
అమైనో ఆమ్లం,ಅಮೈನೊ ಆಸಿಡ್
అమైనో యాసిడ్ అంగీకారం,ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ
అమైన్‌లాకారి,ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್
అమైనోఅసిలేషన్,ಅಮೈನೊಅಸಿಲೇಷನ್
అమిటోసిస్,ಅಮೀಟಾಸಿ
అమ్మోనియా,ಅಮೋನಿಯ
అమ్మోనిఫికేషన్,ಅಮೋನೀಕರಣ
అమ్మోనోటెలిజం,ಅಮ್ಮನೋಟೆಲಿಸಂ
అమ్నియోసెంటెసిస్,ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್
అమ్నియోసెంటెసిస్ టెక్నిక్,ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ
అమ్నియోసైట్,ಅಮ್ನಿಯೈಟ್
అమ్నియోన్,ಮಂಕಾದ
అమ్నియోటిక్ ద్రవం,ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ
అమ్నియోటిక్ పొర,ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್
అమ్నియోటిక్ శాక్,ಜಾಮಿಕಾಟದ ಚೀಲ
అమీబా,ಅಮೀಬ
అమీబోసైట్,ಅಮೀಬೋಸೈಟ್
అమీబాయిడ్,ಅಮೀಬಯುಡಿ
అమీబోయిడ్ లింఫోసైట్,ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್
అమీబోయిడ్ కదలిక,ಅಮೀಬಯಿಡ್ ಚಲನೆ
నిరాకార,ಅರೂಪದ
మొత్తం,ಮೊತ್ತ
యాంఫేటమిన్,ಆಭರಣ
ఉభయచర,ಉಭಯಚರ
ఉభయచర,ಉಭಯಚರ
ఉభయచర,ಉಭಯಚರ
యాంఫియోక్సస్,ಉಲ್ಬಣ
యాంఫియోక్సస్ లాన్సోలాటస్,ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್
యాంఫిపతిక్,ಉಭಯಪಕ್ಷೀಯ
యాంఫిపతిక్ లిపిడ్,ಉಭಯಚರ ಲಿಪಿಡ್
యాంఫిసార్కా,ಉಚ್ಚಾರೆ
ఆంపిసిలిన్,ಲೋಕದ
అంపుల్లా,ಹಲ್ಲು
అంపల్లరీ గ్రంథి,ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ
అమిగ్డాల్,ಅಮಿಗ್ಡಾಲ್
అమిగ్డేల్,ಬಾಚು
అమిగ్డాలిన్,ಅಮಿಗ್ಲಿನ್
అమిలేస్,ಮಂಕಾದ
అమిలోప్లాస్ట్,ಅಮಿಲೋಪ್ಲಾಸ್ಟ್
అనాబెనా,ಅ ೦ ಗಡಿ
అనాబాస్,ಹಳ್ಳ
అనాబాలిక్ మార్గాలు,ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು
అనాబాలిజం,ಅನಾಬಾಲಿಸಂ
అనాకార్డియాసి,ಅನಾಕಾರ್ಡಿಯಾಸಿ
రక్తహీనత,ರಕ್ತಹೀನತೆ
Anaerobe,ಬಯೆರೋಲೆ
వాయురహిత ఇంధనం,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
వాయురహిత శ్వాసక్రియ,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
వాయురహిత బురద డైజెస్టర్,ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್
Anaerobic,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
అనైమా,ಅನೈಮ
ఆసన,ಗುದ
ఆసన,ಗುದ
ఆసన ఎపర్చరు,ಗುದ ದ್ಯುತಿರಂಧ್ರ
అనల్ సెర్సీ,ಗುದ
అనల్ లూప్,ಗುದ ಲೂಪು
ఆసన శైలి,ಗುದ ಶೈಲಿ
సారూప్యత,ಹೋಲುವ
సారూప్యత,ಹೋಲುವ
సారూప్యత,ಸಾದೃಶ್ಯ
సారూప్యత,ಸಾದೃಶ್ಯ
విశ్లేషణ,ವಿಶ್ಲೇಷಣೆ
అనాఫేస్,ಅನಾಫೇಸ್
శరీర నిర్మాణ అవరోధం,ಅಂಗರಚನಾ ತಡೆಗೋಡೆ
శరీర నిర్మాణ అంశం,ಅಂಗರಚನಾ ಅಂಶ
శరీర నిర్మాణ శాస్త్రవేత్త,ಅಂಗರಚನಾ ತಜ್ಞ
శరీర నిర్మాణ శాస్త్రం,ಅಂಗರಚನಾಶಾಸ್ತ್ರ
పూర్వీకుల వారసుడు క్రమం,ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ
పూర్వీకుల వంశం,ಪೂರ್ವಜರ ವಂಶ
పూర్వీకుల క్రమం,ಪೂರ್ವಜರ ಅನುಕ್ರಮ
అన్సైలోస్టోమా,ಚಾಚು
ఆండ్రోసియం,ಆಂಡ್ರೊಸಿಯಮ್
ఆండ్రోజెన్,Andrಷಧ
రక్తహీనత,ರಕ್ತಹೀನತೆ
ఎనిమోన్,ವೇಶ್ಯೆ
అనూప్లోయిడ్,ಅನೆಲಾಯ್ಡ್
అనూప్లోయిడి,ಅನೆಪ್ಲು
ఆంజినా,ಗಂಜಿ
యాంజియోగ్రామ్,ಆಂಗಿಯ ವರ್ಗ
యాంజియోగ్రాఫ్,ಆತಿ
యాంజియోగ్రఫీ,ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ
యాంజియోప్లాస్టీ,ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ
యాంజియోస్పెర్మ్,ಆಂಗಿಯೋಸ್ಪೆರ್ಮು
యాంజియోటెన్సిన్,ಆಂಜಿಯೋಟೆನ್ಸಿನ್
యాంజియోటెన్సినోజెన్,ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ
జాలరి చేప,ಗಾಳಹಾಕಿ ಮೀನು
అంగునా,ಗದ್ದೆ
అంగుయిస్,ಕುಡಿನೂದಿ
జంతువు,ಪ್ರಾಣಿ
జంతువు,ಪ್ರಾಣಿ
జంతువుల పేడ,ಪ್ರಾಣಿ ಸಗಣಿ
పశుసంరక్షణ,ಪಶುಸಂಗೋಪನೆ
జంతువుల కార్యోటైపింగ్,ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್
జంతు సామ్రాజ్యం,ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ
జంతువుల కణజాలం,ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ
యానిమాలియా,ಪ್ರಾಣಿ
అయాన్,ಅಯಾನು
అనిసోట్రోపిక్ బ్యాండ్,ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್
ఎనియలింగ్,ಮುಟ್ಟಿದ
అన్నెలిడ్,ಗಡಿಯಾರ
అన్నెలిడా,ಅನುಗ್ರಹದ
వార్షిక రింగ్,ವಾರ್ಷಿಕ ಉಂಗುರ
యాన్యులేటెడ్,ಉರಿಯೂತ
యాన్యుల్,ಅನ್ನ್ಯೂಲ್
క్రమరహిత రకం,ಅಸಂಗತ ಪ್ರಕಾರ
అనోఫిల్స్,ಅನಾಫಿಲಿಸ್
చీమ తినేవాడు,ಇರುವೆ ಭಕ್ಷಕ
విరోధి,ವಿರೋಧದ
అంటార్కిటిక్,ಪೃಷ್ಠದ
యాంటెన్నా,ಆನಂತಾ
యాంటెన్నా కాంప్లెక్స్,ಆಂಟೆನಾ ಸಂಕೀರ್ಣ
యాంటెనల్ గ్రంథి,ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ
ముందరి (వెంట్రల్) బూడిద కొమ్ము,ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು
పూర్వ హైపోఫిసిస్,ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್
పూర్వ జోక్య సల్కస్,ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್
Anther,ಪರಾಗ
పూర్వ సంస్కృతి,ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ
ఆంథెరిడియం,ಸ ೦ ಗಂಥಿಯ
అంటెరోజాయిడ్,ಪರಾಗಿದರದ
ఆంథోసెరోస్,ಆಂಥೆಸೆರೋಸ್
ఆంథోసెరోటోప్సిడా,ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ
ఆంత్రాక్స్,ಆಂಥ್ರಾಕ್ಸ್
మానవ అంతరించిపోవడం,ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ
మానవ శాస్త్రం,ಮಾನವಶಾಸ್ತ್ರ
