Assamese,Kannada
বেছমেণ্টৰ দেৱাল,ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ
বেচ প্লেট,ಬೇಸ್ ಪ್ಲೇಟ್
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ"
ভিত্তি পৰিপূৰকতা,ಮೂಲ ಶುದ್ಧತ್ವ
বেছ’ইড,ಬಸಾಯಿಡ್
বেট,ಬ್ಯಾಟ್
বাথ আৰু ডব্লিউ চি,ಬಾತ್ ಮತ್ತು WC
বেটাৰ পেগ,ಬ್ಯಾಟರ್ ಪೆಗ್
বেটাৰ ঘাট,ಬ್ಯಾಟರ್ ಪಿಯರ್
বেটাৰৰ নিয়ম,ಬ್ಯಾಟರ್ ನಿಯಮ
Baulk (বালক),ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್)
উপসাগৰ,ಕೊಲ್ಲಿ
বাহক,ಬೇರರ್
বহন ক্ষমতা,ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
বেয়াৰিং পাইল,ಬೇರಿಂಗ್ ಪೈಲ್
বহন স্তৰ,ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್
বিছনা,ಹಾಸಿಗೆ
বিচনাৰ বিমান,ಹಾಸಿಗೆ ವಿಮಾನ
বিচনাৰ সংযোগ,ಬೆಡ್ ಜಂಟಿ
বিচনাৰ শিল,ಬೆಡ್ ರಾಕ್
শোৱনি কোঠা,ಮಲಗುವ ಕೋಣೆ
মৌমাখিৰ মোম,ಜೇನುಮೇಣ
বেল বাকচ,ಬೆಲ್ ಬಾಕ್ಸ್
বেলিং বাল্টি,ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್
বেলোফ্ৰেম,ಬೆಲ್ಲೋಫ್ರಾಮ್
বেঞ্চযুক্ত ভেটি,ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ
বেঞ্চিং কৰা,ಬೆಂಚಿಂಗ್
বেঞ্চ মাৰ্ক,ಮಾನದಂಡ
লাভৰ খৰচ বিশ্লেষণ,ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ
বাৰ্ম,ಬೆರ್ಮ್
বেভেলড বন্ধ,ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ
"খ-দিগন্ত,&quot;খ-","ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-"
বিয়াত,ಬಿಯಾಟ್
বাইণ্ডাৰ,ಬೈಂಡರ್
বান্ধি ৰখা সামগ্ৰী,ಬೈಂಡಿಂಗ್ ವಸ್ತು
বায়টৰ তত্ত্ব,ಬಯೋಟ್ ಸಿದ್ಧಾಂತ
বিটুমিন,ಬಿಟುಮೆನ್
ক’লা কপাহী মাটি,ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು
ক&#39;লা পৃথিৱী,ಕಪ್ಪು ಭೂಮಿ
ক’লা টাৰ্ফ মাটি,ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು
ব্লেড,ಬ್ಲೇಡ್
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್
ব্লকযুক্ত গঠন,ಬ್ಲಾಕ್ ರಚನೆ
বগী প্ৰতিৰোধ,ಬೋಗಿ ಪ್ರತಿರೋಧ
বোগ-লোহাৰ অক্সাইড,ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು
বান্ধোন,ಕರಾರುಪತ್ರ
বণ্ডেড সদস্য,ಬಂಧಿತ ಸದಸ್ಯ
বণ্ডেড পোষ্ট টেনচিং,ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್
বণ্ড ষ্টোন,ಬಾಂಡ್ ಕಲ್ಲು
বান্ধি থোৱা পানী,ಬೌಂಡ್ ನೀರು
বক্স নালা,ಬಾಕ್ಸ್ ಗಟರ್
ব্ৰেচ,ಬ್ರೇಸ್
ইটা-অন-এজ,ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್
লজ্জাজনক,ಬ್ರಿಡ್ಲ್
উজ্জ্বলতা,ಹೊಳಪು
বাদামী মাটি,ಕಂದು ಮಣ್ಣು
ভৱন,ಕಟ್ಟಡ
বিল্ডিং জৰীপকাৰী,ಕಟ್ಟಡ ಸರ್ವೇಯರ್
বাফাৰ,ಬಫರ್
বাফাৰ বক্ৰ,ಬಫರ್ ಕರ್ವ್
বাফাৰিং,ಬಫರಿಂಗ್
বাফাৰিং ক্ষমতা,ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ
বাণ্ডাৰ,ಬಂದರ್
বাট্ৰেছ,ಬಟ್ರೆಸ್
গ-দিগন্ত,ಸಿ-ಹಾರಿಜಾನ್
কেবল,ಕೇಬಲ್
কেবল মল্ডিং,ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್
কেবলিং,ಕೇಬಲ್ ಹಾಕುವುದು
কেবিন,ಕ್ಯಾಬಿನ್
কেবিন হুক,ಕ್ಯಾಬಿನ್ ಹುಕ್
কেবিনেট,ಕ್ಯಾಬಿನೆಟ್
কেবল্টৰ চাকৰি এৰিছে,ಕಾಬೋಲ್ಟ್ ತೊರೆದರು
কেফেটেৰিয়া,ಕೆಫೆಟೇರಿಯಾ
সঁজা,ಪಂಜರ
পিঞ্জৰা নিৰ্মাণ,ಪಂಜರ ನಿರ್ಮಾಣ
কয়িনৰ সূত্ৰ,ಕೇನ್ ಅವರ ಸೂತ್ರ
কেইচন,ಕೈಸನ್
কেইচন ৰোগ,ಕೈಸನ್ ಕಾಯಿಲೆ
কেইচন ফাউণ্ডেচন,ಕೈಸನ್ ಅಡಿಪಾಯ
কেইচন পাইল,ಕೈಸನ್ ರಾಶಿ
কেলকেয়াৰযুক্ত ইটা,ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ
কেলকেয়াৰযুক্ত মাটি,ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು
কেলকেয়াৰযুক্ত খোলা,ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್
কেলচিফিকেশন,ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್
কেলচিনেচন,ಕ್ಯಾಲ್ಸಿನೇಷನ್
কেলচিন,ಕ್ಯಾಲ್ಸಿನ್
কেলচাইট,ಕ್ಯಾಲ್ಸೈಟ್
কেলচিয়াম-এলুমিনেট চিমেণ্ট,ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್
কেলচিয়াম-চিলিকেট ইটা,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ
কেলচিয়াম-চিলিকেট হাইড্ৰেট,ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್
কালিচে,ಕ್ಯಾಲಿಚೆ
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ
কেলিপাৰ,ಕ್ಯಾಲಿಪರ್
কেলৰিমিটাৰ,ಕ್ಯಾಲೋರಿಮೀಟರ್
কেম্বাৰ,ಕ್ಯಾಂಬರ್
খাল,ಕಾಲುವೆ
কেনপি,ಮೇಲಾವರಣ
কেন্টিলিভাৰ ফুটিং,ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್
কেপ,ಕ್ಯಾಪ್
ক্ষমতা,ಸಾಮರ್ಥ್ಯ
ail ট্ৰেকৰ ক্ষমতা,ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ
কেপ কেবল,ಕ್ಯಾಪ್ ಕೇಬಲ್
কেপিলাৰিটি,ಕ್ಯಾಪಿಲ್ಲರಿಟಿ
কেপিলাৰী ব্ৰেক,ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್
কেপিলাৰী প্ৰবাহ,ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು
কেপিলাৰী ছিদ্ৰ স্থান,ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ
কেপিলাৰী ছিদ্ৰতা,ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ
কেপিলাৰী স্থান,ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್
কেপচাৰ বেগ,ಕ್ಯಾಪ್ಚರ್ ವೇಗ
কাৰ্বনেচন,ಕಾರ್ಬೊನೇಶನ್
কাৰ্বন ব্লেক,ಕಾರ್ಬನ್ ಕಪ್ಪು
Castble অবাধ্য,ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ
কাষ্ট-ইন-প্লেচ পাইল,ಎರಕಹೊಯ್ದ ರಾಶಿ
কেষ্টাৰ,ಕ್ಯಾಸ್ಟರ್
ঢালাই শিল,ಎರಕಹೊಯ್ದ ಕಲ್ಲು
অনুঘটক,ವೇಗವರ್ಧಕ
কেটেনা,ಕ್ಯಾಟೆನಾ
মেকুৰীৰ মুখ,ಬೆಕ್ಕಿನ ಮುಖ
মেকুৰীৰ মূৰ,ಬೆಕ್ಕಿನ ತಲೆ
কেটিয়ন,ಕ್ಯಾಶನ್
মেকুৰী খোজ কাঢ়িব,ಬೆಕ್ಕಿನ ನಡಿಗೆ
গহ্বৰৰ ক্ষতি,ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ
চেলাইট,ಸೆಲೈಟ್
কোষীয় কংক্ৰিট,ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್
কোষীয় নিৰ্মাণ,ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ
চিমেণ্ট,ಸಿಮೆಂಟ್
"চিমেণ্ট, বিটুমিনাছ","ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್"
"চিমেণ্ট, উচ্চ শক্তি","ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ"
"চিমেণ্ট, হাইড্ৰলিক","ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್"
"চিমেণ্ট, কম জুইত","ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ"
"চিমেণ্ট, শিলৰ কাম","ಸಿಮೆಂಟ್, ಕಲ್ಲು"
"চিমেণ্ট, প্ৰাকৃতিক","ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ"
"চিমেণ্ট, পৰ্টলেণ্ড","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್"
"চিমেণ্ট, স্লেগ","ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್"
"চিমেণ্ট, বগা","ಸಿಮೆಂಟ್, ಬಿಳಿ"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ
চিমেণ্টৰ পৰিমাণ,ಸಿಮೆಂಟ್ ವಿಷಯ
চিমেণ্ট জেল,ಸಿಮೆಂಟ್ ಜೆಲ್
চিমেণ্টৰ বন্দুক,ಸಿಮೆಂಟ್ ಗನ್
চিমেণ্টৰ ভঁৰাল,ಸಿಮೆಂಟ್ ಗೂಡು
চিমেণ্টৰ ৰং,ಸಿಮೆಂಟ್ ಬಣ್ಣ
চিমেণ্টৰ প্লাষ্টাৰ,ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್
চিমেণ্টৰ শিল,ಸಿಮೆಂಟ್ ಕಲ್ಲು
চিমেণ্টৰ গোন্ধ,ಸಿಮೆಂಟ್ ಸ್ಲರಿ
চিমেণ্ট সংৰক্ষণ,ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ
চিমেণ্টেচন প্ৰক্ৰিয়া,ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ
কেন্দ্ৰীকৰণ,ಕೇಂದ್ರೀಕರಣ
চেণ্টাৰিং আৰু শ্বাটাৰিং,ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್
কেন্দ্ৰীয় মিক্সাৰ,ಕೇಂದ್ರ ಮಿಕ್ಸರ್
কেন্দ্ৰপৃথক ফেন,ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್
চক,ಚಾಕ್
চেমফাৰ,ಚೇಂಫರ್
চেমফাৰ ষ্ট্ৰিপ,ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್
চেনেল বিম,ಚಾನಲ್ ಕಿರಣ
বৈশিষ্ট্যপূৰ্ণ বোজা,ವಿಶಿಷ್ಟ ಲೋಡ್
বৈশিষ্ট্যপূৰ্ণ শক্তি,ವಿಶಿಷ್ಟ ಶಕ್ತಿ
চাৰ্জ অফ কৰক,ಚಾರ್ಜ್ ಆಫ್
চাৰ্জিং,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
পৰীক্ষা কৰি আছে,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
ৰাসায়নিক বন্ধন,ರಾಸಾಯನಿಕ ಬಂಧ
চেৰনোজেম,ಚೆರ್ನೋಜೆಮ್
চেষ্টনাটৰ মাটি,ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು
চিমনিৰ নালা,ಚಿಮಣಿ ಗಟಾರ
চিপ বৰ্ড,ಚಿಪ್ ಬೋರ್ಡ್
চিপিং,ಚಿಪ್ಪಿಂಗ್
চিপছ,ಚಿಪ್ಸ್
চুটে,ಗಾಳಿಕೊಡೆ
শ্ৰেণী (কংক্ৰিটৰ),ವರ್ಗ (ಕಾಂಕ್ರೀಟ್)
বোকা মাটি,ಕ್ಲೇ
মাটিৰ পৰিমাণ,ಕ್ಲೇ ವಿಷಯ
মাটিৰ কেৰাহী,ಕ್ಲೇ ಪ್ಯಾನ್
ক্লিনআউট,ಕ್ಲೀನ್ಔಟ್
চাফ-চিকুণ কৰক,ಸ್ವಚ್ಛಗೊಳಿಸಿ
ক্লিট কৰক,ಕ್ಲೀಟ್
ক্লিংকাৰ,ಕ್ಲಿಂಕರ್
ক্লিপ,ಕ್ಲಿಪ್
জমা হোৱা,ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ
মোটা গোটা পদাৰ্থ,ಒರಟಾದ ಒಟ್ಟು
মোটা দানাযুক্ত মাটি,ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು
কোট,ಕೋಟ್
কফাৰ বান্ধ,ಕಾಫರ್ ಅಣೆಕಟ್ಟು
সংহতি,ಒಗ್ಗಟ್ಟು
কলয়ড,ಕೊಲಾಯ್ಡ್
কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত,ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ
কলয়ডাল ব্যৱস্থা,ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ
কলুভিয়াল মাটি,ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು
স্তম্ভ,ಅಂಕಣ
কম্বড ফিনিচিং,ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ
সংযুক্ত ফুটিং,ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್
সংযুক্ত পানী,ಸಂಯೋಜಿತ ನೀರು
কমন ৰুম,ಸಾಮಾನ್ಯ ಕೊಠಡಿ
সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ,ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ
উপাদান বৰ্গ,ಘಟಕ ಚೌಕ
কংক্ৰিট,ಕಾಂಕ್ರೀಟ್
কংক্ৰিচন,ಕಾಂಕ್ರೀಟಿಕರಣ
একত্ৰিত হাৰ/ফ্লেট হাৰ,ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ
দূষক পদাৰ্থ,ಮಾಲಿನ್ಯಕಾರಕಗಳು
ৰন্ধা-বঢ়াৰ এলকোভ,ಅಲ್ಕೋವ್ ಅಡುಗೆ
মোকাবিলা কৰা,ನಿಭಾಯಿಸುವುದು
কৰ্বেল,ಕಾರ್ಬೆಲ್
কৰ্নিচ,ಕಾರ್ನಿಸ್
কাপলাৰ,ಸಂಯೋಜಕ
"কাপলাৰ, ডাবল","ಕಪ್ಲರ್, ಡಬಲ್"
"কাপলাৰ, পুটলগ","ಕಪ್ಲರ್, ಪುಟ್ಲಾಗ್"
"কাপলাৰ, চুইভেল","ಕಪ್ಲರ್, ಸ್ವಿವೆಲ್"
ধাৰা,ಕೋರ್ಸ್
কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,ಕೋರ್ಸ್ಡ್ ಯಾದೃಚ್ಛಿಕ ಕಲ್ಲುಮಣ್ಣು ಕಲ್ಲುಗಳು
আবৃত অঞ্চল,ಆವರಿಸಿದ ಪ್ರದೇಶ
অধম,ತೆವಳುವ
ক্ৰিপ সহগ,ಕ್ರೀಪ್ ಗುಣಾಂಕ
ক্ৰ&#39;ট&#39;ভাইন,ಕ್ರೊಟೊವಿನ್
কাউৰী ভৰি,ಕಾಗೆ ಕಾಲು
ক্ৰাম গঠন,ಕ್ರಂಬ್ ರಚನೆ
প্ৰতিবন্ধক,ದಂಡೆ
সোঁত,ಪ್ರಸ್ತುತ
বক্ৰ প্ৰতিৰোধ ক্ষমতা,ಕರ್ವ್ ಪ್ರತಿರೋಧ
ডেম্প প্ৰুফ কোৰ্চ,ತೇವಾಂಶ ನಿರೋಧಕ ಕೋರ್ಸ್
সম্পূৰ্ণ হোৱাৰ তাৰিখ,ಪೂರ್ಣಗೊಂಡ ದಿನಾಂಕ
ডেড লোড,ಡೆಡ್ ಲೋಡ್
মৰা পানী,ಸತ್ತ ನೀರು
ডেচিবেল,ಡೆಸಿಬೆಲ್
ডিফ্ল’কুলেচন,ಡಿಫ್ಲೋಕ್ಯುಲೇಷನ್
বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত,ಗಾಳಿ ಅಥವಾ ಗಾಳಿಯ ಅಂತರದ ಅನುಪಾತದ ಪದವಿ
একত্ৰীকৰণৰ মাত্ৰা,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪದವಿ
বিক্ষিপ্ততাৰ মাত্ৰা,ಪ್ರಸರಣದ ಪದವಿ
চেচুৰেচনৰ ডিগ্ৰী,ಶುದ್ಧತ್ವದ ಪದವಿ
ঘনত্ব,ಸಾಂದ್ರತೆ
মৰুভূমিৰ ফুটপাথ,ಮರುಭೂಮಿ ಪಾದಚಾರಿ ಮಾರ್ಗ
মৰুভূমিৰ মাটি,ಮರುಭೂಮಿ ಮಣ್ಣು
সবিশেষ,ವಿವರಗಳು
উন্নয়নৰ সময়ছোৱা,ಅಭಿವೃದ್ಧಿ ಅವಧಿ
ডি-দিগন্ত,ಡಿ-ಹಾರಿಜಾನ್
তিৰ্যক বন্ধন,ಕರ್ಣೀಯ ಬಂಧ
ডায়াগ্ৰাম,ರೇಖಾಚಿತ್ರ
ডিজিটেল ডক,ಡಿಜಿಟಲ್ ಡಾಕ್
ভিন্নতামূলক পানীৰ হাৰ,ಭೇದಾತ್ಮಕ ನೀರಿನ ದರ
পাতল কৰা ভেণ্টিলেচন,ದುರ್ಬಲಗೊಳಿಸುವ ವಾತಾಯನ
ডিলুভিয়াম,ಡಿಲುವಿಯಂ
খোৱাঘৰ,ಊಟದ ಕೋಣೆ
দিশৰ পেগ,ದಿಕ್ಕಿನ ಪೆಗ್
বিক্ষিপ্ততা,ಪ್ರಸರಣ
ডিষ্টেম্পাৰ,ಡಿಸ್ಟೆಂಪರ್
ডক,ಡಾಕ್
দুৱাৰ,ಬಾಗಿಲು
ডৰ্মাৰ,ಡಾರ್ಮರ್
ডৰ্মাৰ চেক,ಡಾರ್ಮರ್ ಚೆಕ್
ডাবল ফ্লেমিছ বণ্ড,ಡಬಲ್ ಫ್ಲೆಮಿಶ್ ಬಾಂಡ್
ডাবল লেয়াৰ,ಡಬಲ್ ಲೇಯರ್
ডৱেল,ಡೋವೆಲ್
অংকন বৰ্ড,ಡ್ರಾಯಿಂಗ್ ಬೋರ್ಡ್
ড্ৰয়িং ৰুম,ಡ್ರಾಯಿಂಗ್ ಕೊಠಡಿ
ড্ৰিফ্ট,ಡ್ರಿಫ್ಟ್
শুকান বাল্বৰ উষ্ণতা,ಒಣ ಬಲ್ಬ್ ತಾಪಮಾನ
শুকান ডক,ಡ್ರೈ ಡಾಕ್
