Bengali,Gujarati
গণনা পদ্ধতি,ગણતરીની પ્રક્રિયા
ক্যালকুলেটর,કેલ્ક્યુલેટર
ক্যালকুলাস,કલન
পরিবর্তনের ক্যালকুলাস,વિવિધતાની ગણતરી
ক্যালোরি,કેલરી
বাতিল আইন,રદ કરવાનો કાયદો
ক্যানোনিকাল সমীকরণ,પ્રામાણિક સમીકરણ
ক্যানোনিকাল ফর্ম,પ્રમાણભૂત સ્વરૂપ
ক্যানোনিকাল ম্যাট্রিক্স,પ્રમાણભૂત મેટ્રિક્સ
ক্যান্টর সেট,કેન્ટર સેટ
Cantor এর ত্রিনারি সেট,કેન્ટોરનો તૃતીય સમૂહ
ক্যাপাসিটেড পরিবহন সমস্যা,ક્ષમતાયુક્ત પરિવહન સમસ્યા
ক্ষমতা,ક્ષમતા
কৈশিক বল,રુધિરકેશિકા બળ
অঙ্কবাচক সংখ্যা,મુખ્ય નંબર
কার্টেসিয়ান অক্ষ,કાર્ટેશિયન અક્ષો
কার্টেসিয়ান স্থানাঙ্ক,કાર્ટેશિયન કોઓર્ડિનેટ્સ
কার্টিজিয়ান পণ্য,કાર્ટેશિયન ઉત્પાદન
সেটের কার্টেসিয়ান পণ্য,સેટનું કાર્ટેશિયન ઉત્પાદન
কেস স্টাডি,કેસ સ્ટડી
বিপর্যয়কর ওঠানামা,આપત્તિજનક વધઘટ
ক্যাটেনারি,કેટેનરી
কচি বন্টন,કોચી વિતરણ
কচি সূত্র,કોચી સૂત્ર
Cauchy Goursat উপপাদ্য,કોચી ગૌરસત પ્રમેય
কচি রিম্যানের শর্ত,Cauchy Riemann શરતો
কচি সিকোয়েন্স,કોચી ક્રમ
কচি অবিচ্ছেদ্য,કોચી અભિન્ન
কচি প্রধান মান,કોચી મુખ્ય મૂલ્ય
কচি অবশিষ্টাংশ উপপাদ্য,કોચી અવશેષ પ્રમેય
কেলি হ্যামিল্টন উপপাদ্য,કેલી હેમિલ્ટન પ્રમેય
স্বর্গীয় শরীরের,અવકાશી પદાર્થ
স্বর্গীয় পরিমাপ,અવકાશી માપ
স্বর্গীয় বলবিদ্যা,અવકાશી મિકેનિક્સ
মহাকাশীয় বস্তু,અવકાશી પદાર્થ
সেল ফ্রিকোয়েন্সি,સેલ આવર્તન
জনগণনা,વસ્તી ગણતરી
সেন্টিল,સેન્ટાઇલ
সেন্টিমিটার,સેન્ટીમીટર
সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম,સેન્ટીમીટર ગ્રામ સેકન્ડ સિસ્ટમ
কেন্দ্রীয়,કેન્દ્રીય
কেন্দ্রীয় অক্ষ,કેન્દ્રીય અક્ષ
কেন্দ্রীয় পার্থক্য,કેન્દ્રીય તફાવત
কেন্দ্রীয় পার্থক্য সূত্র,કેન્દ્રીય તફાવત સૂત્ર
কেন্দ্রীয় পার্থক্য টেবিল,કેન્દ્રીય તફાવત કોષ્ટક
কেন্দ্রীয় সীমা উপপাদ্য,કેન્દ્રીય મર્યાદા પ્રમેય
কেন্দ্রীয় মুহূর্ত,કેન્દ્રીય ક્ષણ
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
কেন্দ্রীয় প্রবণতা,કેન્દ્રીય વલણ
কেন্দ্র,કેન્દ્ર
মাধ্যাকর্ষণ কেন্দ্র,ગુરુત્વાકર્ષણ કેન્દ્ર
দলের কেন্দ্র,જૂથનું કેન્દ્ર
ভর কেন্দ্র,સમૂહનું કેન્દ્ર
প্রতিসাম্য কেন্দ্র,સમપ્રમાણતાનું કેન્દ્ર
অপকেন্দ্র বল,કેન્દ્રત્યાગી બળ
কেন্দ্রমুখী বল,કેન્દ્રબિંદુ બળ
ভরকেন্দ্র,કેન્દ્રીય
নিশ্চিততা,નિશ્ચિતતા
সিজিএস সিস্টেম,સીજીએસ સિસ્ટમ
সিজিএস ইউনিট,સીજીએસ એકમ
পার্থক্যের চেইন নিয়ম,ભિન્નતાનો સાંકળ નિયમ
সুযোগ কারণ,તક કારણો
সুযোগ চলে যায়,તક ચાલ
অক্ষ পরিবর্তন,અક્ષોનું પરિવર્તન
ভিত্তি পরিবর্তন,આધાર ફેરફાર
আদেশ পরিবর্তন,ઓર્ડરમાં ફેરફાર
বৈশিষ্ট্য সহগ,લાક્ષણિક ગુણાંક
নির্ধারক,નિર્ણાયક
চরিত্রগত সমীকরণ,લાક્ષણિક સમીકરણ
চরিত্রগত ফাংশন,લાક્ષણિક કાર્ય
লগারিদমের বৈশিষ্ট্য,લઘુગણકની લાક્ષણિકતા
চরিত্রগত বহুপদ,લાક્ષણિક બહુપદી
বৈশিষ্ট্যগত মান,લાક્ષણિક મૂલ્ય
চরিত্রগত ভেক্টর,લાક્ષણિક વેક્ટર
অক্ষর সেট,અક્ષર સમૂહ
চার্ট,ચાર્ટ
চি-স্কয়ার বিতরণ,ચી-સ્ક્વેર વિતરણ
চি-বর্গাকার সূত্র,ચી-સ્ક્વેર ફોર્મ્યુલા
চি-স্কয়ার পরীক্ষা,ચી-સ્ક્વેર ટેસ્ટ
জ্যা,તાર
জ্যা-দ্বিখণ্ডন পদ্ধতি,તાર-દ્વિભાજન પદ્ધતિ
সাইফার বার্তা (=কোডেড বার্তা),સાઇફર સંદેશ (=કોડેડ સંદેશ)
সাইফার (শূন্য),સાઇફર (શૂન્ય)
বৃত্ত,વર્તુળ
অভিসার বৃত্ত,કન્વર્જન્સનું વર્તુળ
সার্কিট ম্যাট্রিক্স,સર્કિટ મેટ્રિક્સ
বৃত্তাকার,પરિપત્ર
বৃত্তাকার অ্যাসিম্পটোট,પરિપત્ર એસિમ્પ્ટોટ
বৃত্তাকার হেলিক্স,ગોળાકાર હેલિક્સ
বৃত্তাকার গতি,પરિપત્ર ગતિ
পরিধি কেন্দ্র,પરિઘ કેન્દ્ર
পরিবৃত্ত,પરિઘ
পরিধি করা,ઘેરાવો
পরিধিকৃত,ઘેરાયેલું
পরিধিকৃত বৃত্ত,ઘેરાયેલું વર્તુળ
ক্লাসিক্যাল ডিডাক্টিভ কৌশল,ક્લાસિકલ ડિડક્ટિવ ટેકનિક
শাস্ত্রীয় গতিবিদ্যা,શાસ્ત્રીય ગતિશીલતા
শাস্ত্রীয় অপ্টিমাইজেশান,શાસ્ત્રીય ઓપ્ટિમાઇઝેશન
শাস্ত্রীয় ধ্বংস সমস্যা,શાસ્ત્રીય વિનાશની સમસ્યા
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
ত্রুটির শ্রেণীবিভাগ,ભૂલોનું વર્ગીકરણ
ক্লাসের ব্যবধান,વર્ગ અંતરાલ
ক্লাস-ব্যবধান ইউনিট,વર્ગ અંતરાલ એકમ
শ্রেণীর সীমা,વર્ગ મર્યાદા
ঘড়ির কাঁটার দিকে,ઘડિયાળની દિશામાં
ক্লোপেন (= বন্ধ এবং খোলা),ક્લોપેન (= બંધ અને ખુલ્લું)
বন্ধ,બંધ
বদ্ধ উত্তল হুল,બંધ બહિર્મુખ હલ
বন্ধ ঘনক্ষেত্র,બંધ સમઘન
বন্ধ বক্ররেখা,બંધ વળાંક
বন্ধ ডোমেইন,બંધ ડોમેન
বন্ধ চিত্র,બંધ આકૃતિ
বন্ধ ব্যবধান,બંધ અંતરાલ
বন্ধ অঞ্চল,બંધ પ્રદેશ
বন্ধ সেট,બંધ સેટ
বন্ধ পৃষ্ঠ,બંધ સપાટી
বন্ধ,બંધ
বন্ধ অপারেটর,બંધ ઓપરેટર
বন্ধ বিন্দু (= যোগাযোগ বিন্দু),બંધ બિંદુ (= સંપર્ક બિંદુ)
বন্ধ ঘোষণা,બંધ કરવાની ધારણા
বন্ধ সেট,બંધ સેટ
ক্লাস্টার পয়েন্ট,ક્લસ્ટર બિંદુ
গুচ্ছের আদর্শ,ક્લસ્ટર નમૂના
ক্লাস্টার সেট,ક્લસ્ટર સેટ
সমাক্ষ বৃত্ত,કોક્સિયલ વર્તુળો
সমাক্ষীয় প্যারাবোলাস,કોક્સિયલ પેરાબોલાસ
সমাক্ষ সমতল,કોક્સિયલ પ્લેન
সমাক্ষীয় ত্রিভুজ,કોક્સિયલ ત્રિકોણ
কোব - ডগলাস ফাংশন,કોબ - ડગ્લાસ કાર્ય
কোডিং,કોડિંગ
ডেটা কোডিং,ડેટાનું કોડિંગ
সহ-ডোমেইন,સહ-ડોમેન
সহগ ম্যাট্রিক্স,ગુણાંક મેટ્રિક્સ
পারস্পরিক সম্পর্কের সহগ,સહસંબંધનો ગુણાંક
সংকল্প সহগ,નિર્ધારણ ગુણાંક
স্থিতিস্থাপকতার সহগ,સ્થિતિસ્થાપકતાના ગુણાંક
সম্প্রসারণের সহগ,વિસ્તરણ ગુણાંક
ঘর্ষণ সহগ,ઘર્ષણ ગુણાંક
রৈখিক প্রসারণের সহগ,રેખીય વિસ્તરણનો ગુણાંક
রিগ্রেশন সহগ,રીગ્રેસન ગુણાંક
পৃষ্ঠ টান সহগ,સપાટીના તાણનો ગુણાંક
প্রকরণ সহগ,વિવિધતાના ગુણાંક
কোফ্যাক্টর,કોફેક્ટર
মুদ্রা নিক্ষেপ (মুদ্রা টস),સિક્કો ફેંકવું (સિક્કો ફેંકવું)
নমুনা সংগ্রহ,નમૂનાનો સંગ્રહ
সমরেখার,સમરેખા
সমরেখা,સમન્વય
কলাম,કૉલમ
কলামের সমতা,કૉલમ સમાનતા
কলাম সমতুল্য,કૉલમ સમકક્ષ
কলাম সমতুল্য ম্যাট্রিক্স,કૉલમ સમકક્ષ મેટ્રિક્સ
কলাম ম্যাট্রিক্স,કૉલમ મેટ્રિક્સ
কলাম র‍্যাঙ্ক,કૉલમ રેન્ક
কলাম হ্রাস ইকোলন ম্যাট্রিক্স,કૉલમ ઘટાડેલ ઇકોલોન મેટ્રિક્સ
কলাম ভেক্টর,કૉલમ વેક્ટર
কলাম অনুসারে,સ્તંભ પ્રમાણે
সম্মিলিত সমীকরণ,સંયુક્ત સમીકરણ
সাধারণ কোণ,સામાન્ય કોણ
সাধারণ অক্ষ,સામાન્ય અક્ષ
সাধারণ ভিত্তি,સામાન્ય આધાર
সাধারণ নির্ধারক,સામાન્ય છેદ
