Telugu,Malayalam
శబ్ద ప్రతిచర్య,അക്കോട്ടിക് റിയാൻസ്
ఎకౌస్టిక్ రిఫ్లెక్స్,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
శబ్ద టైల్,അക്കോസ്റ്റിക് ടൈൽ
శబ్ద వేవ్,അക്ക ou സ്റ്റിക് തരംഗം
శబ్ద శోషణ,ശബ്ദ ആഗിരണം
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
శబ్ద డంపింగ్,അക്കോസ്റ്റിക്കൽ നനവ്
శబ్ద ఆలస్యం రేఖ,അക്കോസ്റ്റിക്കൽ കാലതാമസം
శబ్ద వక్రీకరణ,അക്കോസ്റ്റിക്കൽ വക്രമാനം
శబ్ద వాహిక,അക്കോസ്റ്റിക്കൽ നാളം
శబ్ద శక్తి,അക്കോസ്റ്റിക്കൽ എനർജി
శబ్ద అభిప్రాయం,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
శబ్ద వడపోత,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
శబ్ద ఇంపెడెన్స్,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
శబ్ద ప్రచారం స్థిరాంకం,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
శబ్ద నిరోధకత,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ధ్వని,അക്കോസ്റ്റിക്സ്
సముపార్జన,കൈവശപ്പെടുത്തൽ
ఎక్రోనిం,സംക്ഷേപം
కార్యాచరణ ప్రాంతం,പ്രവർത്തന മേഖല
సక్రియం చేయబడిన ఫిలమెంట్,സജീവമാക്കിയ ഫിലമെന്റ്
క్రియాశీల,സജീവമായ
క్రియాశీల ప్రాంతం,സജീവ ഏരിയ
క్రియాశీల విండో,സജീവ വിൻഡോ
అనుకూలత,പൊരുത്തപ്പെടലി
అడాప్టర్,അഡാപ്റ്റർ (അഡാപ്റ്റർ)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
చిరునామా పుస్తకం,മേൽവിലാസ പുസ്തകം
చిరునామా బస్సు,വിലാസ ബസ്
చిరునామా తీర్మానం,വിലാസ മിഴിവ്
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,അടുത്തുള്ള ആവൃത്തി
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
ప్రక్కనే ఉన్న స్టేషన్,അടുത്തുള്ള സ്റ്റേഷൻ
సర్దుబాటు,കമീകരിക്കുന്ന
సర్దుబాటు కండెన్సర్,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
సర్దుబాటు ఒత్తిడిని,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
రెంచ్ సర్దుబాటు,റെഞ്ച് ക്രമീകരിക്കുന്നു
సర్దుబాటు,കമപ്പെടുത്തല്
నిర్వాహకుడు,ഭരണാധിപന്
అధునాతన సాంకేతిక పరిజ్ఞానం,നൂതന സാങ്കേതികവിദ്യ
ఆకాశయాన,ഏരിയൽ
వైమానిక శ్రేణి,ഏരിയൽ അറേ
వైమానిక బూస్టర్,ഏരിയൽ ബൂസ്റ്റർ
వైమానిక ప్రవాహం,ഏരിയൽ കറന്റ്
వైమానిక ఎర్తింగ్ స్విచ్,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
వైమానిక సామర్థ్యం,ഏരിയൽ കാര്യക്ഷമത
వైమానిక ఇంపెడెన్స్,ഏരിയൽ ഇതര
వైమానిక ఇండక్టెన్స్,ഏരിയൽ ഉൾപ്പെടുത്തൽ
వైమానిక అవాహకం,ഏരിയൽ ഇൻസുലേറ്റർ
వైమానిక లోడింగ్ కాయిల్,ഏരിയൽ ലോഡിംഗ് കോയിൽ
వైమానిక ఫోటోగ్రఫీ,ഏരിയൽ ഫോട്ടോഗ്രഫി
వైమానిక శక్తి,ഏരിയൽ പവർ
వైమానిక రేడియేషన్ రీస్టెన్స్,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
వైమానిక ప్రతిచర్య,ഏരിയൽ റിപ്രീൻസ്
ఏరోడైనమిక్స్,എയറോഡൈനാമിക്സ്
ఏజెన్సీ,നിര്വ്വഹണം
వాయువుని కుదించునది,എയർ കംപ്രസ്സർ
ఎయిర్ కండెన్సర్,എയർ കണ്ടൻസർ
గాలి చల్లబడింది,വായു തണുപ്പിച്ചു
ఎయిర్ కోర్డ్ కాయిల్,എയർ കോർഡ് കോയിൽ
ఎయిర్ కండిషనింగ్,എയർ കണ്ടീഷനിംഗ്
ఆల్బెడో,ആൽബിഡോ
అల్గోరిథం,അൽഗോരിതം
అలియాసింగ్,അപരനാത്മകം
సమలేఖనం,വിന്യസിക്കുന്നു
అమరిక,വിന്യാപകമായ
అన్ని వేవ్ వైమానిక,എല്ലാ തരംഗ ഏരിയലും
కేటాయింపు,പങ്കുവയ്ക്കല്
అక్షరాలు,അക്ഷരകമായ
ఆల్ఫాన్యూమరిక్,ആൽഫാന്യൂമെറിക്
ఆల్ఫాన్యూమరిక్ పాత్ర,ആൽഫാന്യൂമെറിക് പ്രതീകം
ఆల్ఫాన్యూమరిక్ సమాచారం,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
ప్రత్యామ్నాయ కరెంట్ (a.c.),ഇതര കറന്റ് (A.C.)
ప్రత్యామ్నాయం,ഒന്നിടവിട്ടമ്മ
ఆల్టర్నేటర్,പകര്പ്പ്
ఎత్తు,ഉയരം
పొక్కు ఎత్తు,അപ്പോഗിയുടെ ഉയരം
మూత యొక్క ఎత్తు,പെരിജിയുടെ ഉയരം
Te త్సాహిక రేడియో కమ్యూనికేషన్,അമേച്വർ റേഡിയോ ആശയവിനിമയം
వాతావరణం,അന്തരീതം
వాతావరణ మైక్రోఫోన్,അന്തരീക്ഷ മൈക്രോഫോൺ
పరిసర పరిస్థితి,അന്തരീക്ഷ അവസ്ഥ
పరిసర లైటింగ్,ആംബിയന്റ് ലൈറ്റിംഗ്
పరిసర శబ్దం,ആംബിയന്റ് ശബ്ദം
పరిసర ఉష్ణోగ్రత,ആംബിയന്റ് താപനില
అమెరికన్ స్టాండర్డ్ కోడ్,അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്
Ampere,Ampere
ఆంపియర్ మీటర్,ആമ്പിയർ മീറ്റർ
విస్తరణ,ആംപ്ലിഫിക്കേഷൻ
యాంప్లిఫికేషన్ కారకం,ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ
యాంప్లిఫైయర్,ആംപ്ലിഫയർ
యాంప్లిఫైయర్ లాభం,ആംപ്ലിഫയർ നേട്ടം
యాంప్లిఫైయర్ శబ్దం,ആംപ്ലിഫയർ ശബ്ദം
పరికరాలను విస్తరించడం,ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു
క్లైస్ట్రాన్ విస్తరించడం,Klystron ആംപ്ലിഫൈയിംഗ്
యాంప్లిఫైయింగ్ యూనిట్,ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്
వ్యాప్తి,വ്യാശമുള്ള
వ్యాప్తి వక్రీకరణ,വ്യാപ്തി വികസനം
వ్యాప్తి విహారయాత్ర,ആംപ്ലിഡ്യൂഡ് ആസക്തി
వ్యాప్తి కారకం,വ്യാപ്തി ഘടകം
వ్యాప్తి పరిమితి,ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ
వ్యాప్తి మాడ్యులేటెడ్,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു
యాంప్లిట్యూడ్ మాడ్యులేషన్,ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ
అనలాగ్ (అనలాగ్),അനലോഗ് (അനലോഗ്)
అనలాగ్ సర్క్యూట్,അനലോഗ് സർക്യൂട്ട്
అనలాగ్ కంప్యూటర్,അനലോഗ് കമ്പ്യൂട്ടർ
ఫ్రీక్వెన్సీ ఛానల్,അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ
అనలాగ్ ప్రాతినిధ్యం,അനലോഗ് പ്രാതിനിധ്യം
అనలాగ్ సిగ్నల్,അനലോഗ് സിഗ്നൽ
డిజిటల్‌కు అనలాగ్,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്
అనలాగ్ వీడియో,അനലോഗ് വീഡിയോ
సారూప్యత,അനസ്)
సారూప్యత,അനലോഗി
విశ్లేషణ,വിശകലനം
డేటా యొక్క విశ్లేషణ,ഡാറ്റയുടെ വിശകലനം
విశ్లేషణాత్మక సాంద్రత,അനലിറ്റിക്കൽ സാന്ദ്രത
విశ్లేషించడానికి,വിശകലനം ചെയ്യുക
ఎనలైజర్,വിശകലന
సహాయక పరికరాలు,അനുബന്ധ ഉപകരണങ്ങൾ
మరియు గేట్,ഗേറ്റിലും
కొలిమేషన్ యొక్క కోణం,കൂട്ടിയിടിയുടെ കോണിൽ
ధ్రువణ కోణం,ധ്രുവീകരണത്തിന്റെ കോണിൽ
భ్రమణ కోణం,ഭ്രമണത്തിന്റെ ആംഗിൾ
గోరు,Angstrom (å)
కోణీయ,കോകാരുമായ
కోణీయ త్వరణం,കോണീയ ത്വരണം
కోణీయ సమన్వయాలు,കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ
కోణీయ విక్షేపం,കോണീയ വ്യതിചലനം
కోణీయ చెదరగొట్టడం,കോണീയ ചിതറിപ്പോയത്
కోణీయ స్థానభ్రంశం,കോണീയ സ്ഥാനചലനം
కోణీయ లోపం,കോണീയ പിശക്
కోణీయ పౌన .పున్యం,കോണീയ ആവൃത്തി
కోణీయ మొమెంటం,കോണീയ ആക്കം
కోణీయ కదలిక,കോണീയ ചലനം
కోణీయ వేగం,കോണീയ പ്രവേഗം
యానిమేషన్,ജീവസഞ്ചാരണം
యానోడ్,ആനോഡ്
యానోడ్ బ్యాటరీ,അനോഡ് ബാറ്ററി
యానోడ్ లక్షణం,ആനോഡ് സ്വഭാവം
యానోడ్ సర్క్యూట్,അനോഡ് സർക്യൂട്ട്
యానోడ్ వెదజల్లడం,ആനോഡ് ഡിസ്പിപ്പ്
యానోడ్ సామర్థ్యం,ആനോഡ് കാര്യക്ഷമത
యానోడ్ ఇన్పుట్ శక్తి,ആനോഡ് ഇൻപുട്ട് പവർ
యానోడ్ మాడ్యులేషన్,ആനോഡ് പരിഷ്കരണം
యాంటెన్నా,ഏരിയെല്
యాంటెన్నా బీమ్విడ్త్,ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്
యాంటెన్నా బూస్టర్,ആന്റിന ബൂസ്റ്റർ
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്
యాంటెన్నా కాయిల్,ആന്റിന കോയിൽ
యాంటెన్నా కాన్ఫిగరేషన్,ആന്റിന കോൺഫിഗറേഷൻ
యాంటెన్నా కప్లర్,ആന്റിന കപ്ലർ
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ
యాంటెన్నా కరెంట్,ആന്റിന കറന്റ്
యాంటెన్నా డైరెక్టివిటీ లాభం,ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം
యాంటెన్నా డ్యూప్లెక్సర్,ആന്റിന ഡ്യുപ്ലെർസർ
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,ആന്റിന ഫലപ്രദമായ പ്രദേശം
యాంటెన్నా సామర్థ్యం,ആന്റിന കാര്യക്ഷമത
యాంటెన్నా ఫీడ్,ആന്റിന ഫീഡ്
యాంటెన్నా ఫుట్ ప్రింట్,ആന്റിന ഫൂട്ട് പ്രിന്റ്
యాంటెన్నా లాభం,ആന്റിന നേട്ടം
యాంటెన్నా ఎత్తు,ആന്റിന ഉയരം
యాంటెన్నా ఇంపెడెన్స్,ആന്റിന ഇംപെഡൻസ്
యాంటెన్నా ఇండక్టెన్స్,ആന്റിന ഇൻഡക്റ്റൻസ്
యాంటెన్నా నమూనా,ആന്റിന പാറ്റേൺ
యాంటెన్నా ప్లెక్సర్,ആന്റിന പ്ലെക്സർ
యాంటెన్నా ధ్రువణత,ആന്റിന പോളൈസേഷൻ
యాంటెన్నా శక్తి,ആന്റിന പവർ
యాంటెన్నా శక్తి లాభం,ആന്റിന പവർ ലാഭം
యాంటెన్నా రేడియేషన్ నిరోధకత,ആന്റിന റേഡിയേഷൻ പ്രതിരോധം
యాంటెన్నా రియాక్టెన్స్,ആന്റിന റിനോപ്പൻസ്
యాంటెన్నా రిఫ్లెక్టర్,ആന്റിന റിഫ്ലക്ടർ
యాంటెన్నా నిరోధకత,ആന്റിന റെസിസ്റ്റൻസ്
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി
యాంటెన్నా స్పేసింగ్,ആന്റിന സ്പെയ്സിംഗ്
యాంటెన్నా స్విచింగ్ రూమ్,ആന്റിന സ്വിച്ചിംഗ് റൂം
యాంటెన్నా ట్యూనింగ్ కాయిల్,ആന്റിന ട്യൂണിംഗ് കോയിൽ
యాంటెన్నా ట్యూనింగ్ హట్,ആന്റിന ട്യൂണിംഗ് ഹട്ട്
ఎపర్చరు,അപ്പേണ്ടർ
అపోజీ,അപ്പോജി
అపోజీ రాకెట్,അപ്പോജി റോക്കറ്റ്
ఉపకరణం,ഉപകരണങ്ങള്
స్పష్టంగా,കാണാവുന്ന
ఆప్లెట్,ആപ്ലെറ്റ്
అప్లికేషన్,അപേക്ഷ
సుమారు,ഏകദേശമായ
అక్వేస్ ద్రావణం,ജല പരിഹാരം
ఆర్క్,കമാനം
వాస్తుశిల్పం,വാസ്തുവിദ
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം
ఆర్కైవ్స్,ഗന്ഥരക്ഷാലയം
అంకగణిత కోడింగ్,അരിത്മെറ്റിക് കോഡിംഗ്
ఆర్మేచర్,യക്ഷി
ఆర్మేచర్ వైండింగ్,അർമേച്ചർ വിൻഡിംഗ്
అమరిక,ശേണി
అరేస్టర్,അറസ്റ്റർ
ఉచ్చారణ,കൃതില്
(= కళాఖండము,ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്)
ఆరోహణ,ആരോഹണം
కారక నిష్పత్తి,വീക്ഷണാനുപാതം
సమీకరించేవాడు,അസംബ്ലി
వాదన,ഉറപ്പിച്ചുപറയല്
అప్పగింత,ചുമതല
అసైన్‌మెంట్ ఛానల్,അസൈൻമെന്റ് ചാനൽ
అసమాన,അസമമായ
అసమకాలిక,അസിൻക്രണസ്
వాతావరణం,അന്തരീക്ഷം
వాతావరణ నష్టం,അന്തരീക്ഷ നഷ്ടം
వాతావరణ శబ్దం,അന്തരീക്ഷ ശബ്ദം
వాతావరణ పీడనం,അന്തരീക്ഷമർദ്ദം
వాతావరణ ప్రచారం,അന്തരീക്ഷ പ്രചരണം
వాతావరణ రేడియో-వేవ్,അന്തരീക്ഷ റേഡിയോ-വേവ്
వాతావరణం,അന്തരീക്ഷ
అణువు,പരമാണു
అణు నిర్మాణం,ആറ്റോമിക ഘടന
అటాచ్మెంట్,ബന്ധം
అటెన్యుయేషన్,അറ്റൻവറൻസ്
అటెన్యుయేషన్ నష్టం,അറ്റൻവേേഷൻ നഷ്ടം
ధ్వని తరంగాల యొక్క అటకన,ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ
అటెన్యూయేటర్,അറ്റൻവേറ്റർ
అటెన్యూయేటర్-ప్యాడ్,അറ്റൻവേറ്റർ പാഡ്
విడిబిలిటీ థ్రెషోల్డ్,സവിശേഷത പരിധി
వినగల,ശ്രമത്തിനും
వినగల ఫ్రీక్వెన్సీ,കേൾക്കാവുന്ന ആവൃത്തി
వినగల స్వరం,കേൾക്കാവുന്ന ടോൺ
వినగల-స్పెక్ట్రం,കേൾക്കാവുന്ന-സ്പെക്ട്രം
ప్రేక్షకులు,സദസര്
ఆడియో,ഓഡിയോ
ఆడియో యాంప్లిఫైయర్,ഓഡിയോ ആംപ്ലിഫയർ
ఆడియో ఎనలైజర్,ഓഡിയോ അനലൈസർ
ఆడియో ప్రసారం,ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്
ఆడియో కేబుల్,ഓഡിയോ കേബിൾ
ఆడియో గొలుసు,ഓഡിയോ ചെയിൻ
ఆడియో కోడెక్,ഓഡിയോ കോഡെക്
ఆడియో కుదింపు,ഓഡിയോ കംപ്രഷൻ
ఆడియో కంప్రెసర్,ഓഡിയോ കംപ്രസ്സർ
ఆడియో కన్సోల్,ഓഡിയോ കൺസോൾ
ఆడియో వక్రీకరణ,ഓഡിയോ വക്രീകരണം
ఆడియో డైనమిక్ పరిధి,ഓഡിയോ ഡൈനാമിക് ശ്രേണി
ఆడియో ఫైల్ ఫార్మాట్,ഓഡിയോ ഫയൽ ഫോർമാറ്റ്
ఆడియో ఫ్రేమ్ ఫార్మాట్,ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ
ఆడియో ఫ్రీక్వెన్సీ పరిధి,ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം
ఆడియో పరిమితి,ഓഡിയോ പരിധി
ఆడియో లైన్,ഓഡിയോ ലൈൻ
ఆడియో మిక్సర్,ഓഡിയോ മിക്സർ
ఆడియో మాడ్యులేషన్,ഓഡിയോ മോഡുലേഷൻ
ఆడియో ఓసిలేటర్,ഓഡിയോ ഓസ്സിലേറ്റർ
ఆడియో అవుట్పుట్,ഓഡിയോ output ട്ട്പുട്ട്
ఆడియో శక్తి,ഓഡിയോ പവർ
ఆడియో నాణ్యత,ഓഡിയോ നിലവാരം
ఆడియో సిగ్నల్,ഓഡിയോ സിഗ്നൽ
ఆడియో సిగ్నల్ ప్రాసెసింగ్,ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്
ఆడియో స్పెక్ట్రం,ഓഡിയോ സ്പെക്ട്രം
ఆడియో నిల్వ,ഓഡിയോ സ്റ്റോറേജ്
ఆడియో సబ్ క్యారియర్,ഓഡിയോ ഉപ-കാരിയർ
ఆడియో ట్రాన్స్ఫార్మర్,ഓഡിയോ ട്രാൻസ്ഫോർമർ
ఆడియో ట్రాన్స్మిటర్,ഓഡിയോ ട്രാൻസ്മിറ്റർ
శ్రవణ/వీడియో కుదింపు,ഓഡിയോ / വീഡിയോ കംപ്രഷൻ
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ
ఆడియోమెట్రీ,ഓഡിയോമെട്രി
ఆడియో-విజువల్ ఎయిడ్,ഓഡിയോ-വിഷ്വൽ സഹായം
శ్రవణ అవగాహన,ഓഡിറ്ററി ധാരണ
ప్రామాణీకరణ,പ്രാമാണീകരണം
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,അംഗീകൃത കാരിയർ ആവൃത്തി
ఆటో క్యాడ్,ഓട്ടോ കാഡ്
ఆటో డయాగ్నస్టిక్స్,യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്
ఆటోమేటిక్,ഓട്ടോമാറ്റിക്
స్వయంచాలక నియంత్రణ,യാന്ത്രിക നിയന്ത്രണം
ఆటోమేటిక్ డిటెక్షన్,യാന്ത്രിക കണ്ടെത്തൽ
స్వయంచాలక పరికరాలు,യാന്ത്രിക ഉപകരണങ്ങൾ
ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్,യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം
ఆటోమేటిక్ లిమిటర్,യാന്ത്രിക പരിധി
ఆటోమేటిక్ మెషిన్,യാന്ത്രിക യന്ത്രം
ఆటోమేటిక్ ఫేసే నియంత్రణ,യാന്ത്രിക ഫാസ നിയന്ത്രണം
ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్,യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ
ఆటోమేటిక్ ప్లేబ్యాక్,യാന്ത്രിക പ്ലേബാക്ക്
ఆటోమేటిక్ పవర్ కంట్రోల్,യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം
ఆటోమేటిక్ ప్రోగ్రామింగ్,യാന്ത്രിക പ്രോഗ്രാമിംഗ്
ఆటోమేటిక్ రికార్డింగ్,യാന്ത്രിക റെക്കോർഡിംഗ്
ఆటోమేటిక్ రీసెట్,യാന്ത്രിക പുന .സജ്ജമാക്കുക
ఆటోమేటిక్ షట్టర్,യാന്ത്രിക ഷട്ടർ
ఆటోమేటిక్ సిస్టమ్,യാന്ത്രിക സംവിധാനം
ఆటోమేటిక్ టెలిఫోన్,യാന്ത്രിക ടെലിഫോൺ
స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ,യാന്ത്രിക താപനില നിയന്ത്രണം
ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ
ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్,യാന്ത്രിക വോളിയം കംപ്രസർ
ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్,യാന്ത്രിക വോളിയം നിയന്ത്രണം
ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్,യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ
ఆటోమేషన్,യന്തവല്ക്കരണം
ఆటోమేషన్ నియంత్రణ,യന്തമോടിക്കൽ
ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్,ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ
సహాయక,ഉക്സിലറി
సహాయక ఆడియో బస్సు,സഹായ ഓഡിയോ ബസ്
అందుబాటులో ఉన్న శక్తి,ലഭ്യമായ ശക്തി
హిమపాతం విచ్ఛిన్నం,ഹിമപാത തകർച്ച
సగటు జీవితం,ശരാശരി ജീവിതം
సగటు పీడనం,ശരാശരി മർദ്ദം
సగటు వేగం,ശരാശരി വേഗത
స్పిన్ యొక్క అక్షం,സ്പിൻ ആക്സിസ്
అజిముత్,അസിമുത്ത്
అజిముత్ కోణం,അസിമുത്ത് ആംഗിൾ
అజిముత్ లోపం,അസിമുത്ത് പിശക്
బ్యాక్ లైట్,ബാക്ക് ലൈറ്റ്
బ్యాక్ ప్రొజెక్షన్,ബാക്ക് പ്രൊജക്ഷൻ
వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్),ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്)
బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్),ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്)
నేపథ్య కాంతి,പശ്ചാത്തല വെളിച്ചം
వెనుకవైపు శబ్ధం,പശ്ചാത്തലം ശബ്ദം
నేపథ్య ప్రొజెక్షన్,പശ്ചാത്തലം പ്രൊജക്ഷൻ
బ్యాకప్,ബാക്കപ്പ്
అడ్డుపడే,അന്ധാളിപ്പക്കുക
బేకింగ్,ബേക്കിംഗ്
సమతుల్య ఆడియో,സമതുലിതമായ ഓഡിയോ
సమతుల్య ఆడియో లైన్,സമതുലിതമായ ഓഡിയോ ലൈൻ
సమతుల్య ప్రసార రేఖ,സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ
బ్యాలెన్సింగ్,സന്തുഗതം
బ్యాలస్ట్,ബാല്ലാസ്റ്റ്
బ్యాలస్ట్ కారకం,ബാലസ്റ്റ് ഫാക്ടർ
బలున్,Sulun
బ్యాండ్,കൂട്ടം
