Punjabi,Marathi
ਧੁਰੀ ਅਨੁਪਾਤ,अक्षीय प्रमाण
ਐਂਟੀਨਾ,अँटेना
ਵਾਪਸ ਇਲੈਕਟ੍ਰੋਮੋਟਿਵ ਫੋਰਸ,बॅक इलेक्ट्रोमोटिव्ह फोर्स
ਪਿਛਲਾ ਖੇਤਰ,मागील क्षेत्र
ਵਾਪਸ ਸਕੈਟਰ,परत स्कॅटर
ਪਿਛੋਕੜ ਚਾਰਜ,पार्श्वभूमी शुल्क
ਪਾਸੇ ਦਾ ਰੌਲਾ,बाजूचा आवाज
ਪਿਛਾਖੜੀ,प्रतिगामी
ਪਿਛਲਾ ਕਿਰਨ,पोस्टरियर इरॅडिएशन
ਬੈਕਵਰਡ ਡਾਇਡ / ਬੈਕਵਰਡ ਡਾਇਡ,बॅकवर्ड डायोड / बॅकवर्ड डायोड
ਬੈਕਵਰਡ ਵੇਵ ਔਸਿਲੇਟਰ,बॅकवर्ड वेव्ह ऑसिलेटर
"ਰੁਕਾਵਟ, ਰੁਕਾਵਟ","अडथळा, अडथळा"
ਰੁਕਾਵਟ,अडथळा
ਸੰਤੁਲਿਤ ਪੁਲ,संतुलित पूल
ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ,संतुलित मॉड्युलेटर
ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ,संतुलित मॉड्युलेटर
ਸੰਤੁਲਿਤ ਸਰਕਟ,संतुलित सर्किट
ਸੰਤੁਲਿਤ ਗਰੇਡੀਐਂਟ ਡਿਟੈਕਟਰ,संतुलित ग्रेडियंट डिटेक्टर
ਮੌਜੂਦਾ ਸਟੈਬੀਲਾਈਜ਼ਰ ਪ੍ਰਤੀਰੋਧ,वर्तमान स्टॅबिलायझर प्रतिरोध
ਬੋਲੋਮੀਟਰ,बोलोमीटर
ਬੋਲੋਮੀਟਰ ਪੁਲ,बोलोमीटर पूल
ਗੁਬਾਰਾ,फुगा
ਕੇਲਾ ਜੈਕ,केळी जॅक
ਕੇਲੇ ਦਾ ਪਲੱਗ,केळी प्लग
"ਪੱਟੀ, ਪੱਟੀ","पट्टी, पट्टी"
ਬੈਂਡ ਡਰਾਈਵਰ,बँड चालक
ਬੈਂਡ ਊਰਜਾ,बँड ऊर्जा
ਬੈਂਡ ਗੈਪ,बँड अंतर
ਬੈਡਪਾਰਕ ਐਂਪਲੀਫਾਇਰ,बॅडपार्क अॅम्प्लीफायर
ਬੈਂਡ ਪਾਸ ਫਿਲਟਰ,बँड पास फिल्टर
ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ,बॉड रेट जनरेटर
banddispersion,banddispersion
ਬੈਂਡ ਰੋਧਕ,बँड रेझिस्टर
ਬੈਂਡ ਤੋੜਨ ਵਾਲਾ ਫਿਲਟਰ,बँड ब्रेकर फिल्टर
ਬੈਂਡ ਦਾ ਵਿਸਥਾਰ,बँड विस्तार
ਬੈਂਡ ਰੀਮੂਵਰ ਫਿਲਟਰ,बँड रिमूव्हर फिल्टर
ਬੈਂਡ ਐਕਸਪੈਂਸ਼ਨ ਡਿਫਲੈਕਸ਼ਨ ਗੁਣਕ,बँड विस्तार विक्षेप गुणक
ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ ਦੂਰੀ ਗੁਣਕ,बँड विस्तार अंतर गुणक
"ਬੀਮ ਕੈਪਸੀਟਰ, ਬੈਂਕ ਕੈਪਸੀਟਰ","बीम कॅपेसिटर, बँक कॅपेसिटर"
"ਬਾਰਕਰ ਕੋਡ, ਬਾਰਕਰ ਕੋਡ","बार्कर कोड, बार्कर कोड"
barravaugen ਮਾਪਦੰਡ,barravaugen निकष
ਬੈਰਟਰ,बॅरेटर
ਰੁਕਾਵਟ,अडथळा
ਇਨਸੂਲੇਟਿੰਗ ਕੈਪਸੀਟਰ,इन्सुलेट कॅपेसिटर
ਰੁਕਾਵਟ ਊਰਜਾ,अडथळा ऊर्जा
ਰੋਧਕ ਵੋਲਟੇਜ,रेझिस्टर व्होल्टेज
ਬਾਰਟਲੇਟ ਵਿੰਡੋ,बार्टलेट विंडो
"ਅਧਾਰ, ਅਧਾਰ","आधार, आधार"
ਅਧਾਰ ਬੈਂਡ,बेस बँड
ਬੇਸ ਬੈਂਡ ਪ੍ਰਸਾਰਣ,बेस बँड ट्रान्समिशन
ਬੇਸ ਚਾਰਜ,बेस चार्ज
ਅਧਾਰ ਮੌਜੂਦਾ,बेस करंट
ਅਧਾਰ ਮੌਜੂਦਾ ਸਰੋਤ,मूळ वर्तमान स्रोत
ਅਧਾਰ ਕੱਟਣਾ,बेस कातरणे
ਆਧਾਰ ਮਦਨ,आधार मदन
ਬੇਸ ਐਮੀਟਰ ਫੀਡ,बेस एमिटर फीड
ਬੇਸ ਐਮੀਟਰ ਜੰਕਸ਼ਨ,बेस एमिटर जंक्शन
ਅਧਾਰ ਟੀਕਾ,बेस इंजेक्शन
ਜ਼ਮੀਨੀ ਲਾਈਨ,ग्राउंड लाईन
ਅਧਾਰ ਪ੍ਰਤੀਰੋਧ,बेस प्रतिकार
ਅਧਾਰ ਸਰੋਤ,मूळ स्रोत
ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ,बेस विस्तार प्रतिकार
ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ,बेस विस्तार प्रतिकार
ਅਧਾਰ ਮੋਟਾਈ,बेस जाडी
ਅਧਾਰ ਪਹੁੰਚ,बेस प्रवेश
"ਬੇਸ ਵਿਡਥ ਮੋਡੂਲੇਸ਼ਨ, ਬੇਸ ਐਕਸਪੈਂਸ਼ਨ ਮੋਡੂਲੇਸ਼ਨ","बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन"
ਆਧਾਰ ਕੁਲੈਕਟਰ ਸੰਧੀ,बेस कलेक्टर करार
ਗੰਧ,वास
ਬਾਸ ਬਾਰੰਬਾਰਤਾ,बास वारंवारता
ਬੈਟਰੀ,बॅटरी
ਬੌਡ,बॉड
ਬੌਡ ਦਰ,बॉड दर
ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ,बॉड रेट जनरेटर
ਬੋਡੋ ਕੋਡ,बोडो कोड
"ਸੰਕੇਤ, ਬੀਕਨ","सिग्नल, बीकन"
"ਮਨਿਕਾ, ਬੀਡ","माणिका, बीड"
manic capacitor,मॅनिक कॅपेसिटर
ਮਾਨਿਕਰ੍ਤਾਪਿ ਪ੍ਰਤਿਰੋਧਕਃ,मणिकर्तपी प्रतिरोधक
"ਬੀਮ ਐਂਟੀਨਾ, ਬੀਮ ਐਂਟੀਨਾ","बीम अँटेना, बीम अँटेना"
ਬੀਮ ਡਿਟੈਕਟਰ,बीम डिटेक्टर
ਬੀਮ ਪਾਵਰ ਹੋਜ਼,बीम पॉवर नळी
ਬੀਮ ਸਵਿਚਿੰਗ ਨੋਜ਼ਲ,बीम स्विचिंग नोजल
ਬੀਮ ਦਾ ਵਿਸਥਾਰ,तुळई विस्तार
ਬੀਟ ਬਾਰੰਬਾਰਤਾ,बीट वारंवारता
ਬੀਟ-ਫ੍ਰੀਕੁਐਂਸੀ ਔਸਿਲੇਟਰ,बीट-फ्रिक्वेंसी ऑसिलेटर
ਪਲਸ ਔਸਿਲੇਟਰ,पल्स ऑसिलेटर
ਘੰਟੀ,घंटा
ਝੁਕਣ ਦਾ ਨੁਕਸਾਨ,वाकणे नुकसान
ਬੇਸਲ ਫਿਲਟਰ,बेसल फिल्टर
ਬੀਟਾ,बीटा
b-h ਵਕਰ,b-h वक्र
"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ","पक्षपात, पक्षपात"
ਪੱਖਪਾਤ ਮੌਜੂਦਾ,पूर्वाग्रह वर्तमान
ਪੱਖਪਾਤ ਪ੍ਰਤੀਰੋਧ,पूर्वाग्रह प्रतिकार
ਡਬਲ ਐਂਟੀਨਾ,दुहेरी अँटेना
ਦੋ-ਦਿਸ਼ਾਵੀ ਲੋਡ ਕਰੰਟ,द्विदिशात्मक भार प्रवाह
ਦੋ-ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ,द्विदिश अँटेना
ਦੋ-ਦਿਸ਼ਾਵੀ ਰੋਸ਼ਨੀ ਐਮੀਟਿੰਗ ਡਾਇਓਡ,द्विदिश प्रकाश उत्सर्जक डायोड
ਦੋ-ਦਿਸ਼ਾਵੀ thyristor,द्विदिशात्मक थायरिस्टर
bi FET ਤਕਨਾਲੋਜੀ,bi FET तंत्रज्ञान
ਦੋ ਬਿੰਦੂ ਟ੍ਰਾਂਸਫਾਰਮਰ,द्वि-बिंदू ट्रान्सफॉर्मर
ਡਬਲ ਫਿਊਜ਼ਨ,दुहेरी संलयन
ਦੁਵੱਲੀ ਸਰਕਟ,द्विपक्षीय सर्किट
ਬਾਈਨਰੀ,बायनरी
ਬਾਈਨਰੀ ਜੋੜ,बायनरी बेरीज
ਬਾਈਨਰੀ ਸਰਕਟ,बायनरी सर्किट
ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ,बायनरी कोडेड दशांश
ਬਾਈਨਰੀ ਕੋਡਡ ਡੈਸੀਮਲ ਸਿਸਟਮ,बायनरी कोडेड दशांश प्रणाली
ਬਾਈਨਰੀ ਡਾਈਪੋਲ ਕੈਪਸੀਟਰ,बायनरी द्विध्रुवीय कॅपेसिटर
ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ,बायनरी कॅल्क्युलेटर
ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ,बायनरी कॅल्क्युलेटर
ਬਾਈਨਰੀ ਡੀਕੋਡਰ,बायनरी डीकोडर
ਬਾਈਨਰੀ ਪੌੜੀ,बायनरी शिडी
ਬਾਈਨਰੀ ਪਾਥੋਮੀਟਰ,बायनरी पॅथोमीटर
ਬਾਈਨਰੀ ਸਥਿਤੀ,बायनरी स्थिती
ਬਾਈਨਰੀ-ਦਸ਼ਮਲਵ ਡੀਕੋਡਰ,बायनरी-दशांश डिकोडर
ਬਾਈਨਰੀ ਲੋਡ,बायनरी लोड
ਬਾਈਨਰੀ ਸ਼ਬਦ,बायनरी शब्द
ਬਾਈਪੋਲਰ,द्विध्रुवीय
ਬਾਇਪੋਲਰ ਕੈਪੇਸੀਟਰ,द्विध्रुवीय कॅपेसिटर
ਦੋਧਰੁਵੀ ਜੰਤਰ,द्विध्रुवीय उपकरण
ਦੋਧਰੁਵੀ ਸਰੋਤ,द्विध्रुवीय स्रोत
ਬਾਈਪੋਲਰ ਟਰਾਂਜ਼ਿਸਟਰ,द्विध्रुवीय ट्रान्झिस्टर
ਬਾਈਪੋਲਰ ਜੰਕਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ,द्विध्रुवीय जंक्शन ट्रान्झिस्टर
ਚਤੁਰਭੁਜ ਫਿਲਟਰ,चतुर्भुज फिल्टर
ਡਬਲ ਸਥਿਤੀ,दुहेरी स्थिती
ਦੋ-ਪੜਾਅ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,दोन-स्टेज मल्टीव्हायब्रेटर
ਦੋ-ਦਿਸ਼ਾਵੀ ਰੀਲੇਅ,द्विदिशात्मक रिले
ਦੋ-ਪੜਾਅ ਰਾਜ,biphasic स्थिती
ਦੋ-ਸਥਿਤੀ ਟਰਿੱਗਰ,दोन-स्थिती ट्रिगर
ਬਿੱਟ ਗਲਤੀ,बिट त्रुटी
ਬਿੱਟ ਗਲਤੀ ਦਰ,बिट त्रुटी दर
ਬਿੱਟ ਗਲਤੀ,बिट त्रुटी
ਬਿਟਕਲ ਗਲਤੀ,बिटकल त्रुटी
ਅੰਨ੍ਹੇ ਬਾਕਸ,आंधळा बॉक्स
ਸੰਘਣੀ ਨਬਜ਼,घनरूप नाडी
ਸਕੱਤਰ,सचिव
secretory inhibitor,सेक्रेटरी इनहिबिटर
ਅੰਨ੍ਹਾਪਨ,अंधत्व
ਖੰਡ ਚਿੱਤਰ,खंड आकृती
ਰੁਕਾਵਟ ਨੂੰ ਰੋਕਣਾ,अवरोधित करणे
ਟੁਕੜਾ ਟ੍ਰਾਂਸਫਰ,तुकडा हस्तांतरण
ਰੁਕਾਵਟ,इंटरसेप्ट
ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ,रेझिस्टर कॅपेसिटर
ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ,रेझिस्टर कॅपेसिटर
ਬਲਾਕਿੰਗ ਔਸਿਲੇਟਰ,रेझिस्टर ऑसिलेटर
ਰੋਧਕ ਔਸਿਲੇਟਰ,ब्लॉकिंग ऑसिलेटर
ਰੋਧਕ ਵੋਲਟੇਜ,रेझिस्टर व्होल्टेज
ਉਡਾਉਣ ਵਾਲਾ,ब्लोअर
ਬੋਡ ਚਿੱਤਰ,bode आकृती
voltzmann ਸਬੰਧ,voltzmann संबंध
ਵੋਲਟਜ਼ਮੈਨ ਸਥਿਰ,voltzmann स्थिरांक
ਬਾਂਡ,बंध
ਬਾਊਂਡ ਸਟਰੇਨ ਗੇਜ,बाउंड स्ट्रेन गेज
ਸਵੈ-ਸਹਾਇਤਾ ਐਂਪਲੀਫਾਇਰ,स्वयं-समर्थक अॅम्प्लिफायर
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,बुलियन बीजगणित
ਬੂਲੀਅਨ ਸਮੀਕਰਨ,बुलियन समीकरण
ਬੂਟ Strapon,बूट Strapon
ਬੂਥ ਦਾ ਐਲਗੋਰਿਦਮ,बूथचे अल्गोरिदम
ਬੂਟਸਟਰੈਪ ਪ੍ਰਿਜ਼ਮ ਸਰਕਟ,बूटस्ट्रॅप प्रिझम सर्किट
bosscutts ਨਿਯਮ,bosscutts नियम
ਬੋਸ-ਚੌਧਰੀ ਹਾਕਨਹੈਮ (ਬੀਸੀਐਚ) ਕੋਡ,बोस-चौधरी हॉकेनहॅम (BCH) कोड
"ਛਾਲ, ਛਾਲ","उडी, उडी"
ਬੰਨ੍ਹਿਆ ਇਲੈਕਟ੍ਰੋਨ,बद्ध इलेक्ट्रॉन
ਬ੍ਰੈਗ ਰਿਫਲੈਕਟਰ,ब्रॅग रिफ्लेक्टर
ਆਪਸ ਵਿੱਚ ਜੁੜੀ ਤਾਰ,गुंफलेली तार
ਸ਼ਾਖਾ,शाखा
ਬ੍ਰਾਂਚਿੰਗ,शाखा
ਪ੍ਰਯੋਗ ਬੋਰਡ,प्रयोग मंडळ
ਬਰੇਕ ਜ਼ੋਨ,ब्रेक झोन
ਵੋਲਟੇਜ ਤੋੜਨਾ,ब्रेकिंग व्होल्टेज
ਟੁੱਟਣ ਵਾਲਾ ਡਾਇਡ,ब्रेकडाउन डायोड
ਫ੍ਰੈਕਚਰ ਫਿਕਸੇਸ਼ਨ,फ्रॅक्चर फिक्सेशन
ਵੋਲਟੇਜ ਤੋੜਨਾ,ब्रेकिंग व्होल्टेज
ਪੁਲ,पूल
ਪੁਲ ਸੁਧਾਰਕ,ब्रिज रेक्टिफायर
ਚੌੜਾ ਬੈਂਡ,रुंद बँड
ਪ੍ਰਸਾਰਣ ਬੈਂਡ,ब्रॉडकास्ट बँड
ਸੂਖਮ ਐਰੇ,सूक्ष्म अॅरे
ਪ੍ਰਸਾਰਣ,प्रसारण
ਪ੍ਰਸਾਰਣ antenna,ब्रॉडकास्ट अँटेना
ਪ੍ਰਸਾਰਣ ਪ੍ਰਾਪਤਕਰਤਾ,ब्रॉडकास्ट रिसीव्हर
ਬਾਰੰਬਾਰਤਾ ਪ੍ਰਸਾਰਣ ਰਿਸੀਵਰ,वारंवारता प्रसारण प्राप्तकर्ता
ਪ੍ਰਸਾਰਣ ਟ੍ਰਾਂਸਮੀਟਰ,प्रसारण ट्रान्समीटर
ਬੂਸਟਰ ਐਂਟੀਨਾ,बूस्टर अँटेना
ਬੱਸ ਐਂਟੀਨਾ,बस अँटेना
ਬੁਰਸ਼ ਇਮਰਸ਼ਨ,ब्रश विसर्जन
ਬੁਲਬੁਲਾ ਅਤੇ ਗੇਟ,बुडबुडे आणि गेट
ਬੁਡਬੁਦੁ ਜਾਂ ਗੇਟ,बुडबुडू किंवा गेट
ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ,बबल स्मृती
ਮੁਆਵਜ਼ਾ ਦੇਣ ਵਾਲੀ ਵੋਲਟੇਜ,भरपाई व्होल्टेज
ਬਫਰ,बफर
ਬਫਰ ਐਂਪਲੀਫਾਇਰ,बफर अॅम्प्लीफायर
ਬਫਰ ਸਰਕਟ,बफर सर्किट
ਬਫਰ ਆਪਰੇਟਰ,बफर ऑपरेटर
ਬਫਰ ਰਜਿਸਟਰ,बफर रजिस्टर
ਬੱਲਬ,बल्ब
ਆਬਾਦੀ ਪ੍ਰਭਾਵ,लोकसंख्या प्रभाव
ਮੈਕਰੋ ਸੈਮੀਕੰਡਕਟਰ ਜੰਤਰ,मॅक्रो सेमीकंडक्टर उपकरण
ਝੁੰਡ,घड
ਡੁੱਬਿਆ ਐਕਸਚੇਂਜ,बुडलेली एक्सचेंज
ਡੁੱਬੀ ਪਰਤ,बुडलेला थर
ਡੁੱਬਿਆ ਸੰਪਰਕ,बुडलेला संपर्क
ਧਮਾਕੇ ਐਂਪਲੀਫਾਇਰ,स्फोट अॅम्प्लीफायर
ਧਮਾਕੇ ਕਵਰ,स्फोट कव्हर
ਧਮਾਕੇ ਦੀ ਗੋਲੀਬਾਰੀ,स्फोट गोळीबार
ਵਿਸਫੋਟ ਦਰਵਾਜ਼ਾ ਐਂਪਲੀਫਾਇਰ,स्फोट दरवाजा अॅम्प्लीफायर
ਬਰਸਟ ਮੋਡ,बर्स्ट मोड
ਧਮਾਕੇ ਨੂੰ ਵੱਖ ਕਰਨ ਵਾਲਾ,स्फोट विभाजक
ਧਮਾਕਾ ਸੰਕੇਤ,स्फोट सिग्नल
ਬਰਸਟ ਗਲਤੀ ਸੁਧਾਰਕ ਕੋਡ,स्फोट त्रुटी सुधारक कोड
ਕਾਫ਼ੀ,पुरेसा
ਬੱਸ ਪੱਟੀ,बस बार
ਬੱਸ ਸੰਸਥਾ,बस संघटना
ਬੱਸ ਸਟੈਂਡਰਡ,बस मानक
ਸਿਰਫ਼ ਪਲ ਪਲ,फक्त क्षणिक
ਮੱਖਣ ਦੀ ਕੀਮਤ ਫਿਲਟਰ,बटर वर्थ फिल्टर
bnc ਤਾਰ,bnc वायर
BNC ਜੁਆਇੰਟਰ,BNC जॉइंटर
ਰਾਹ,च्या कडे
ਬਾਈਪਾਸ capacitor,बायपास कॅपेसिटर
ਬਾਈਟ,बाइट
ਵੀ ਬੈਂਡ,व्ही बँड
C ਬੈਂਡ ਐਂਟੀਨਾ,सी बँड अँटेना
ਤਾਰ,तार
ਤਾਰ ਰੂਟਿੰਗ,वायर राउटिंग
ਟੈਲੀਗ੍ਰਾਫ ਟੈਲੀਵਿਜ਼ਨ,टेलिग्राफ दूरदर्शन
ਕੈਸ਼ ਮੈਮੋਰੀ,कॅशे मेमरी
ਸਿਸਿਮ ਫ੍ਰੀਕੁਐਂਸੀ ਸਟੈਂਡਰਡ,Sisim वारंवारता मानक
ਕੈਲਕੁਲੇਟਰ,कॅल्क्युलेटर
ਕੈਲੀਬ੍ਰੇਸ਼ਨ,कॅलिब्रेशन
ਕਾਲ ਪਤਾ,कॉल पत्ता
ਕਾਲਪਿਟ ਔਸਿਲੇਟਰ,कॉलपिट ऑसिलेटर
ਕੈਮ ਕੋਰਡਰ,कॅम कॉर्डर
ਕੈਮਰਾ,कॅमेरा
ਕੈਮਰਾ ਹੋਜ਼,कॅमेरा नळी
candela,candela
ਮੋਮਬੱਤੀ ਦੀ ਸ਼ਕਤੀ,मेणबत्ती शक्ती
cantilever ਤਣਾਅ ਗੇਜ,कॅन्टिलिव्हर स्ट्रेन गेज
ਹੋਲਡ,धारण
ਸਮਰੱਥਾ ਬਲੱਡ ਪ੍ਰੈਸ਼ਰ transducer,कॅपेसिटन्स ब्लड प्रेशर ट्रान्सड्यूसर
ਹੋਲਡਿੰਗ ਵਿਤਰਕ,होल्डिंग वितरक
ਸੰਧੀ ਰੱਖਣ,करार धारण
ਸਮਰੱਥਾ ਗੇਜ,कॅपेसिटन्स गेज
ਹੋਲਡਿੰਗ ਕੁਲੈਕਟਰ,धारण कलेक्टर
ਸਮਰੱਥਾ ਪ੍ਰਤੀਕਿਰਿਆ,capacitance reactance
"Capacitive Energy Converter, Transducer","कॅपेसिटिव्ह एनर्जी कन्व्हर्टर, ट्रान्सड्यूसर"
capacitor,कॅपेसिटर
